time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0000000000,0.0009976721,-0.0000100000,0.0039810717,0.0039810717,-nan,0.0000007943,0.0039810717,0.0000000000
4.3960000000,0.0013320013,-0.0000100000,0.0021326193,0.0021326193,0.9891957478,0.0000007943,0.0039810717,263.7600000000
8.7640000000,0.0224582173,-0.0000100000,0.0011469734,0.0011469734,0.9545442177,0.0000007943,0.0039810717,525.8400000000
13.0960000000,0.0260339734,-0.0000100000,0.0006200309,0.0006200309,0.9144135121,0.0000007943,0.0039810717,785.7600000000
17.4520000000,0.0263959391,-0.0000100000,0.0003340360,0.0003340360,0.8362339536,0.0000007943,0.0039810717,1047.1200000000
21.9800000000,0.0446654964,-0.0000100000,0.0001756170,0.0001756170,0.6613170429,0.0000007943,0.0039810717,1318.8000000000
26.4640000000,0.0663055255,-0.0000100000,0.0000929080,0.0000929080,0.3771882836,0.0000007943,0.0039810717,1587.8400000000
31.1160000000,0.2031204004,-0.0000100000,0.0000480205,0.0000480205,0.0314884286,0.0000007943,0.0039810717,1866.7200000000
36.0160000000,0.4153448912,-0.0000100000,0.0000239475,0.0000239475,0.0001881018,0.0000007943,0.0039810717,2160.7200000000
41.0040000000,0.4359835760,-0.0000100000,0.0000117875,0.0000117875,0.0000106304,0.0000007943,0.0039810717,2460.2400000000
45.9360000000,0.4461423779,-0.0000100000,0.0000058517,0.0000058517,0.0000000053,0.0000007943,0.0039810717,2756.1600000000
50.9400000000,0.4502598367,-0.0000100000,0.0000028770,0.0000028770,0.0000000000,0.0000007943,0.0039810717,3056.1600000000
56.1640000000,0.4514814815,-0.0000100000,0.0000013695,0.0000013695,0.0000000000,0.0000007943,0.0039810717,3369.8400000000
61.9880000000,0.4524250278,-0.0000100000,0.0000005990,0.0000005990,0.0000000000,0.0000007943,0.0039810717,3719.2800000000
