time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.1120000000,0.0462531061,-0.0000100000,0.0006309573,0.0006309573,-nan,0.0000005012,0.0006309573,0.0000000000
30.7680000000,0.0001833670,-0.0000100000,0.0004381377,0.0004381377,0.9922048310,0.0000005012,0.0006309573,183.9360000000
61.2800000000,0.0001458546,-0.0000100000,0.0003047652,0.0003047652,0.9910646262,0.0000005012,0.0006309573,367.0080000000
91.7600000000,0.0001208479,-0.0000100000,0.0002120629,0.0002120629,0.9893000866,0.0000005012,0.0006309573,549.9120000000
122.2360000000,0.0001083451,-0.0000100000,0.0001475725,0.0001475725,0.9869166100,0.0000005012,0.0006309573,732.7680000000
152.7160000000,0.0001625264,-0.0000100000,0.0001026893,0.0001026893,0.9839335406,0.0000005012,0.0006309573,915.6480000000
183.2000000000,0.0001208479,-0.0000100000,0.0000714571,0.0000714571,0.9789969658,0.0000005012,0.0006309573,1098.5280000000
213.6880000000,0.0001500225,-0.0000100000,0.0000497168,0.0000497168,0.9734819933,0.0000005012,0.0006309573,1281.4800000000
244.1640000000,0.0001375189,-0.0000100000,0.0000345958,0.0000345958,0.9651156540,0.0000005012,0.0006309573,1464.3600000000
274.6440000000,0.0001500225,-0.0000100000,0.0000240772,0.0000240772,0.9523810346,0.0000005012,0.0006309573,1647.1680000000
305.1120000000,0.0001625264,-0.0000100000,0.0000167551,0.0000167551,0.9370469706,0.0000005012,0.0006309573,1830.0240000000
335.5960000000,0.0001583584,-0.0000100000,0.0000116586,0.0000116586,0.9159442577,0.0000005012,0.0006309573,2012.9280000000
366.0920000000,0.0002167136,-0.0000100000,0.0000081112,0.0000081112,0.8736443649,0.0000005012,0.0006309573,2195.9040000000
396.5760000000,0.0002333878,-0.0000100000,0.0000056439,0.0000056439,0.8160424515,0.0000005012,0.0006309573,2378.8080000000
427.0680000000,0.0003376139,-0.0000100000,0.0000039268,0.0000039268,0.7206489597,0.0000005012,0.0006309573,2561.7600000000
457.5520000000,0.0003918201,-0.0000100000,0.0000027324,0.0000027324,0.5414242105,0.0000005012,0.0006309573,2744.6640000000
488.0560000000,0.0006838006,-0.0000100000,0.0000019008,0.0000019008,0.2781747273,0.0000005012,0.0006309573,2927.6880000000
518.6280000000,0.0016025641,-0.0000100000,0.0000013212,0.0000013212,0.0856717669,0.0000005012,0.0006309573,3111.1200000000
549.2400000000,0.0049241282,-0.0000100000,0.0000009179,0.0000009179,0.0259428611,0.0000005012,0.0006309573,3294.7920000000
580.0600000000,0.0275116237,-0.0000100000,0.0000006362,0.0000006362,0.0030230832,0.0000005012,0.0006309573,3479.7360000000
611.0080000000,0.0624593277,-0.0000100000,0.0000004403,0.0000004403,0.0000877460,0.0000005012,0.0006309573,3665.3760000000
