time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0130000000,0.0109464839,-0.0000100000,0.0094406088,0.0094406088,-nan,0.0000059566,0.0094406088,0.0000000000
6.1820000000,0.0039162580,-0.0000100000,0.0087517184,0.0087517184,0.9950671243,0.0000059566,0.0094406088,37.0200000000
12.3740000000,0.0045780838,-0.0000100000,0.0081111046,0.0081111046,0.9947053842,0.0000059566,0.0094406088,74.1600000000
18.5920000000,0.0038427756,-0.0000100000,0.0075147061,0.0075147061,0.9945923150,0.0000059566,0.0094406088,111.4740000000
24.8970000000,0.0045780838,-0.0000100000,0.0069547256,0.0069547256,0.9943484612,0.0000059566,0.0094406088,149.3100000000
31.1810000000,0.0051302723,-0.0000100000,0.0064382920,0.0064382920,0.9936944481,0.0000059566,0.0094406088,187.0080000000
37.3630000000,0.0039530032,-0.0000100000,0.0059676773,0.0059676773,0.9932877403,0.0000059566,0.0094406088,224.0940000000
43.5250000000,0.0044309360,-0.0000100000,0.0055326857,0.0055326857,0.9928201531,0.0000059566,0.0094406088,261.0720000000
49.6810000000,0.0059412477,-0.0000100000,0.0051298421,0.0051298421,0.9919802970,0.0000059566,0.0094406088,298.0080000000
55.8640000000,0.0047620792,-0.0000100000,0.0047547534,0.0047547534,0.9916423520,0.0000059566,0.0094406088,335.1060000000
62.0340000000,0.0033287000,-0.0000100000,0.0044078486,0.0044078486,0.9910069862,0.0000059566,0.0094406088,372.1200000000
68.2570000000,0.0046884729,-0.0000100000,0.0040834446,0.0040834446,0.9902146262,0.0000059566,0.0094406088,409.4700000000
74.4630000000,0.0039162580,-0.0000100000,0.0037838914,0.0037838914,0.9895432893,0.0000059566,0.0094406088,446.6940000000
80.6280000000,0.0042838313,-0.0000100000,0.0035079495,0.0035079495,0.9885788932,0.0000059566,0.0094406088,483.6900000000
86.7920000000,0.0047252747,-0.0000100000,0.0032522106,0.0032522106,0.9877037299,0.0000059566,0.0094406088,520.6740000000
92.9880000000,0.0038060384,-0.0000100000,0.0030139312,0.0030139312,0.9869012747,0.0000059566,0.0094406088,557.8500000000
99.1490000000,0.0040632550,-0.0000100000,0.0027943105,0.0027943105,0.9858272128,0.0000059566,0.0094406088,594.8160000000
105.3120000000,0.0047252747,-0.0000100000,0.0025905978,0.0025905978,0.9846541693,0.0000059566,0.0094406088,631.8000000000
111.7060000000,0.0046148775,-0.0000100000,0.0023950210,0.0023950210,0.9834850490,0.0000059566,0.0094406088,670.1520000000
117.9520000000,0.0040632550,-0.0000100000,0.0022181828,0.0022181828,0.9817932554,0.0000059566,0.0094406088,707.6280000000
124.1190000000,0.0039897511,-0.0000100000,0.0020563451,0.0020563451,0.9808797030,0.0000059566,0.0094406088,744.6420000000
130.3130000000,0.0043206034,-0.0000100000,0.0019057766,0.0019057766,0.9788538697,0.0000059566,0.0094406088,781.7940000000
136.4710000000,0.0046516739,-0.0000100000,0.0017669489,0.0017669489,0.9778273701,0.0000059566,0.0094406088,818.7480000000
