time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0130000000,0.0081104343,-0.0000100000,0.0079432823,0.0079432823,-nan,0.0000039811,0.0079432823,0.0000000000
6.4150000000,0.0033937397,-0.0000100000,0.0073247786,0.0073247786,0.9950725069,0.0000039811,0.0079432823,38.4060000000
12.8250000000,0.0029971675,-0.0000100000,0.0067537503,0.0067537503,0.9945253533,0.0000039811,0.0079432823,76.8600000000
19.2510000000,0.0035921434,-0.0000100000,0.0062258191,0.0062258191,0.9942102467,0.0000039811,0.0079432823,115.4220000000
25.6880000000,0.0035921434,-0.0000100000,0.0057384288,0.0057384288,0.9937293527,0.0000039811,0.0079432823,154.0440000000
32.1940000000,0.0035260001,-0.0000100000,0.0052845742,0.0052845742,0.9932346497,0.0000039811,0.0079432823,193.0800000000
38.6210000000,0.0034929318,-0.0000100000,0.0048714865,0.0048714865,0.9923189127,0.0000039811,0.0079432823,231.6420000000
45.0150000000,0.0039229907,-0.0000100000,0.0044925664,0.0044925664,0.9917872594,0.0000039811,0.0079432823,270.0060000000
51.4050000000,0.0045853401,-0.0000100000,0.0041432773,0.0041432773,0.9913072118,0.0000039811,0.0079432823,308.3520000000
57.7910000000,0.0044196708,-0.0000100000,0.0038214352,0.0038214352,0.9907125321,0.0000039811,0.0079432823,346.6620000000
64.1960000000,0.0033276226,-0.0000100000,0.0035237006,0.0035237006,0.9897082960,0.0000039811,0.0079432823,385.0920000000
70.6740000000,0.0034929318,-0.0000100000,0.0032461606,0.0032461606,0.9890202527,0.0000039811,0.0079432823,423.9600000000
77.2210000000,0.0040222874,-0.0000100000,0.0029878686,0.0029878686,0.9881209450,0.0000039811,0.0079432823,463.2420000000
83.6320000000,0.0040553907,-0.0000100000,0.0027548693,0.0027548693,0.9868623998,0.0000039811,0.0079432823,501.7080000000
90.0240000000,0.0032615141,-0.0000100000,0.0025406188,0.0025406188,0.9861178891,0.0000039811,0.0079432823,540.0660000000
96.4390000000,0.0037906256,-0.0000100000,0.0023424078,0.0023424078,0.9849792513,0.0000039811,0.0079432823,578.5500000000
102.8320000000,0.0041878256,-0.0000100000,0.0021602077,0.0021602077,0.9831243060,0.0000039811,0.0079432823,616.9140000000
109.2410000000,0.0037575398,-0.0000100000,0.0019918265,0.0019918265,0.9821256957,0.0000039811,0.0079432823,655.3620000000
115.7670000000,0.0046516231,-0.0000100000,0.0018338508,0.0018338508,0.9799544732,0.0000039811,0.0079432823,694.5120000000
122.2600000000,0.0035260001,-0.0000100000,0.0016890461,0.0016890461,0.9790460077,0.0000039811,0.0079432823,733.4820000000
128.6690000000,0.0040553907,-0.0000100000,0.0015573904,0.0015573904,0.9771249015,0.0000039811,0.0079432823,771.9300000000
135.0730000000,0.0043865435,-0.0000100000,0.0014360696,0.0014360696,0.9746915436,0.0000039811,0.0079432823,810.3540000000
141.4980000000,0.0043202955,-0.0000100000,0.0013238476,0.0013238476,0.9730778347,0.0000039811,0.0079432823,848.9040000000
147.9140000000,0.0038898962,-0.0000100000,0.0012205343,0.0012205343,0.9704840963,0.0000039811,0.0079432823,887.4000000000
154.3160000000,0.0051822023,-0.0000100000,0.0011254832,0.0011254832,0.9684838081,0.0000039811,0.0079432823,925.8120000000
160.7750000000,0.0047510640,-0.0000100000,0.0010370854,0.0010370854,0.9650895025,0.0000039811,0.0079432823,964.5660000000
167.2770000000,0.0037906256,-0.0000100000,0.0009551102,0.0009551102,0.9622752608,0.0000039811,0.0079432823,1003.5780000000
173.7310000000,0.0046184805,-0.0000100000,0.0008801496,0.0008801496,0.9600593178,0.0000039811,0.0079432823,1042.3020000000
180.2060000000,0.0053149346,-0.0000100000,0.0008108565,0.0008108565,0.9561808722,0.0000039811,0.0079432823,1081.1520000000
186.6230000000,0.0037244562,-0.0000100000,0.0007475677,0.0007475677,0.9529107911,0.0000039811,0.0079432823,1119.6540000000
193.0240000000,0.0043202955,-0.0000100000,0.0006893496,0.0006893496,0.9490320803,0.0000039811,0.0079432823,1158.0660000000
199.4520000000,0.0037244562,-0.0000100000,0.0006354641,0.0006354641,0.9438316897,0.0000039811,0.0079432823,1196.6280000000
206.0130000000,0.0046847679,-0.0000100000,0.0005847975,0.0005847975,0.9385933009,0.0000039811,0.0079432823,1235.9940000000
212.5060000000,0.0044859320,-0.0000100000,0.0005386343,0.0005386343,0.9353579340,0.0000039811,0.0079432823,1274.9520000000
218.8720000000,0.0039229907,-0.0000100000,0.0004969137,0.0004969137,0.9300413343,0.0000039811,0.0079432823,1313.1480000000
225.2390000000,0.0045522019,-0.0000100000,0.0004584131,0.0004584131,0.9219474583,0.0000039811,0.0079432823,1351.3560000000
231.6320000000,0.0038237136,-0.0000100000,0.0004227669,0.0004227669,0.9182803554,0.0000039811,0.0079432823,1389.7080000000
238.0130000000,0.0043534184,-0.0000100000,0.0003899519,0.0003899519,0.9101672309,0.0000039811,0.0079432823,1427.9880000000
244.4430000000,0.0047510640,-0.0000100000,0.0003594517,0.0003594517,0.9019845969,0.0000039811,0.0079432823,1466.5740000000
250.9410000000,0.0046184805,-0.0000100000,0.0003310518,0.0003310518,0.8967647214,0.0000039811,0.0079432823,1505.5680000000
257.4140000000,0.0048173689,-0.0000100000,0.0003050001,0.0003050001,0.8877462158,0.0000039811,0.0079432823,1544.4000000000
263.8340000000,0.0040553907,-0.0000100000,0.0002811872,0.0002811872,0.8759879109,0.0000039811,0.0079432823,1582.9140000000
270.2550000000,0.0043202955,-0.0000100000,0.0002592236,0.0002592236,0.8682641658,0.0000039811,0.0079432823,1621.4460000000
276.6850000000,0.0050495050,-0.0000100000,0.0002389514,0.0002389514,0.8538809366,0.0000039811,0.0079432823,1660.0260000000
283.1000000000,0.0044859320,-0.0000100000,0.0002203063,0.0002203063,0.8491389028,0.0000039811,0.0079432823,1698.5160000000
289.5320000000,0.0051490247,-0.0000100000,0.0002030699,0.0002030699,0.8319325425,0.0000039811,0.0079432823,1737.1140000000
296.0470000000,0.0048836826,-0.0000100000,0.0001869924,0.0001869924,0.8252947091,0.0000039811,0.0079432823,1776.1920000000
302.4730000000,0.0055805046,-0.0000100000,0.0001723755,0.0001723755,0.8073687106,0.0000039811,0.0079432823,1814.7540000000
308.8770000000,0.0044196708,-0.0000100000,0.0001589494,0.0001589494,0.7919305604,0.0000039811,0.0079432823,1853.1720000000
315.2680000000,0.0052817483,-0.0000100000,0.0001465877,0.0001465877,0.7785931775,0.0000039811,0.0079432823,1891.5300000000
321.6740000000,0.0055140989,-0.0000100000,0.0001351668,0.0001351668,0.7618474194,0.0000039811,0.0079432823,1929.9600000000
328.0800000000,0.0057797741,-0.0000100000,0.0001246341,0.0001246341,0.7447628485,0.0000039811,0.0079432823,1968.3960000000
334.5820000000,0.0059458924,-0.0000100000,0.0001147840,0.0001147840,0.7267228052,0.0000039811,0.0079432823,2007.4020000000
341.1410000000,0.0061453068,-0.0000100000,0.0001056335,0.0001056335,0.7066419761,0.0000039811,0.0079432823,2046.7620000000
347.5480000000,0.0069770518,-0.0000100000,0.0000974009,0.0000974009,0.6899863502,0.0000039811,0.0079432823,2085.2040000000
353.9610000000,0.0081104343,-0.0000100000,0.0000898020,0.0000898020,0.6580264301,0.0000039811,0.0079432823,2123.6880000000
360.3830000000,0.0083440946,-0.0000100000,0.0000827886,0.0000827886,0.6205397236,0.0000039811,0.0079432823,2162.2140000000
366.7850000000,0.0066109146,-0.0000100000,0.0000763413,0.0000763413,0.6013056154,0.0000039811,0.0079432823,2200.6260000000
373.2180000000,0.0067107438,-0.0000100000,0.0000703685,0.0000703685,0.5636105652,0.0000039811,0.0079432823,2239.2240000000
380.0210000000,0.0114923440,-0.0000100000,0.0000645597,0.0000645597,0.5159224147,0.0000039811,0.0079432823,2280.0420000000
386.5740000000,0.0117948036,-0.0000100000,0.0000594183,0.0000594183,0.4907096862,0.0000039811,0.0079432823,2319.3600000000
392.9900000000,0.0142210085,-0.0000100000,0.0000547806,0.0000547806,0.4711623090,0.0000039811,0.0079432823,2357.8620000000
399.4480000000,0.0139170967,-0.0000100000,0.0000504793,0.0000504793,0.4378950166,0.0000039811,0.0079432823,2396.6040000000
405.8860000000,0.0149646714,-0.0000100000,0.0000465269,0.0000465269,0.4072770175,0.0000039811,0.0079432823,2435.2320000000
412.2960000000,0.0179162349,-0.0000100000,0.0000428992,0.0000428992,0.3653836678,0.0000039811,0.0079432823,2473.6920000000
418.7730000000,0.0296176083,-0.0000100000,0.0000395203,0.0000395203,0.2958858183,0.0000039811,0.0079432823,2512.5600000000
425.3300000000,0.0437688511,-0.0000100000,0.0000363720,0.0000363720,0.2254045757,0.0000039811,0.0079432823,2551.8900000000
431.9530000000,0.0675524083,-0.0000100000,0.0000334453,0.0000334453,0.1674218228,0.0000039811,0.0079432823,2591.6340000000
438.4740000000,0.0997833153,-0.0000100000,0.0000307943,0.0000307943,0.1136458763,0.0000039811,0.0079432823,2630.7600000000
445.0210000000,0.1307786566,-0.0000100000,0.0000283440,0.0000283440,0.0903385410,0.0000039811,0.0079432823,2670.0420000000
451.6150000000,0.1611759323,-0.0000100000,0.0000260729,0.0000260729,0.0580876124,0.0000039811,0.0079432823,2709.6120000000
458.2500000000,0.2038186346,-0.0000100000,0.0000239719,0.0000239719,0.0462870902,0.0000039811,0.0079432823,2749.4160000000
464.9800000000,0.2384302562,-0.0000100000,0.0000220134,0.0000220134,0.0313987399,0.0000039811,0.0079432823,2789.7960000000
471.9290000000,0.2754114839,-0.0000100000,0.0000201589,0.0000201589,0.0229280589,0.0000039811,0.0079432823,2831.4900000000
478.8150000000,0.3214580169,-0.0000100000,0.0000184754,0.0000184754,0.0142788482,0.0000039811,0.0079432823,2872.8060000000
485.7540000000,0.3649932766,-0.0000100000,0.0000169212,0.0000169212,0.0088844159,0.0000039811,0.0079432823,2914.4400000000
492.7910000000,0.4197202797,-0.0000100000,0.0000154784,0.0000154784,0.0049404566,0.0000039811,0.0079432823,2956.6620000000
499.9680000000,0.4779422470,-0.0000100000,0.0000141336,0.0000141336,0.0020603960,0.0000039811,0.0079432823,2999.7240000000
507.3240000000,0.5439566011,-0.0000100000,0.0000128764,0.0000128764,0.0007320820,0.0000039811,0.0079432823,3043.8600000000
515.0330000000,0.6073577536,-0.0000100000,0.0000116787,0.0000116787,0.0002400652,0.0000039811,0.0079432823,3090.1140000000
522.8130000000,0.6600163532,-0.0000100000,0.0000105829,0.0000105829,0.0000531588,0.0000039811,0.0079432823,3136.7940000000
