time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0130000000,0.0029074295,-0.0000100000,0.0039810274,0.0039810274,-nan,0.0000050119,0.0039810717,0.0060000000
5.9560000000,0.0029354207,-0.0000100000,0.0037263216,0.0037263216,0.9930058912,0.0000050119,0.0039810717,35.6520000000
12.0060000000,0.0019815059,-0.0000100000,0.0034836445,0.0034836445,0.9921607366,0.0000050119,0.0039810717,71.9580000000
18.0060000000,0.0015131455,-0.0000100000,0.0032586571,0.0032586571,0.9923646470,0.0000050119,0.0039810717,107.9520000000
23.9000000000,0.0021329871,-0.0000100000,0.0030517644,0.0030517644,0.9918594240,0.0000050119,0.0039810717,143.3160000000
29.7980000000,0.0015630921,-0.0000100000,0.0028578483,0.0028578483,0.9911804192,0.0000050119,0.0039810717,178.7100000000
35.6830000000,0.0021341174,-0.0000100000,0.0026766710,0.0026766710,0.9905998510,0.0000050119,0.0039810717,214.0200000000
41.5810000000,0.0020793951,-0.0000100000,0.0025066450,0.0025066450,0.9899013043,0.0000050119,0.0039810717,249.4020000000
47.4790000000,0.0017884878,-0.0000100000,0.0023473670,0.0023473670,0.9883905649,0.0000050119,0.0039810717,284.7960000000
53.4320000000,0.0023032810,-0.0000100000,0.0021969382,0.0021969382,0.9885693102,0.0000050119,0.0039810717,320.5020000000
59.4660000000,0.0016473711,-0.0000100000,0.0020542052,0.0020542052,0.9878088493,0.0000050119,0.0039810717,356.7180000000
65.3610000000,0.0021631075,-0.0000100000,0.0019237620,0.0019237620,0.9865761280,0.0000050119,0.0039810717,392.0880000000
71.2630000000,0.0019614409,-0.0000100000,0.0018014816,0.0018014816,0.9857425957,0.0000050119,0.0039810717,427.4940000000
77.1450000000,0.0019298659,-0.0000100000,0.0016873118,0.0016873118,0.9846937973,0.0000050119,0.0039810717,462.7920000000
83.0350000000,0.0022374493,-0.0000100000,0.0015802720,0.0015802720,0.9841583496,0.0000050119,0.0039810717,498.1260000000
88.9140000000,0.0020677296,-0.0000100000,0.0014801873,0.0014801873,0.9834407040,0.0000050119,0.0039810717,533.4000000000
94.8170000000,0.0023459062,-0.0000100000,0.0013860711,0.0013860711,0.9827681731,0.0000050119,0.0039810717,568.8180000000
100.8050000000,0.0014361160,-0.0000100000,0.0012966975,0.0012966975,0.9804196739,0.0000050119,0.0039810717,604.7520000000
106.7190000000,0.0016009040,-0.0000100000,0.0012140996,0.0012140996,0.9795629578,0.0000050119,0.0039810717,640.2360000000
112.6280000000,0.0024168061,-0.0000100000,0.0011368264,0.0011368264,0.9780417332,0.0000050119,0.0039810717,675.6900000000
118.5290000000,0.0027163904,-0.0000100000,0.0010645780,0.0010645780,0.9758119314,0.0000050119,0.0039810717,711.0900000000
124.4330000000,0.0023094688,-0.0000100000,0.0009968657,0.0009968657,0.9747381742,0.0000050119,0.0039810717,746.5200000000
130.3500000000,0.0021024465,-0.0000100000,0.0009333356,0.0009333356,0.9717911214,0.0000050119,0.0039810717,782.0220000000
