time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0070000000,0.0132070316,-0.0000100000,0.0158489319,0.0158489319,-nan,0.0000125893,0.0158489319,0.0000000000
5.1040000000,0.0047872821,-0.0000100000,0.0149169832,0.0149169832,0.9930980014,0.0000125893,0.0158489319,30.5640000000
10.2270000000,0.0040617384,-0.0000100000,0.0140346580,0.0140346580,0.9928267421,0.0000125893,0.0158489319,61.3140000000
15.3420000000,0.0056047731,-0.0000100000,0.0132062496,0.0132062496,0.9920334168,0.0000125893,0.0158489319,91.9980000000
20.4580000000,0.0052412796,-0.0000100000,0.0124262952,0.0124262952,0.9915987241,0.0000125893,0.0158489319,122.7000000000
25.6650000000,0.0042430261,-0.0000100000,0.0116798922,0.0116798922,0.9913388708,0.0000125893,0.0158489319,153.9420000000
30.7490000000,0.0046057979,-0.0000100000,0.0109945299,0.0109945299,0.9905840010,0.0000125893,0.0158489319,184.4400000000
35.7780000000,0.0046965318,-0.0000100000,0.0103559116,0.0103559116,0.9897786130,0.0000125893,0.0158489319,214.6200000000
40.8210000000,0.0058775658,-0.0000100000,0.0097528789,0.0097528789,0.9891663355,0.0000125893,0.0158489319,244.8780000000
45.8800000000,0.0057866184,-0.0000100000,0.0091832132,0.0091832132,0.9887883515,0.0000125893,0.0158489319,275.2320000000
50.9320000000,0.0051504473,-0.0000100000,0.0086475417,0.0086475417,0.9879095642,0.0000125893,0.0158489319,305.5440000000
55.9800000000,0.0050596314,-0.0000100000,0.0081435044,0.0081435044,0.9875385046,0.0000125893,0.0158489319,335.8320000000
61.0190000000,0.0064235954,-0.0000100000,0.0076696669,0.0076696669,0.9868062193,0.0000125893,0.0158489319,366.0660000000
66.1340000000,0.0062415197,-0.0000100000,0.0072169578,0.0072169578,0.9860060562,0.0000125893,0.0158489319,396.7500000000
71.5860000000,0.0056047731,-0.0000100000,0.0067636377,0.0067636377,0.9846936158,0.0000125893,0.0158489319,429.4680000000
76.6960000000,0.0073349633,-0.0000100000,0.0063647864,0.0063647864,0.9836833620,0.0000125893,0.0158489319,460.1220000000
81.8140000000,0.0045150804,-0.0000100000,0.0059887429,0.0059887429,0.9828827168,0.0000125893,0.0158489319,490.8360000000
86.9520000000,0.0049688319,-0.0000100000,0.0056337102,0.0056337102,0.9818612015,0.0000125893,0.0158489319,521.6580000000
92.0590000000,0.0038805162,-0.0000100000,0.0053015537,0.0053015537,0.9806069555,0.0000125893,0.0158489319,552.3060000000
97.1510000000,0.0056956876,-0.0000100000,0.0049899899,0.0049899899,0.9796093870,0.0000125893,0.0158489319,582.8520000000
102.2470000000,0.0046057979,-0.0000100000,0.0046964009,0.0046964009,0.9781934794,0.0000125893,0.0158489319,613.4340000000
