time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0080000000,0.0092380641,-0.0000100000,0.0158489319,0.0158489319,-nan,0.0000100000,0.0158489319,0.0000000000
5.1930000000,0.0050476268,-0.0000100000,0.0148714050,0.0148714050,0.9936770288,0.0000100000,0.0158489319,31.1040000000
10.3500000000,0.0055388124,-0.0000100000,0.0139587973,0.0139587973,0.9933417605,0.0000100000,0.0158489319,62.0460000000
15.5380000000,0.0046386719,-0.0000100000,0.0130972062,0.0130972062,0.9929009491,0.0000100000,0.0158489319,93.1740000000
20.7120000000,0.0057845853,-0.0000100000,0.0122909089,0.0122909089,0.9926888538,0.0000100000,0.0158489319,124.2180000000
25.8810000000,0.0056207234,-0.0000100000,0.0115348159,0.0115348159,0.9923680213,0.0000100000,0.0158489319,155.2380000000
31.0490000000,0.0066046967,-0.0000100000,0.0108257668,0.0108257668,0.9914447326,0.0000100000,0.0158489319,186.2340000000
36.2680000000,0.0060304784,-0.0000100000,0.0101534430,0.0101534430,0.9910919825,0.0000100000,0.0158489319,217.5600000000
41.4510000000,0.0043934586,-0.0000100000,0.0095274351,0.0095274351,0.9905009968,0.0000100000,0.0158489319,248.6520000000
46.6150000000,0.0062764917,-0.0000100000,0.0089420000,0.0089420000,0.9898189824,0.0000100000,0.0158489319,279.6360000000
51.7730000000,0.0057026477,-0.0000100000,0.0083930537,0.0083930537,0.9886135439,0.0000100000,0.0158489319,310.5900000000
56.9330000000,0.0034138015,-0.0000100000,0.0078778069,0.0078778069,0.9881778331,0.0000100000,0.0158489319,341.5440000000
62.1090000000,0.0048840049,-0.0000100000,0.0073926475,0.0073926475,0.9873637187,0.0000100000,0.0158489319,372.6000000000
67.2620000000,0.0055388124,-0.0000100000,0.0069392415,0.0069392415,0.9866703682,0.0000100000,0.0158489319,403.5240000000
72.4360000000,0.0056207234,-0.0000100000,0.0065121241,0.0065121241,0.9860662992,0.0000100000,0.0158489319,434.5620000000
77.6400000000,0.0055388124,-0.0000100000,0.0061089701,0.0061089701,0.9849801076,0.0000100000,0.0158489319,465.7860000000
82.8500000000,0.0057845853,-0.0000100000,0.0057304228,0.0057304228,0.9840157614,0.0000100000,0.0158489319,497.0400000000
88.0560000000,0.0057845853,-0.0000100000,0.0053753985,0.0053753985,0.9830329763,0.0000100000,0.0158489319,528.2880000000
112.7490000000,0.0064405674,-0.0000100000,0.0039694043,0.0039694043,0.9821571117,0.0000100000,0.0158489319,676.4340000000
117.9590000000,0.0048840049,-0.0000100000,0.0037233455,0.0037233455,0.9771157461,0.0000100000,0.0158489319,707.7000000000
123.1900000000,0.0041483651,-0.0000100000,0.0034916819,0.0034916819,0.9726917896,0.0000100000,0.0158489319,739.0860000000
128.4010000000,0.0061124694,-0.0000100000,0.0032752767,0.0032752767,0.9712959649,0.0000100000,0.0158489319,770.3460000000
133.5950000000,0.0050476268,-0.0000100000,0.0030728121,0.0030728121,0.9701298635,0.0000100000,0.0158489319,801.5220000000
138.7850000000,0.0045569208,-0.0000100000,0.0028831108,0.0028831108,0.9680128752,0.0000100000,0.0158489319,832.6560000000
144.0080000000,0.0062764917,-0.0000100000,0.0027039916,0.0027039916,0.9664258813,0.0000100000,0.0158489319,863.9940000000
149.2200000000,0.0066046967,-0.0000100000,0.0025363119,0.0025363119,0.9648812228,0.0000100000,0.0158489319,895.2720000000
154.4090000000,0.0063585229,-0.0000100000,0.0023797902,0.0023797902,0.9618306189,0.0000100000,0.0158489319,926.3940000000
159.6040000000,0.0040666938,-0.0000100000,0.0022326535,0.0022326535,0.9584033966,0.0000100000,0.0158489319,957.5760000000
