time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0080000000,0.0012972973,-0.0000100000,0.0015848932,0.0015848932,-nan,0.0000002512,0.0015848932,0.0000000000
4.9120000000,0.0009727626,-0.0000100000,0.0014755718,0.0014755718,0.9913727159,0.0000002512,0.0015848932,29.4060000000
9.8140000000,0.0017431726,-0.0000100000,0.0013737509,0.0013737509,0.9915633194,0.0000002512,0.0015848932,58.8240000000
14.7200000000,0.0013682565,-0.0000100000,0.0012789002,0.0012789002,0.9942871544,0.0000002512,0.0015848932,88.2600000000
19.6170000000,0.0009754194,-0.0000100000,0.0011907548,0.0011907548,0.9890000342,0.0000002512,0.0015848932,117.6420000000
24.5440000000,0.0007747434,-0.0000100000,0.0011081996,0.0011081996,0.9895943121,0.0000002512,0.0015848932,147.2040000000
29.4670000000,0.0013698630,-0.0000100000,0.0010314583,0.0010314583,0.9896268273,0.0000002512,0.0015848932,176.7300000000
34.4940000000,0.0005866250,-0.0000100000,0.0009585343,0.0009585343,0.9887563414,0.0000002512,0.0015848932,206.8980000000
39.3910000000,0.0017247988,-0.0000100000,0.0008924824,0.0008924824,0.9862550908,0.0000002512,0.0015848932,236.2740000000
44.2300000000,0.0015290520,-0.0000100000,0.0008316489,0.0008316489,0.9848901654,0.0000002512,0.0015848932,265.3200000000
49.0820000000,0.0013576416,-0.0000100000,0.0007748376,0.0007748376,0.9859782209,0.0000002512,0.0015848932,294.4320000000
53.9360000000,0.0001968117,-0.0000100000,0.0007218861,0.0007218861,0.9827483067,0.0000002512,0.0015848932,323.5560000000
58.7950000000,0.0011470082,-0.0000100000,0.0006725042,0.0006725042,0.9805566985,0.0000002512,0.0015848932,352.7100000000
63.6480000000,0.0007818608,-0.0000100000,0.0006265552,0.0006265552,0.9808215300,0.0000002512,0.0015848932,381.8280000000
68.5160000000,0.0011623402,-0.0000100000,0.0005836265,0.0005836265,0.9804339279,0.0000002512,0.0015848932,411.0300000000
73.3890000000,0.0009718173,-0.0000100000,0.0005435836,0.0005435836,0.9810956756,0.0000002512,0.0015848932,440.2740000000
78.4120000000,0.0005792624,-0.0000100000,0.0005051891,0.0005051891,0.9774796263,0.0000002512,0.0015848932,470.4120000000
83.2980000000,0.0021350932,-0.0000100000,0.0004704592,0.0004704592,0.9721735383,0.0000002512,0.0015848932,499.7160000000
88.1390000000,0.0013474495,-0.0000100000,0.0004383789,0.0004383789,0.9721466243,0.0000002512,0.0015848932,528.7740000000
92.9880000000,0.0005832037,-0.0000100000,0.0004084504,0.0004084504,0.9644340031,0.0000002512,0.0015848932,557.8680000000
97.8320000000,0.0021756329,-0.0000100000,0.0003805929,0.0003805929,0.9626030276,0.0000002512,0.0015848932,586.9320000000
102.6780000000,0.0013366431,-0.0000100000,0.0003546302,0.0003546302,0.9673133676,0.0000002512,0.0015848932,616.0020000000
107.5260000000,0.0024532931,-0.0000100000,0.0003304241,0.0003304241,0.9589310300,0.0000002512,0.0015848932,645.0900000000
