time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0220000000,0.0097230490,-0.0000100000,0.0037583740,0.0037583740,-nan,0.0000018836,0.0037583740,0.0000000000
7.5070000000,0.0064847911,-0.0000100000,0.0034185190,0.0034185190,0.9936971152,0.0000018836,0.0037583740,44.9040000000
15.0070000000,0.0063994801,-0.0000100000,0.0031088051,0.0031088051,0.9933426265,0.0000018836,0.0037583740,89.8980000000
22.4900000000,0.0059873475,-0.0000100000,0.0028276881,0.0028276881,0.9926832628,0.0000018836,0.0037583740,134.8020000000
29.9910000000,0.0067834935,-0.0000100000,0.0025714702,0.0025714702,0.9922450558,0.0000018836,0.0037583740,179.8020000000
37.6910000000,0.0065843389,-0.0000100000,0.0023325234,0.0023325234,0.9911830038,0.0000018836,0.0037583740,226.0080000000
45.1990000000,0.0058169086,-0.0000100000,0.0021209577,0.0021209577,0.9905891527,0.0000018836,0.0037583740,271.0560000000
52.6790000000,0.0065416731,-0.0000100000,0.0019292411,0.0019292411,0.9889352329,0.0000018836,0.0037583740,315.9420000000
60.1670000000,0.0060725886,-0.0000100000,0.0017547429,0.0017547429,0.9881839033,0.0000018836,0.0037583740,360.8580000000
67.6880000000,0.0063568301,-0.0000100000,0.0015952803,0.0015952803,0.9870940066,0.0000018836,0.0037583740,405.9960000000
75.2700000000,0.0061294241,-0.0000100000,0.0014492623,0.0014492623,0.9859811111,0.0000018836,0.0037583740,451.4760000000
82.9810000000,0.0060299662,-0.0000100000,0.0013143938,0.0013143938,0.9842868060,0.0000018836,0.0037583740,497.7540000000
90.4770000000,0.0067123578,-0.0000100000,0.0011953718,0.0011953718,0.9822982784,0.0000018836,0.0037583740,542.7240000000
97.9650000000,0.0056323316,-0.0000100000,0.0010872377,0.0010872377,0.9806378704,0.0000018836,0.0037583740,587.6460000000
105.4600000000,0.0061010055,-0.0000100000,0.0009887603,0.0009887603,0.9791521270,0.0000018836,0.0037583740,632.6280000000
112.9510000000,0.0058879178,-0.0000100000,0.0008992822,0.0008992822,0.9772337616,0.0000018836,0.0037583740,677.5680000000
120.5030000000,0.0067692656,-0.0000100000,0.0008172492,0.0008172492,0.9738816058,0.0000018836,0.0037583740,722.8860000000
128.1980000000,0.0060015533,-0.0000100000,0.0007413649,0.0007413649,0.9742673631,0.0000018836,0.0037583740,769.0560000000
135.6830000000,0.0063852630,-0.0000100000,0.0006743261,0.0006743261,0.9693687422,0.0000018836,0.0037583740,813.9600000000
143.1580000000,0.0061578442,-0.0000100000,0.0006134194,0.0006134194,0.9655865631,0.0000018836,0.0037583740,858.8100000000
150.6440000000,0.0066981319,-0.0000100000,0.0005579361,0.0005579361,0.9645536078,0.0000018836,0.0037583740,903.7260000000
158.1280000000,0.0069969609,-0.0000100000,0.0005074842,0.0005074842,0.9584739194,0.0000018836,0.0037583740,948.6300000000
165.8020000000,0.0063852630,-0.0000100000,0.0004604792,0.0004604792,0.9556304543,0.0000018836,0.0037583740,994.6800000000
173.2960000000,0.0070111953,-0.0000100000,0.0004187921,0.0004187921,0.9504513092,0.0000018836,0.0037583740,1039.6380000000
180.7920000000,0.0063141836,-0.0000100000,0.0003808693,0.0003808693,0.9482744169,0.0000018836,0.0037583740,1084.6080000000
188.2690000000,0.0063994801,-0.0000100000,0.0003464551,0.0003464551,0.9405320522,0.0000018836,0.0037583740,1129.4760000000
195.7470000000,0.0067550380,-0.0000100000,0.0003151545,0.0003151545,0.9338643148,0.0000018836,0.0037583740,1174.3380000000
203.7830000000,0.0060441733,-0.0000100000,0.0002846558,0.0002846558,0.9305693045,0.0000018836,0.0037583740,1222.5600000000
211.5410000000,0.0066696812,-0.0000100000,0.0002580186,0.0002580186,0.9173141621,0.0000018836,0.0037583740,1269.1080000000
219.1640000000,0.0065843389,-0.0000100000,0.0002342772,0.0002342772,0.9115968450,0.0000018836,0.0037583740,1314.8400000000
226.6450000000,0.0065132313,-0.0000100000,0.0002130978,0.0002130978,0.9054655721,0.0000018836,0.0037583740,1359.7320000000
234.1360000000,0.0066839063,-0.0000100000,0.0001938086,0.0001938086,0.8944988924,0.0000018836,0.0037583740,1404.6840000000
241.6310000000,0.0068688696,-0.0000100000,0.0001762609,0.0001762609,0.8802526549,0.0000018836,0.0037583740,1449.6480000000
249.1250000000,0.0075666502,-0.0000100000,0.0001603000,0.0001603000,0.8747801261,0.0000018836,0.0037583740,1494.6180000000
256.8810000000,0.0066270082,-0.0000100000,0.0001453051,0.0001453051,0.8629583596,0.0000018836,0.0037583740,1541.1480000000
264.3760000000,0.0066696812,-0.0000100000,0.0001321474,0.0001321474,0.8417105435,0.0000018836,0.0037583740,1586.1180000000
271.8320000000,0.0086936822,-0.0000100000,0.0001202419,0.0001202419,0.8245584518,0.0000018836,0.0037583740,1630.8480000000
279.3270000000,0.0078945135,-0.0000100000,0.0001093523,0.0001093523,0.8162134409,0.0000018836,0.0037583740,1675.8240000000
286.8200000000,0.0089508271,-0.0000100000,0.0000994514,0.0000994514,0.7814098078,0.0000018836,0.0037583740,1720.7880000000
294.3300000000,0.0112279805,-0.0000100000,0.0000904309,0.0000904309,0.7348292362,0.0000018836,0.0037583740,1765.8360000000
301.9850000000,0.0121618550,-0.0000100000,0.0000820736,0.0000820736,0.6821647555,0.0000018836,0.0037583740,1811.7780000000
309.4820000000,0.0170895022,-0.0000100000,0.0000746407,0.0000746407,0.6636188690,0.0000018836,0.0037583740,1856.7540000000
316.9840000000,0.0189515841,-0.0000100000,0.0000678757,0.0000678757,0.6551156800,0.0000018836,0.0037583740,1901.7660000000
324.4890000000,0.0202649481,-0.0000100000,0.0000617216,0.0000617216,0.5930376429,0.0000018836,0.0037583740,1946.7960000000
332.0430000000,0.0241076434,-0.0000100000,0.0000560906,0.0000560906,0.5680638949,0.0000018836,0.0037583740,1992.1200000000
339.7690000000,0.0281722665,-0.0000100000,0.0000508656,0.0000508656,0.5412012499,0.0000018836,0.0037583740,2038.4460000000
347.6600000000,0.0364141583,-0.0000100000,0.0000460253,0.0000460253,0.4424464441,0.0000018836,0.0037583740,2085.8220000000
355.2170000000,0.0395598944,-0.0000100000,0.0000418247,0.0000418247,0.4016535583,0.0000018836,0.0037583740,2131.1640000000
362.7350000000,0.0478473826,-0.0000100000,0.0000380263,0.0000380263,0.3643256345,0.0000018836,0.0037583740,2176.2720000000
370.2480000000,0.0677137975,-0.0000100000,0.0000345755,0.0000345755,0.3194552802,0.0000018836,0.0037583740,2221.3440000000
377.7960000000,0.0886973531,-0.0000100000,0.0000314235,0.0000314235,0.2597668337,0.0000018836,0.0037583740,2266.6320000000
385.4640000000,0.1226853676,-0.0000100000,0.0000285151,0.0000285151,0.1564690663,0.0000018836,0.0037583740,2312.6460000000
393.3460000000,0.1771315268,-0.0000100000,0.0000258062,0.0000258062,0.1047911161,0.0000018836,0.0037583740,2359.9380000000
400.9720000000,0.2440408627,-0.0000100000,0.0000234301,0.0000234301,0.0598330592,0.0000018836,0.0037583740,2405.7000000000
408.6900000000,0.3101609195,-0.0000100000,0.0000212484,0.0000212484,0.0312785461,0.0000018836,0.0037583740,2452.0080000000
416.4980000000,0.3716882317,-0.0000100000,0.0000192481,0.0000192481,0.0246434137,0.0000018836,0.0037583740,2498.8500000000
424.4200000000,0.4351040471,-0.0000100000,0.0000174109,0.0000174109,0.0203350559,0.0000018836,0.0037583740,2546.3760000000
432.7860000000,0.4918122042,-0.0000100000,0.0000156602,0.0000156602,0.0109287236,0.0000018836,0.0037583740,2596.5840000000
441.0170000000,0.5436619718,-0.0000100000,0.0000141102,0.0000141102,0.0067822956,0.0000018836,0.0037583740,2645.9640000000
449.3700000000,0.5935577676,-0.0000100000,0.0000126938,0.0000126938,0.0049380999,0.0000018836,0.0037583740,2696.0820000000
457.9310000000,0.6464823888,-0.0000100000,0.0000113897,0.0000113897,0.0031493539,0.0000018836,0.0037583740,2747.4420000000
466.7360000000,0.6949797764,-0.0000100000,0.0000101876,0.0000101876,0.0014142516,0.0000018836,0.0037583740,2800.2840000000
475.9560000000,0.7469776110,-0.0000100000,0.0000090650,0.0000090650,0.0008888836,0.0000018836,0.0037583740,2855.5980000000
485.3330000000,0.7890507283,-0.0000100000,0.0000080499,0.0000080499,0.0004339439,0.0000018836,0.0037583740,2911.8660000000
494.8890000000,0.8276976756,-0.0000100000,0.0000071324,0.0000071324,0.0002488521,0.0000018836,0.0037583740,2969.1960000000
504.7670000000,0.8665339167,-0.0000100000,0.0000062936,0.0000062936,0.0000678833,0.0000018836,0.0037583740,3028.4700000000
515.0100000000,0.8951848896,-0.0000100000,0.0000055281,0.0000055281,0.0000177333,0.0000018836,0.0037583740,3089.9160000000
525.6870000000,0.9168056826,-0.0000100000,0.0000048288,0.0000048288,0.0000035999,0.0000018836,0.0037583740,3153.9900000000
536.3400000000,0.9297342688,-0.0000100000,0.0000042195,0.0000042195,0.0000005729,0.0000018836,0.0037583740,3217.8960000000
547.1420000000,0.9368695794,-0.0000100000,0.0000036800,0.0000036800,0.0000000555,0.0000018836,0.0037583740,3282.7140000000
558.1260000000,0.9411973078,-0.0000100000,0.0000032021,0.0000032021,0.0000000063,0.0000018836,0.0037583740,3348.6180000000
569.1850000000,0.9441639604,-0.0000100000,0.0000027836,0.0000027836,0.0000000003,0.0000018836,0.0037583740,3414.9720000000
580.1070000000,0.9461822155,-0.0000100000,0.0000024240,0.0000024240,0.0000000000,0.0000018836,0.0037583740,3480.5040000000
591.1330000000,0.9471396944,-0.0000100000,0.0000021081,0.0000021081,0.0000000000,0.0000018836,0.0037583740,3546.6600000000
602.2290000000,0.9481513892,-0.0000100000,0.0000018318,0.0000018318,0.0000000000,0.0000018836,0.0037583740,3613.2360000000
