time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0230000000,0.0083382207,-0.0000100000,0.0037583740,0.0037583740,-nan,0.0000014962,0.0037583740,0.0000000000
8.1500000000,0.0054283571,-0.0000100000,0.0033802358,0.0033802358,0.9947064443,0.0000014962,0.0037583740,48.7620000000
16.6480000000,0.0051089139,-0.0000100000,0.0030254618,0.0030254618,0.9941135685,0.0000014962,0.0037583740,99.7500000000
24.5880000000,0.0055434064,-0.0000100000,0.0027277109,0.0027277109,0.9935835058,0.0000014962,0.0037583740,147.3900000000
32.5900000000,0.0053005555,-0.0000100000,0.0024572424,0.0024572424,0.9927993555,0.0000014962,0.0037583740,195.4080000000
40.5240000000,0.0051600112,-0.0000100000,0.0022156152,0.0022156152,0.9917836607,0.0000014962,0.0037583740,243.0060000000
48.4630000000,0.0053772326,-0.0000100000,0.0019975914,0.0019975914,0.9913611125,0.0000014962,0.0037583740,290.6400000000
56.7850000000,0.0053772326,-0.0000100000,0.0017920674,0.0017920674,0.9902275927,0.0000014962,0.0037583740,340.5660000000
64.8890000000,0.0053516722,-0.0000100000,0.0016122053,0.0016122053,0.9886730337,0.0000014962,0.0037583740,389.2020000000
72.8700000000,0.0061062487,-0.0000100000,0.0014527816,0.0014527816,0.9876806043,0.0000014962,0.0037583740,437.0820000000
80.8600000000,0.0055050537,-0.0000100000,0.0013089689,0.0013089689,0.9866618650,0.0000014962,0.0037583740,485.0160000000
88.8370000000,0.0052877771,-0.0000100000,0.0011795617,0.0011795617,0.9846841117,0.0000014962,0.0037583740,532.8840000000
96.9280000000,0.0053005555,-0.0000100000,0.0010613819,0.0010613819,0.9825092409,0.0000014962,0.0037583740,581.4300000000
105.3240000000,0.0053388926,-0.0000100000,0.0009512493,0.0009512493,0.9822682984,0.0000014962,0.0037583740,631.8060000000
113.3020000000,0.0055050537,-0.0000100000,0.0008572069,0.0008572069,0.9799236614,0.0000014962,0.0037583740,679.6740000000
121.2910000000,0.0053516722,-0.0000100000,0.0007723509,0.0007723509,0.9760647819,0.0000014962,0.0037583740,727.6080000000
129.2780000000,0.0055050537,-0.0000100000,0.0006959131,0.0006959131,0.9748183882,0.0000014962,0.0037583740,775.5300000000
137.2890000000,0.0058759189,-0.0000100000,0.0006268438,0.0006268438,0.9709972803,0.0000014962,0.0037583740,823.5960000000
145.4650000000,0.0048790405,-0.0000100000,0.0005634153,0.0005634153,0.9677870352,0.0000014962,0.0037583740,872.6520000000
153.9180000000,0.0058887122,-0.0000100000,0.0005045780,0.0005045780,0.9658033697,0.0000014962,0.0037583740,923.3700000000
161.8610000000,0.0056456945,-0.0000100000,0.0004549022,0.0004549022,0.9613402917,0.0000014962,0.0037583740,971.0280000000
169.8370000000,0.0058887122,-0.0000100000,0.0004099403,0.0004099403,0.9591444407,0.0000014962,0.0037583740,1018.8840000000
177.8030000000,0.0056840579,-0.0000100000,0.0003694707,0.0003694707,0.9514876596,0.0000014962,0.0037583740,1066.6800000000
185.7810000000,0.0052622213,-0.0000100000,0.0003329441,0.0003329441,0.9457054070,0.0000014962,0.0037583740,1114.5480000000
194.2130000000,0.0060806513,-0.0000100000,0.0002982566,0.0002982566,0.9399705530,0.0000014962,0.0037583740,1165.1400000000
202.1640000000,0.0053644522,-0.0000100000,0.0002688685,0.0002688685,0.9339010067,0.0000014962,0.0037583740,1212.8400000000
210.1040000000,0.0060678531,-0.0000100000,0.0002424047,0.0002424047,0.9234592502,0.0000014962,0.0037583740,1260.4860000000
218.0400000000,0.0061446473,-0.0000100000,0.0002185598,0.0002185598,0.9166456746,0.0000014962,0.0037583740,1308.1020000000
225.9900000000,0.0056073340,-0.0000100000,0.0001970245,0.0001970245,0.9116600693,0.0000014962,0.0037583740,1355.8020000000
234.2990000000,0.0057607935,-0.0000100000,0.0001767835,0.0001767835,0.9031750273,0.0000014962,0.0037583740,1405.6500000000
242.3870000000,0.0062598606,-0.0000100000,0.0001590758,0.0001590758,0.8853964665,0.0000014962,0.0037583740,1454.1840000000
250.3550000000,0.0057224243,-0.0000100000,0.0001433661,0.0001433661,0.8784723244,0.0000014962,0.0037583740,1501.9980000000
258.3400000000,0.0060806513,-0.0000100000,0.0001291825,0.0001291825,0.8612694298,0.0000014962,0.0037583740,1549.9020000000
266.3330000000,0.0063494891,-0.0000100000,0.0001163885,0.0001163885,0.8397588765,0.0000014962,0.0037583740,1597.8600000000
274.3280000000,0.0065544144,-0.0000100000,0.0001048602,0.0001048602,0.8367375223,0.0000014962,0.0037583740,1645.8240000000
282.8740000000,0.0077343561,-0.0000100000,0.0000937946,0.0000937946,0.8077885859,0.0000014962,0.0037583740,1697.1060000000
290.9190000000,0.0093548593,-0.0000100000,0.0000844469,0.0000844469,0.7657256380,0.0000014962,0.0037583740,1745.3820000000
298.9180000000,0.0110064300,-0.0000100000,0.0000760785,0.0000760785,0.7149450271,0.0000014962,0.0037583740,1793.3700000000
306.9210000000,0.0120155088,-0.0000100000,0.0000685348,0.0000685348,0.6745808727,0.0000014962,0.0037583740,1841.3880000000
314.8990000000,0.0164507506,-0.0000100000,0.0000617593,0.0000617593,0.6510588561,0.0000014962,0.0037583740,1889.2560000000
322.9000000000,0.0177718867,-0.0000100000,0.0000556370,0.0000556370,0.5992691099,0.0000014962,0.0037583740,1937.2620000000
330.9170000000,0.0188470209,-0.0000100000,0.0000501118,0.0000501118,0.5760531738,0.0000014962,0.0037583740,1985.3580000000
338.9200000000,0.0214524649,-0.0000100000,0.0000451423,0.0000451423,0.5453480984,0.0000014962,0.0037583740,2033.3820000000
346.9420000000,0.0253325382,-0.0000100000,0.0000406561,0.0000406561,0.5046341315,0.0000014962,0.0037583740,2081.5140000000
354.9600000000,0.0328849419,-0.0000100000,0.0000366176,0.0000366176,0.4246546511,0.0000014962,0.0037583740,2129.6220000000
363.4070000000,0.0443969046,-0.0000100000,0.0000327967,0.0000327967,0.3732891785,0.0000014962,0.0037583740,2180.2980000000
371.4160000000,0.0571000855,-0.0000100000,0.0000295416,0.0000295416,0.3237143915,0.0000014962,0.0037583740,2228.3640000000
379.4220000000,0.0695516938,-0.0000100000,0.0000266117,0.0000266117,0.2808562682,0.0000014962,0.0037583740,2276.3940000000
387.4530000000,0.0962823321,-0.0000100000,0.0000239639,0.0000239639,0.2134804753,0.0000014962,0.0037583740,2324.5860000000
395.5130000000,0.1419990181,-0.0000100000,0.0000215720,0.0000215720,0.1231965525,0.0000014962,0.0037583740,2372.9400000000
403.7370000000,0.1831196613,-0.0000100000,0.0000193770,0.0000193770,0.0745254570,0.0000014962,0.0037583740,2422.2840000000
412.1830000000,0.2338799008,-0.0000100000,0.0000173553,0.0000173553,0.0454181321,0.0000014962,0.0037583740,2472.9540000000
420.4510000000,0.2870719958,-0.0000100000,0.0000155803,0.0000155803,0.0298944120,0.0000014962,0.0037583740,2522.5680000000
428.8160000000,0.3341430499,-0.0000100000,0.0000139692,0.0000139692,0.0210529183,0.0000014962,0.0037583740,2572.7580000000
437.3140000000,0.3819567003,-0.0000100000,0.0000125031,0.0000125031,0.0129935461,0.0000014962,0.0037583740,2623.7460000000
445.9310000000,0.4247779639,-0.0000100000,0.0000111735,0.0000111735,0.0076989714,0.0000014962,0.0037583740,2675.4480000000
455.2870000000,0.4679089795,-0.0000100000,0.0000098895,0.0000098895,0.0052019495,0.0000014962,0.0037583740,2731.5780000000
464.2900000000,0.5119675767,-0.0000100000,0.0000087933,0.0000087933,0.0031223645,0.0000014962,0.0037583740,2785.6020000000
473.4900000000,0.5449590748,-0.0000100000,0.0000077987,0.0000077987,0.0018554029,0.0000014962,0.0037583740,2840.8020000000
482.9130000000,0.5855335699,-0.0000100000,0.0000068964,0.0000068964,0.0010589560,0.0000014962,0.0037583740,2897.3400000000
492.7340000000,0.6240502690,-0.0000100000,0.0000060670,0.0000060670,0.0005890647,0.0000014962,0.0037583740,2956.2660000000
503.1720000000,0.6571260948,-0.0000100000,0.0000052945,0.0000052945,0.0002255078,0.0000014962,0.0037583740,3018.8940000000
513.5830000000,0.6880389311,-0.0000100000,0.0000046220,0.0000046220,0.0000719819,0.0000014962,0.0037583740,3081.3600000000
524.4150000000,0.7095302942,-0.0000100000,0.0000040128,0.0000040128,0.0000169139,0.0000014962,0.0037583740,3146.3520000000
535.4340000000,0.7228999651,-0.0000100000,0.0000034754,0.0000034754,0.0000036120,0.0000014962,0.0037583740,3212.4660000000
547.1100000000,0.7311590237,-0.0000100000,0.0000029843,0.0000029843,0.0000004120,0.0000014962,0.0037583740,3282.5160000000
558.4710000000,0.7368236121,-0.0000100000,0.0000025731,0.0000025731,0.0000000600,0.0000014962,0.0037583740,3350.6880000000
569.8250000000,0.7417195208,-0.0000100000,0.0000022188,0.0000022188,0.0000000048,0.0000014962,0.0037583740,3418.8120000000
