time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0220000000,0.0020635103,-0.0000100000,0.0017782794,0.0017782794,-nan,0.0000017783,0.0017782794,0.0000000000
7.8060000000,0.0022762240,-0.0000100000,0.0016258857,0.0016258857,0.9944983164,0.0000017783,0.0017782794,46.6920000000
15.2060000000,0.0028142192,-0.0000100000,0.0014930866,0.0014930866,0.9938817563,0.0000017783,0.0017782794,91.0980000000
22.5910000000,0.0024681461,-0.0000100000,0.0013713869,0.0013713869,0.9928867567,0.0000017783,0.0017782794,135.4080000000
30.0560000000,0.0027027027,-0.0000100000,0.0012584472,0.0012584472,0.9928660433,0.0000017783,0.0017782794,180.1980000000
37.5900000000,0.0026955881,-0.0000100000,0.0011539181,0.0011539181,0.9922520559,0.0000017783,0.0017782794,225.3900000000
45.0680000000,0.0028038752,-0.0000100000,0.0010586929,0.0010586929,0.9917709649,0.0000017783,0.0017782794,270.2760000000
52.8490000000,0.0024855187,-0.0000100000,0.0009679992,0.0009679992,0.9913850361,0.0000017783,0.0017782794,316.9500000000
60.3220000000,0.0027136186,-0.0000100000,0.0008881780,0.0008881780,0.9900613375,0.0000017783,0.0017782794,361.8000000000
67.7770000000,0.0025843563,-0.0000100000,0.0008151359,0.0008151359,0.9893307842,0.0000017783,0.0017782794,406.5240000000
75.2510000000,0.0025422839,-0.0000100000,0.0007479197,0.0007479197,0.9881118666,0.0000017783,0.0017782794,451.3740000000
82.7140000000,0.0024035394,-0.0000100000,0.0006863569,0.0006863569,0.9861310198,0.0000017783,0.0017782794,496.1400000000
90.1510000000,0.0021714840,-0.0000100000,0.0006300282,0.0006300282,0.9861716104,0.0000017783,0.0017782794,540.7680000000
97.9400000000,0.0029993498,-0.0000100000,0.0005759901,0.0005759901,0.9846266107,0.0000017783,0.0017782794,587.5020000000
105.4140000000,0.0024830748,-0.0000100000,0.0005284939,0.0005284939,0.9817468648,0.0000017783,0.0017782794,632.3520000000
112.8950000000,0.0026052609,-0.0000100000,0.0004848864,0.0004848864,0.9817341601,0.0000017783,0.0017782794,677.2320000000
120.3870000000,0.0025988724,-0.0000100000,0.0004448105,0.0004448105,0.9802837971,0.0000017783,0.0017782794,722.1900000000
127.7870000000,0.0024267275,-0.0000100000,0.0004084887,0.0004084887,0.9787482916,0.0000017783,0.0017782794,766.5840000000
135.2740000000,0.0026817011,-0.0000100000,0.0003747486,0.0003747486,0.9749604711,0.0000017783,0.0017782794,811.5120000000
142.8220000000,0.0023802001,-0.0000100000,0.0003435619,0.0003435619,0.9743429630,0.0000017783,0.0017782794,856.7940000000
150.2760000000,0.0027257168,-0.0000100000,0.0003153044,0.0003153044,0.9715371020,0.0000017783,0.0017782794,901.5240000000
157.6650000000,0.0029429695,-0.0000100000,0.0002895943,0.0002895943,0.9698428601,0.0000017783,0.0017782794,945.8520000000
165.0610000000,0.0028191367,-0.0000100000,0.0002659531,0.0002659531,0.9663054433,0.0000017783,0.0017782794,990.2340000000
172.5010000000,0.0019943738,-0.0000100000,0.0002441209,0.0002441209,0.9636160882,0.0000017783,0.0017782794,1034.8740000000
179.9800000000,0.0028970797,-0.0000100000,0.0002239830,0.0002239830,0.9608224742,0.0000017783,0.0017782794,1079.7420000000
187.7920000000,0.0028540250,-0.0000100000,0.0002047175,0.0002047175,0.9570592445,0.0000017783,0.0017782794,1126.6140000000
