time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0660000000,0.0228247628,-0.0000100000,0.0017782794,0.0017782794,-nan,0.0000008913,0.0017782794,0.0000000000
12.0740000000,0.0148323119,-0.0000100000,0.0015273920,0.0015273920,0.9950682997,0.0000008913,0.0017782794,72.0540000000
24.4490000000,0.0160604408,-0.0000100000,0.0013058672,0.0013058672,0.9941686000,0.0000008913,0.0017782794,146.2920000000
36.3810000000,0.0147286624,-0.0000100000,0.0011226955,0.0011226955,0.9931755245,0.0000008913,0.0017782794,217.8960000000
48.2930000000,0.0159868424,-0.0000100000,0.0009654860,0.0009654860,0.9921182805,0.0000008913,0.0017782794,289.3680000000
60.2650000000,0.0157444760,-0.0000100000,0.0008296492,0.0008296492,0.9902521829,0.0000008913,0.0017782794,361.2060000000
72.8510000000,0.0159089263,-0.0000100000,0.0007074284,0.0007074284,0.9903151194,0.0000008913,0.0017782794,436.7100000000
84.7910000000,0.0154027629,-0.0000100000,0.0006081371,0.0006081371,0.9875013244,0.0000008913,0.0017782794,508.3620000000
96.6340000000,0.0164545900,-0.0000100000,0.0005234377,0.0005234377,0.9869208512,0.0000008913,0.0017782794,579.4200000000
108.5920000000,0.0163159532,-0.0000100000,0.0004499135,0.0004499135,0.9837482935,0.0000008913,0.0017782794,651.1320000000
121.0230000000,0.0161557016,-0.0000100000,0.0003843536,0.0003843536,0.9799379081,0.0000008913,0.0017782794,725.7480000000
132.9380000000,0.0154114110,-0.0000100000,0.0003305289,0.0003305289,0.9780126329,0.0000008913,0.0017782794,797.2260000000
144.8360000000,0.0155714280,-0.0000100000,0.0002842922,0.0002842922,0.9729623442,0.0000008913,0.0017782794,868.6200000000
157.1320000000,0.0169487911,-0.0000100000,0.0002432941,0.0002432941,0.9713062944,0.0000008913,0.0017782794,942.4020000000
169.4850000000,0.0165412572,-0.0000100000,0.0002080607,0.0002080607,0.9659425395,0.0000008913,0.0017782794,1016.5200000000
181.4110000000,0.0169227685,-0.0000100000,0.0001788945,0.0001788945,0.9607821997,0.0000008913,0.0017782794,1088.0760000000
193.2900000000,0.0169618029,-0.0000100000,0.0001539104,0.0001539104,0.9530698420,0.0000008913,0.0017782794,1159.3440000000
205.5690000000,0.0177387756,-0.0000100000,0.0001317431,0.0001317431,0.9451061031,0.0000008913,0.0017782794,1233.0240000000
217.5980000000,0.0176953380,-0.0000100000,0.0001131276,0.0001131276,0.9335576656,0.0000008913,0.0017782794,1305.1980000000
229.6250000000,0.0183951345,-0.0000100000,0.0000971449,0.0000971449,0.9278647759,0.0000008913,0.0017782794,1377.3600000000
241.6680000000,0.0181777034,-0.0000100000,0.0000834034,0.0000834034,0.9156960093,0.0000008913,0.0017782794,1449.6180000000
253.6960000000,0.0186518227,-0.0000100000,0.0000716219,0.0000716219,0.9050653268,0.0000008913,0.0017782794,1521.7680000000
265.7180000000,0.0184734324,-0.0000100000,0.0000615047,0.0000615047,0.8923504780,0.0000008913,0.0017782794,1593.9180000000
