time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0620000000,0.0214290065,-0.0000100000,0.0009999881,0.0009999881,-nan,0.0000007943,0.0010000000,0.0060000000
12.4740000000,0.0149990921,-0.0000100000,0.0008627229,0.0008627229,0.9920555049,0.0000007943,0.0010000000,74.4720000000
24.7870000000,0.0137514106,-0.0000100000,0.0007451502,0.0007451502,0.9903276702,0.0000007943,0.0010000000,148.3620000000
37.3380000000,0.0155892293,-0.0000100000,0.0006418113,0.0006418113,0.9889510743,0.0000007943,0.0010000000,223.6560000000
49.9000000000,0.0150564364,-0.0000100000,0.0005527115,0.0005527115,0.9882332569,0.0000007943,0.0010000000,299.0340000000
62.2250000000,0.0162950153,-0.0000100000,0.0004773307,0.0004773307,0.9853657739,0.0000007943,0.0010000000,372.9840000000
74.5970000000,0.0153514526,-0.0000100000,0.0004120050,0.0004120050,0.9828760464,0.0000007943,0.0010000000,447.2100000000
87.6690000000,0.0157368708,-0.0000100000,0.0003526662,0.0003526662,0.9802930870,0.0000007943,0.0010000000,525.6420000000
100.0330000000,0.0148107205,-0.0000100000,0.0003044234,0.0003044234,0.9746345936,0.0000007943,0.0010000000,599.8320000000
112.3660000000,0.0149008025,-0.0000100000,0.0002628800,0.0002628800,0.9726146587,0.0000007943,0.0010000000,673.8300000000
124.8100000000,0.0158066053,-0.0000100000,0.0002267090,0.0002267090,0.9692697453,0.0000007943,0.0010000000,748.4880000000
137.4940000000,0.0164058964,-0.0000100000,0.0001949551,0.0001949551,0.9637163246,0.0000007943,0.0010000000,824.5920000000
149.8730000000,0.0150359555,-0.0000100000,0.0001682583,0.0001682583,0.9576994774,0.0000007943,0.0010000000,898.8660000000
162.2170000000,0.0162416368,-0.0000100000,0.0001452760,0.0001452760,0.9507815389,0.0000007943,0.0010000000,972.9360000000
174.8560000000,0.0165743177,-0.0000100000,0.0001249964,0.0001249964,0.9427796002,0.0000007943,0.0010000000,1048.7640000000
187.4150000000,0.0161143720,-0.0000100000,0.0001076476,0.0001076476,0.9355550647,0.0000007943,0.0010000000,1124.1240000000
199.7890000000,0.0167592346,-0.0000100000,0.0000929131,0.0000929131,0.9287125614,0.0000007943,0.0010000000,1198.3620000000
212.1890000000,0.0175160395,-0.0000100000,0.0000801688,0.0000801688,0.9232398960,0.0000007943,0.0010000000,1272.7680000000
225.2580000000,0.0181832902,-0.0000100000,0.0000686250,0.0000686250,0.9001567141,0.0000007943,0.0010000000,1351.1820000000
237.7390000000,0.0187936426,-0.0000100000,0.0000591558,0.0000591558,0.8908520392,0.0000007943,0.0010000000,1426.0680000000
250.1540000000,0.0186904911,-0.0000100000,0.0000510338,0.0000510338,0.8759676581,0.0000007943,0.0010000000,1500.5520000000
262.5810000000,0.0192518873,-0.0000100000,0.0000440197,0.0000440197,0.8460503969,0.0000007943,0.0010000000,1575.1200000000
275.0140000000,0.0214455982,-0.0000100000,0.0000379677,0.0000379677,0.8261716629,0.0000007943,0.0010000000,1649.7120000000
287.4440000000,0.0232281895,-0.0000100000,0.0000327486,0.0000327486,0.7940236884,0.0000007943,0.0010000000,1724.2920000000
300.0590000000,0.0251465182,-0.0000100000,0.0000281848,0.0000281848,0.7534889576,0.0000007943,0.0010000000,1799.9820000000
312.7880000000,0.0262214153,-0.0000100000,0.0000242242,0.0000242242,0.7323307403,0.0000007943,0.0010000000,1876.3560000000
325.2770000000,0.0736429642,-0.0000100000,0.0000208796,0.0000208796,0.5680680323,0.0000007943,0.0010000000,1951.2900000000
337.7620000000,0.1122598333,-0.0000100000,0.0000179975,0.0000179975,0.4884883578,0.0000007943,0.0010000000,2026.2060000000
350.8580000000,0.1569689889,-0.0000100000,0.0000154010,0.0000154010,0.3637193535,0.0000007943,0.0010000000,2104.7820000000
363.5350000000,0.2117060481,-0.0000100000,0.0000132450,0.0000132450,0.2690931216,0.0000007943,0.0010000000,2180.8440000000
376.3550000000,0.2600982902,-0.0000100000,0.0000113715,0.0000113715,0.1895077723,0.0000007943,0.0010000000,2257.7580000000
389.5270000000,0.3109022968,-0.0000100000,0.0000097223,0.0000097223,0.1411227281,0.0000007943,0.0010000000,2336.7840000000
403.0580000000,0.3629329403,-0.0000100000,0.0000082765,0.0000082765,0.1050253022,0.0000007943,0.0010000000,2417.9820000000
416.6380000000,0.4072822487,-0.0000100000,0.0000070419,0.0000070419,0.0721739614,0.0000007943,0.0010000000,2499.4560000000
430.7120000000,0.4500530369,-0.0000100000,0.0000059562,0.0000059562,0.0539697846,0.0000007943,0.0010000000,2583.9060000000
445.8590000000,0.4886192815,-0.0000100000,0.0000049741,0.0000049741,0.0358145227,0.0000007943,0.0010000000,2674.7820000000
