time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0660000000,0.0015239350,-0.0000100000,0.0005956621,0.0005956621,-nan,0.0000001496,0.0005956621,0.0000000000
11.2540000000,0.0031668385,-0.0000100000,0.0005103546,0.0005103546,0.9945060770,0.0000001496,0.0005956621,67.1280000000
22.0850000000,0.0025082214,-0.0000100000,0.0004394263,0.0004394263,0.9926837804,0.0000001496,0.0005956621,132.1140000000
32.8960000000,0.0023712737,-0.0000100000,0.0003784652,0.0003784652,0.9916056425,0.0000001496,0.0005956621,196.9740000000
43.7680000000,0.0040610712,-0.0000100000,0.0003256687,0.0003256687,0.9886007366,0.0000001496,0.0005956621,262.2240000000
55.1350000000,0.0039492829,-0.0000100000,0.0002783505,0.0002783505,0.9863838371,0.0000001496,0.0005956621,330.4080000000
65.9970000000,0.0035534336,-0.0000100000,0.0002395565,0.0002395565,0.9849396147,0.0000001496,0.0005956621,395.5920000000
76.8440000000,0.0053049676,-0.0000100000,0.0002062206,0.0002062206,0.9796838651,0.0000001496,0.0005956621,460.6680000000
87.7950000000,0.0059269045,-0.0000100000,0.0001772662,0.0001772662,0.9738269688,0.0000001496,0.0005956621,526.3740000000
98.9240000000,0.0061362941,-0.0000100000,0.0001520113,0.0001520113,0.9702212131,0.0000001496,0.0005956621,593.1240000000
109.9270000000,0.0058119596,-0.0000100000,0.0001305654,0.0001305654,0.9629056420,0.0000001496,0.0005956621,659.1720000000
120.8530000000,0.0069450045,-0.0000100000,0.0001122737,0.0001122737,0.9634335579,0.0000001496,0.0005956621,724.7220000000
131.8130000000,0.0090324745,-0.0000100000,0.0000964979,0.0000964979,0.9491682713,0.0000001496,0.0005956621,790.4820000000
143.4480000000,0.0099601948,-0.0000100000,0.0000821690,0.0000821690,0.9388107494,0.0000001496,0.0005956621,860.2920000000
154.5220000000,0.0095541401,-0.0000100000,0.0000705131,0.0000705131,0.9280652106,0.0000001496,0.0005956621,926.7300000000
165.5300000000,0.0105300198,-0.0000100000,0.0000605642,0.0000605642,0.9082121356,0.0000001496,0.0005956621,992.7840000000
176.6470000000,0.0125278153,-0.0000100000,0.0000519407,0.0000519407,0.8926812388,0.0000001496,0.0005956621,1059.4920000000
188.3650000000,0.0132268443,-0.0000100000,0.0000441823,0.0000441823,0.8803791729,0.0000001496,0.0005956621,1129.7520000000
199.4760000000,0.0148732014,-0.0000100000,0.0000378913,0.0000378913,0.8433237170,0.0000001496,0.0005956621,1196.4600000000
210.4480000000,0.0238988467,-0.0000100000,0.0000325618,0.0000325618,0.8154624850,0.0000001496,0.0005956621,1262.2920000000
221.4130000000,0.0334632292,-0.0000100000,0.0000279849,0.0000279849,0.7642591857,0.0000001496,0.0005956621,1328.0760000000
233.1800000000,0.0355903827,-0.0000100000,0.0000237867,0.0000237867,0.7220237928,0.0000001496,0.0005956621,1398.6660000000
244.2410000000,0.0372460594,-0.0000100000,0.0000204150,0.0000204150,0.7106103591,0.0000001496,0.0005956621,1465.0500000000
255.3200000000,0.0420098495,-0.0000100000,0.0000175177,0.0000175177,0.6633056437,0.0000001496,0.0005956621,1531.5240000000
266.4070000000,0.0462555443,-0.0000100000,0.0000150298,0.0000150298,0.6068411172,0.0000001496,0.0005956621,1598.0460000000
277.6340000000,0.0519110292,-0.0000100000,0.0000128704,0.0000128704,0.5471401835,0.0000001496,0.0005956621,1665.4080000000
288.6650000000,0.0591062402,-0.0000100000,0.0000110511,0.0000110511,0.4920068647,0.0000001496,0.0005956621,1731.5940000000
299.6970000000,0.0725120205,-0.0000100000,0.0000094890,0.0000094890,0.4403770840,0.0000001496,0.0005956621,1797.7800000000
310.7430000000,0.0932137659,-0.0000100000,0.0000081459,0.0000081459,0.3473675708,0.0000001496,0.0005956621,1864.0620000000
322.2530000000,0.1247937590,-0.0000100000,0.0000069482,0.0000069482,0.2804993097,0.0000001496,0.0005956621,1933.1280000000
333.5660000000,0.1662368177,-0.0000100000,0.0000059430,0.0000059430,0.1978925538,0.0000001496,0.0005956621,2000.9940000000
344.9270000000,0.2134709604,-0.0000100000,0.0000050797,0.0000050797,0.1099068951,0.0000001496,0.0005956621,2069.1660000000
356.4540000000,0.2682103279,-0.0000100000,0.0000043318,0.0000043318,0.0632364746,0.0000001496,0.0005956621,2138.3280000000
368.8890000000,0.3293967379,-0.0000100000,0.0000036481,0.0000036481,0.0245982696,0.0000001496,0.0005956621,2212.9380000000
381.2920000000,0.3829984867,-0.0000100000,0.0000030736,0.0000030736,0.0107417104,0.0000001496,0.0005956621,2287.3560000000
394.2470000000,0.4314674088,-0.0000100000,0.0000025699,0.0000025699,0.0034926659,0.0000001496,0.0005956621,2365.0860000000
