time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0090000000,0.0148113743,-0.0000100000,0.0133352143,0.0133352143,-nan,0.0000084140,0.0133352143,0.0000000000
5.6270000000,0.0062429639,-0.0000100000,0.0124463688,0.0124463688,0.9951706872,0.0000084140,0.0133352143,33.7020000000
11.4310000000,0.0087206320,-0.0000100000,0.0115902641,0.0115902641,0.9946512251,0.0000084140,0.0133352143,68.5200000000
17.5080000000,0.0077900779,-0.0000100000,0.0107569215,0.0107569215,0.9941024832,0.0000084140,0.0133352143,104.9760000000
23.1440000000,0.0085136937,-0.0000100000,0.0100374640,0.0100374640,0.9939417940,0.0000084140,0.0133352143,138.7980000000
28.7960000000,0.0072738449,-0.0000100000,0.0093644009,0.0093644009,0.9937281410,0.0000084140,0.0133352143,172.7100000000
34.4320000000,0.0062429639,-0.0000100000,0.0087381870,0.0087381870,0.9932653204,0.0000084140,0.0133352143,206.5260000000
40.0550000000,0.0075835212,-0.0000100000,0.0081550507,0.0081550507,0.9927312468,0.0000084140,0.0133352143,240.2700000000
45.6870000000,0.0063974615,-0.0000100000,0.0076100819,0.0076100819,0.9920909758,0.0000084140,0.0133352143,274.0620000000
51.3260000000,0.0069643589,-0.0000100000,0.0071009208,0.0071009208,0.9913030427,0.0000084140,0.0133352143,307.8960000000
56.9500000000,0.0073770492,-0.0000100000,0.0066271276,0.0066271276,0.9907404607,0.0000084140,0.0133352143,341.6340000000
62.5750000000,0.0071190781,-0.0000100000,0.0061847953,0.0061847953,0.9905577476,0.0000084140,0.0133352143,375.3840000000
68.2310000000,0.0074286593,-0.0000100000,0.0057697899,0.0057697899,0.9899363796,0.0000084140,0.0133352143,409.3200000000
73.8490000000,0.0087206320,-0.0000100000,0.0053851442,0.0053851442,0.9887766009,0.0000084140,0.0133352143,443.0280000000
79.4700000000,0.0067581405,-0.0000100000,0.0050259558,0.0050259558,0.9879352342,0.0000084140,0.0133352143,476.7540000000
85.0950000000,0.0087723798,-0.0000100000,0.0046904949,0.0046904949,0.9872872597,0.0000084140,0.0133352143,510.5040000000
90.7910000000,0.0074802746,-0.0000100000,0.0043736095,0.0043736095,0.9858919953,0.0000084140,0.0133352143,544.6800000000
96.6480000000,0.0074286593,-0.0000100000,0.0040700274,0.0040700274,0.9853763494,0.0000084140,0.0133352143,579.8280000000
102.3020000000,0.0067581405,-0.0000100000,0.0037970181,0.0037970181,0.9844235415,0.0000084140,0.0133352143,613.7520000000
107.9290000000,0.0063974615,-0.0000100000,0.0035435399,0.0035435399,0.9834274924,0.0000084140,0.0133352143,647.5080000000
113.5620000000,0.0069643589,-0.0000100000,0.0033066584,0.0033066584,0.9817966945,0.0000084140,0.0133352143,681.3120000000
119.1790000000,0.0079450510,-0.0000100000,0.0030862564,0.0030862564,0.9803512800,0.0000084140,0.0133352143,715.0140000000
124.8090000000,0.0075835212,-0.0000100000,0.0028801206,0.0028801206,0.9796598495,0.0000084140,0.0133352143,748.7880000000
130.4390000000,0.0072222507,-0.0000100000,0.0026877529,0.0026877529,0.9779029997,0.0000084140,0.0133352143,782.5620000000
136.1080000000,0.0077384308,-0.0000100000,0.0025069711,0.0025069711,0.9769368231,0.0000084140,0.0133352143,816.5820000000
142.1250000000,0.0079967193,-0.0000100000,0.0023283772,0.0023283772,0.9745195695,0.0000084140,0.0133352143,852.6900000000
147.9280000000,0.0096529061,-0.0000100000,0.0021682499,0.0021682499,0.9732798458,0.0000084140,0.0133352143,887.5020000000
153.5650000000,0.0087723798,-0.0000100000,0.0020232304,0.0020232304,0.9700915125,0.0000084140,0.0133352143,921.3240000000
159.1950000000,0.0086171522,-0.0000100000,0.0018880493,0.0018880493,0.9679919973,0.0000084140,0.0133352143,955.1100000000
164.8260000000,0.0085136937,-0.0000100000,0.0017619436,0.0017619436,0.9671504834,0.0000084140,0.0133352143,988.8840000000
170.5010000000,0.0085654203,-0.0000100000,0.0016432917,0.0016432917,0.9640651011,0.0000084140,0.0133352143,1022.9460000000
176.1280000000,0.0092383494,-0.0000100000,0.0015335714,0.0015335714,0.9622563239,0.0000084140,0.0133352143,1056.7080000000
181.8040000000,0.0072738449,-0.0000100000,0.0014303511,0.0014303511,0.9586873957,0.0000084140,0.0133352143,1090.7520000000
187.6320000000,0.0081517560,-0.0000100000,0.0013315250,0.0013315250,0.9538845947,0.0000084140,0.0133352143,1125.7320000000
193.2510000000,0.0091865538,-0.0000100000,0.0012427583,0.0012427583,0.9547931991,0.0000084140,0.0133352143,1159.4400000000
198.8750000000,0.0060885137,-0.0000100000,0.0011598238,0.0011598238,0.9484641008,0.0000084140,0.0133352143,1193.1840000000
204.4930000000,0.0078417303,-0.0000100000,0.0010824903,0.0010824903,0.9472912386,0.0000084140,0.0133352143,1226.8980000000
210.1370000000,0.0076351524,-0.0000100000,0.0010100278,0.0010100278,0.9420897345,0.0000084140,0.0133352143,1260.7500000000
215.7820000000,0.0087723798,-0.0000100000,0.0009423697,0.0009423697,0.9358304145,0.0000084140,0.0133352143,1294.6260000000
221.4080000000,0.0072222507,-0.0000100000,0.0008794598,0.0008794598,0.9380658830,0.0000084140,0.0133352143,1328.3820000000
227.1640000000,0.0063459570,-0.0000100000,0.0008194403,0.0008194403,0.9264002873,0.0000084140,0.0133352143,1362.9180000000
233.2450000000,0.0093937683,-0.0000100000,0.0007604757,0.0007604757,0.9278141871,0.0000084140,0.0133352143,1399.4040000000
238.8640000000,0.0080483929,-0.0000100000,0.0007097782,0.0007097782,0.9204448391,0.0000084140,0.0133352143,1433.1120000000
244.4850000000,0.0083585457,-0.0000100000,0.0006624198,0.0006624198,0.9171980223,0.0000084140,0.0133352143,1466.8500000000
250.1110000000,0.0075318953,-0.0000100000,0.0006182062,0.0006182062,0.9082720688,0.0000084140,0.0133352143,1500.6000000000
255.7470000000,0.0059855732,-0.0000100000,0.0005768585,0.0005768585,0.9035532260,0.0000084140,0.0133352143,1534.4220000000
261.3760000000,0.0089276552,-0.0000100000,0.0005383359,0.0005383359,0.8923552840,0.0000084140,0.0133352143,1568.1900000000
267.0400000000,0.0085654203,-0.0000100000,0.0005021637,0.0005021637,0.8887665330,0.0000084140,0.0133352143,1602.1740000000
272.8720000000,0.0084619724,-0.0000100000,0.0004674624,0.0004674624,0.8830420653,0.0000084140,0.0133352143,1637.1600000000
278.7300000000,0.0101715812,-0.0000100000,0.0004350041,0.0004350041,0.8752614835,0.0000084140,0.0133352143,1672.3200000000
284.3800000000,0.0093419567,-0.0000100000,0.0004058498,0.0004058498,0.8658774512,0.0000084140,0.0133352143,1706.2140000000
290.0150000000,0.0084619724,-0.0000100000,0.0003787146,0.0003787146,0.8543216728,0.0000084140,0.0133352143,1740.0240000000
295.6430000000,0.0091347634,-0.0000100000,0.0003534196,0.0003534196,0.8458959677,0.0000084140,0.0133352143,1773.7980000000
301.2740000000,0.0092383494,-0.0000100000,0.0003298101,0.0003298101,0.8324600310,0.0000084140,0.0133352143,1807.5780000000
306.9170000000,0.0087723798,-0.0000100000,0.0003077287,0.0003077287,0.8246896210,0.0000084140,0.0133352143,1841.4360000000
312.5540000000,0.0088241330,-0.0000100000,0.0002871468,0.0002871468,0.8139575545,0.0000084140,0.0133352143,1875.2580000000
