time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0110000000,0.0141285749,-0.0000100000,0.0133352143,0.0133352143,-nan,0.0000066834,0.0133352143,0.0000000000
5.7610000000,0.0070880668,-0.0000100000,0.0123986671,0.0123986671,0.9953692548,0.0000066834,0.0133352143,34.5000000000
11.5130000000,0.0081648523,-0.0000100000,0.0115276027,0.0115276027,0.9950410143,0.0000066834,0.0133352143,69.0120000000
17.2790000000,0.0069902913,-0.0000100000,0.0107156989,0.0107156989,0.9944315183,0.0000066834,0.0133352143,103.6140000000
23.0270000000,0.0077240709,-0.0000100000,0.0099635017,0.0099635017,0.9944083620,0.0000066834,0.0133352143,138.0960000000
28.7700000000,0.0066970785,-0.0000100000,0.0092646923,0.0092646923,0.9938829175,0.0000066834,0.0133352143,172.5480000000
34.5240000000,0.0069414106,-0.0000100000,0.0086134770,0.0086134770,0.9934186771,0.0000066834,0.0133352143,207.0780000000
40.3920000000,0.0077730276,-0.0000100000,0.0079965839,0.0079965839,0.9928929621,0.0000066834,0.0133352143,242.2860000000
46.1690000000,0.0083118651,-0.0000100000,0.0074324329,0.0074324329,0.9921880880,0.0000066834,0.0133352143,276.9480000000
51.8840000000,0.0071369617,-0.0000100000,0.0069134209,0.0069134209,0.9911028358,0.0000066834,0.0133352143,311.2440000000
57.5990000000,0.0077730276,-0.0000100000,0.0064307333,0.0064307333,0.9909437160,0.0000066834,0.0133352143,345.5340000000
63.3000000000,0.0073325887,-0.0000100000,0.0059829586,0.0059829586,0.9906286919,0.0000066834,0.0133352143,379.7280000000
68.9930000000,0.0066970785,-0.0000100000,0.0055666447,0.0055666447,0.9899038696,0.0000066834,0.0133352143,413.8980000000
74.6970000000,0.0074793589,-0.0000100000,0.0051788401,0.0051788401,0.9896425101,0.0000066834,0.0133352143,448.1100000000
80.3980000000,0.0078709552,-0.0000100000,0.0048179912,0.0048179912,0.9881602841,0.0000066834,0.0133352143,482.3280000000
86.1900000000,0.0073815074,-0.0000100000,0.0044773495,0.0044773495,0.9873729714,0.0000066834,0.0133352143,517.0680000000
92.0690000000,0.0075282918,-0.0000100000,0.0041560523,0.0041560523,0.9866583458,0.0000066834,0.0133352143,552.3480000000
97.7610000000,0.0068925347,-0.0000100000,0.0038670563,0.0038670563,0.9856900357,0.0000066834,0.0133352143,586.4940000000
103.4720000000,0.0069902913,-0.0000100000,0.0035971993,0.0035971993,0.9847414706,0.0000066834,0.0133352143,620.7660000000
109.1770000000,0.0085079489,-0.0000100000,0.0033464281,0.0033464281,0.9830392913,0.0000066834,0.0133352143,655.0020000000
114.8770000000,0.0070880668,-0.0000100000,0.0031133755,0.0031133755,0.9816985129,0.0000066834,0.0133352143,689.2020000000
120.5780000000,0.0066970785,-0.0000100000,0.0028965531,0.0028965531,0.9805477233,0.0000066834,0.0133352143,723.4020000000
126.2850000000,0.0073325887,-0.0000100000,0.0026945578,0.0026945578,0.9790456508,0.0000066834,0.0133352143,757.6500000000
132.1100000000,0.0074793589,-0.0000100000,0.0025030009,0.0025030009,0.9771331096,0.0000066834,0.0133352143,792.5880000000
137.8900000000,0.0074793589,-0.0000100000,0.0023262694,0.0023262694,0.9755827582,0.0000066834,0.0133352143,827.2800000000
143.6390000000,0.0075282918,-0.0000100000,0.0021629202,0.0021629202,0.9748252334,0.0000066834,0.0133352143,861.7740000000
149.3900000000,0.0068436635,-0.0000100000,0.0020110413,0.0020110413,0.9722520396,0.0000066834,0.0133352143,896.2680000000
155.1410000000,0.0072347657,-0.0000100000,0.0018697563,0.0018697563,0.9699431609,0.0000066834,0.0133352143,930.7800000000
160.8820000000,0.0068436635,-0.0000100000,0.0017386393,0.0017386393,0.9676324725,0.0000066834,0.0133352143,965.2260000000
166.6530000000,0.0071858613,-0.0000100000,0.0016161029,0.0016161029,0.9652211493,0.0000066834,0.0133352143,999.8520000000
172.4390000000,0.0066482263,-0.0000100000,0.0015019172,0.0015019172,0.9626179991,0.0000066834,0.0133352143,1034.5680000000
178.5420000000,0.0061599651,-0.0000100000,0.0013902247,0.0013902247,0.9600664041,0.0000066834,0.0133352143,1071.1800000000
184.3060000000,0.0067459355,-0.0000100000,0.0012923421,0.0012923421,0.9578742554,0.0000066834,0.0133352143,1105.7700000000
190.0230000000,0.0067459355,-0.0000100000,0.0012020970,0.0012020970,0.9520228318,0.0000066834,0.0133352143,1140.0660000000
195.7260000000,0.0081158575,-0.0000100000,0.0011183236,0.0011183236,0.9490602793,0.0000066834,0.0133352143,1174.2900000000
201.4430000000,0.0086550618,-0.0000100000,0.0010402040,0.0010402040,0.9473342917,0.0000066834,0.0133352143,1208.5980000000
207.1520000000,0.0065993789,-0.0000100000,0.0009676761,0.0009676761,0.9438421173,0.0000066834,0.0133352143,1242.8400000000
212.8750000000,0.0083608789,-0.0000100000,0.0009000114,0.0009000114,0.9398907878,0.0000066834,0.0133352143,1277.1840000000
218.6380000000,0.0080668675,-0.0000100000,0.0008366648,0.0008366648,0.9325892068,0.0000066834,0.0133352143,1311.7620000000
224.5770000000,0.0088022176,-0.0000100000,0.0007760550,0.0007760550,0.9290991352,0.0000066834,0.0133352143,1347.3900000000
230.3950000000,0.0083608789,-0.0000100000,0.0007209215,0.0007209215,0.9258210708,0.0000066834,0.0133352143,1382.3040000000
236.1410000000,0.0068436635,-0.0000100000,0.0006703159,0.0006703159,0.9197303565,0.0000066834,0.0133352143,1416.7860000000
241.8490000000,0.0087041089,-0.0000100000,0.0006235704,0.0006235704,0.9119448582,0.0000066834,0.0133352143,1451.0340000000
247.5620000000,0.0089003453,-0.0000100000,0.0005800628,0.0005800628,0.9062262856,0.0000066834,0.0133352143,1485.3000000000
253.2750000000,0.0089003453,-0.0000100000,0.0005395703,0.0005395703,0.8987740234,0.0000066834,0.0133352143,1519.5840000000
258.9990000000,0.0058672356,-0.0000100000,0.0005018345,0.0005018345,0.8920123675,0.0000066834,0.0133352143,1553.9340000000
264.7330000000,0.0095386412,-0.0000100000,0.0004666965,0.0004666965,0.8864668831,0.0000066834,0.0133352143,1588.3260000000
270.5800000000,0.0094403893,-0.0000100000,0.0004333816,0.0004333816,0.8769299496,0.0000066834,0.0133352143,1623.4140000000
276.3370000000,0.0075282918,-0.0000100000,0.0004029039,0.0004029039,0.8679345233,0.0000066834,0.0133352143,1657.9620000000
