time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0110000000,0.0015837821,-0.0000100000,0.0029853826,0.0029853826,-nan,0.0000018836,0.0029853826,0.0000000000
5.4480000000,0.0011419871,-0.0000100000,0.0027925953,0.0027925953,0.9947087533,0.0000018836,0.0029853826,32.6160000000
11.2180000000,0.0013192612,-0.0000100000,0.0026015649,0.0026015649,0.9950480711,0.0000018836,0.0029853826,67.2360000000
16.7020000000,0.0008175872,-0.0000100000,0.0024321293,0.0024321293,0.9938215357,0.0000018836,0.0029853826,100.1400000000
22.1910000000,0.0014176354,-0.0000100000,0.0022735892,0.0022735892,0.9940403500,0.0000018836,0.0029853826,133.0740000000
27.6100000000,0.0015972940,-0.0000100000,0.0021272115,0.0021272115,0.9924286165,0.0000018836,0.0029853826,165.5880000000
33.0290000000,0.0009550186,-0.0000100000,0.0019902334,0.0019902334,0.9914640920,0.0000018836,0.0029853826,198.1080000000
38.4480000000,0.0013440860,-0.0000100000,0.0018621443,0.0018621443,0.9936415805,0.0000018836,0.0029853826,230.6100000000
43.8660000000,0.0019899555,-0.0000100000,0.0017422561,0.0017422561,0.9906389887,0.0000018836,0.0029853826,263.1240000000
49.2730000000,0.0019157088,-0.0000100000,0.0016303268,0.0016303268,0.9916179962,0.0000018836,0.0029853826,295.5660000000
54.6910000000,0.0016125972,-0.0000100000,0.0015253822,0.0015253822,0.9908423517,0.0000018836,0.0029853826,328.0740000000
60.1440000000,0.0018466323,-0.0000100000,0.0014265796,0.0014265796,0.9900926684,0.0000018836,0.0029853826,360.7920000000
65.6400000000,0.0014494154,-0.0000100000,0.0013334723,0.0013334723,0.9881469053,0.0000018836,0.0029853826,393.7680000000
71.0630000000,0.0022545796,-0.0000100000,0.0012475597,0.0012475597,0.9868893184,0.0000018836,0.0029853826,426.3060000000
76.5360000000,0.0015087223,-0.0000100000,0.0011664658,0.0011664658,0.9861764038,0.0000018836,0.0029853826,459.1440000000
