time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0060000000,0.0959651036,-0.0000100000,0.0841395142,0.0841395142,-nan,0.0000266073,0.0841395142,0.0000000000
4.5970000000,0.0084286574,-0.0000100000,0.0791077745,0.0791077745,0.9955135526,0.0000266073,0.0841395142,27.5460000000
9.1640000000,0.0165891159,-0.0000100000,0.0744009247,0.0744009247,0.9960267729,0.0000266073,0.0841395142,54.9480000000
13.7130000000,0.0907314956,-0.0000100000,0.0699919887,0.0699919887,0.9943383858,0.0000266073,0.0841395142,82.2360000000
18.3050000000,0.0217568117,-0.0000100000,0.0658054202,0.0658054202,0.9936850977,0.0000266073,0.0841395142,109.7880000000
22.8660000000,0.0230048860,-0.0000100000,0.0618958693,0.0618958693,0.9947168045,0.0000266073,0.0841395142,137.1480000000
27.4500000000,0.0114734300,-0.0000100000,0.0581974782,0.0581974782,0.9950072320,0.0000266073,0.0841395142,164.6700000000
32.0230000000,0.0909683022,-0.0000100000,0.0547318339,0.0547318339,0.9940165412,0.0000266073,0.0841395142,192.0960000000
36.6120000000,0.0983606557,-0.0000100000,0.0514601246,0.0514601246,0.9933764557,0.0000266073,0.0841395142,219.6300000000
41.1860000000,0.0288697789,-0.0000100000,0.0483937377,0.0483937377,0.9930102635,0.0000266073,0.0841395142,247.0740000000
45.7480000000,0.0451331115,-0.0000100000,0.0455167942,0.0455167942,0.9941027237,0.0000266073,0.0841395142,274.4520000000
50.3530000000,0.0867214533,-0.0000100000,0.0427867369,0.0427867369,0.9925526777,0.0000266073,0.0841395142,302.0820000000
54.9860000000,0.0263480392,-0.0000100000,0.0402053024,0.0402053024,0.9906053461,0.0000266073,0.0841395142,329.8800000000
59.7020000000,0.0902581905,-0.0000100000,0.0377380249,0.0377380249,0.9919734181,0.0000266073,0.0841395142,358.1700000000
64.4430000000,0.0869565217,-0.0000100000,0.0354093129,0.0354093129,0.9889390332,0.0000266073,0.0841395142,386.6220000000
69.0810000000,0.0966826713,-0.0000100000,0.0332707430,0.0332707430,0.9903058264,0.0000266073,0.0841395142,414.4500000000
73.7060000000,0.0897852960,-0.0000100000,0.0312667926,0.0312667926,0.9886035078,0.0000266073,0.0841395142,442.2000000000
78.3310000000,0.0942944251,-0.0000100000,0.0293835434,0.0293835434,0.9892085462,0.0000266073,0.0841395142,469.9500000000
82.9980000000,0.0876623377,-0.0000100000,0.0275981519,0.0275981519,0.9859215285,0.0000266073,0.0841395142,497.9520000000
87.6120000000,0.0935799782,-0.0000100000,0.0259400515,0.0259400515,0.9852373144,0.0000266073,0.0841395142,525.6300000000
92.3180000000,0.0276073620,-0.0000100000,0.0243508056,0.0243508056,0.9875256343,0.0000266073,0.0841395142,553.8720000000
96.9480000000,0.0184434536,-0.0000100000,0.0228825806,0.0228825806,0.9850035289,0.0000266073,0.0841395142,581.6520000000
101.6290000000,0.0923913043,-0.0000100000,0.0214884455,0.0214884455,0.9821111992,0.0000266073,0.0841395142,609.7320000000
106.3030000000,0.0299241648,-0.0000100000,0.0201808754,0.0201808754,0.9837588075,0.0000266073,0.0841395142,637.7760000000
110.9660000000,0.0986007871,-0.0000100000,0.0189554166,0.0189554166,0.9829543238,0.0000266073,0.0841395142,665.7600000000
115.6330000000,0.0876623377,-0.0000100000,0.0178036549,0.0178036549,0.9811477516,0.0000266073,0.0841395142,693.7620000000
