time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0060000000,0.1021832095,-0.0000100000,0.0251188643,0.0251188643,-nan,0.0000316228,0.0251188643,0.0000000000
4.7280000000,0.0904030283,-0.0000100000,0.0238329060,0.0238329060,0.9869325529,0.0000316228,0.0251188643,28.3320000000
9.3530000000,0.0925925926,-0.0000100000,0.0226372065,0.0226372065,0.9822372260,0.0000316228,0.0251188643,56.0820000000
13.9700000000,0.0300799327,-0.0000100000,0.0215034099,0.0215034099,0.9857620619,0.0000316228,0.0251188643,83.7840000000
18.5820000000,0.0134519868,-0.0000100000,0.0204275367,0.0204275367,0.9829837362,0.0000316228,0.0251188643,111.4560000000
23.1940000000,0.0943016760,-0.0000100000,0.0194054924,0.0194054924,0.9813879428,0.0000316228,0.0251188643,139.1280000000
27.8190000000,0.0877387828,-0.0000100000,0.0184321219,0.0184321219,0.9784268612,0.0000316228,0.0251188643,166.8720000000
32.4420000000,0.0149222798,-0.0000100000,0.0175075752,0.0175075752,0.9809568228,0.0000316228,0.0251188643,194.6160000000
37.0980000000,0.0950357782,-0.0000100000,0.0166236671,0.0166236671,0.9766040758,0.0000316228,0.0251188643,222.5460000000
41.7530000000,0.0938128211,-0.0000100000,0.0157843850,0.0157843850,0.9785965833,0.0000316228,0.0251188643,250.4760000000
46.4540000000,0.0896751224,-0.0000100000,0.0149796385,0.0149796385,0.9758507162,0.0000316228,0.0251188643,278.6880000000
51.2150000000,0.0887060916,-0.0000100000,0.0142065896,0.0142065896,0.9787592531,0.0000316228,0.0251188643,307.2540000000
55.8490000000,0.0896751224,-0.0000100000,0.0134924919,0.0134924919,0.9758034162,0.0000316228,0.0251188643,335.0580000000
60.4780000000,0.0925925926,-0.0000100000,0.0128150017,0.0128150017,0.9731157004,0.0000316228,0.0251188643,362.8320000000
65.1200000000,0.0882222222,-0.0000100000,0.0121697690,0.0121697690,0.9769947648,0.0000316228,0.0251188643,390.6840000000
69.7610000000,0.0882222222,-0.0000100000,0.0115571522,0.0115571522,0.9706646749,0.0000316228,0.0251188643,418.5300000000
74.4170000000,0.0962614730,-0.0000100000,0.0109736642,0.0109736642,0.9730521841,0.0000316228,0.0251188643,446.4600000000
79.0530000000,0.0930803571,-0.0000100000,0.0104216064,0.0104216064,0.9706344347,0.0000316228,0.0251188643,474.2880000000
83.6980000000,0.1009442446,-0.0000100000,0.0098967705,0.0098967705,0.9731677404,0.0000316228,0.0251188643,502.1460000000
88.3990000000,0.0943016760,-0.0000100000,0.0093921964,0.0093921964,0.9700285846,0.0000316228,0.0251188643,530.3580000000
93.1010000000,0.0969982079,-0.0000100000,0.0089134466,0.0089134466,0.9662066302,0.0000316228,0.0251188643,558.5640000000
97.7600000000,0.0874972241,-0.0000100000,0.0084629609,0.0084629609,0.9651717020,0.0000316228,0.0251188643,586.5240000000
102.3930000000,0.0906458797,-0.0000100000,0.0080376576,0.0080376576,0.9600242409,0.0000316228,0.0251188643,614.3220000000
107.0350000000,0.0935685574,-0.0000100000,0.0076329632,0.0076329632,0.9631680436,0.0000316228,0.0251188643,642.1740000000
111.6750000000,0.0935685574,-0.0000100000,0.0072488064,0.0072488064,0.9645372964,0.0000316228,0.0251188643,670.0140000000
116.3250000000,0.0925925926,-0.0000100000,0.0068832176,0.0068832176,0.9624144262,0.0000316228,0.0251188643,697.9140000000
120.9660000000,0.0974899148,-0.0000100000,0.0065367218,0.0065367218,0.9599791284,0.0000316228,0.0251188643,725.7600000000
125.6120000000,0.0943016760,-0.0000100000,0.0062073228,0.0062073228,0.9601032873,0.0000316228,0.0251188643,753.6360000000
130.2550000000,0.1021832095,-0.0000100000,0.0058947198,0.0058947198,0.9496324546,0.0000316228,0.0251188643,781.4940000000
134.9880000000,0.0940571939,-0.0000100000,0.0055923177,0.0055923177,0.9502841140,0.0000316228,0.0251188643,809.8860000000
139.6310000000,0.0904030283,-0.0000100000,0.0053106274,0.0053106274,0.9474632882,0.0000316228,0.0251188643,837.7500000000
144.2730000000,0.1009442446,-0.0000100000,0.0050432384,0.0050432384,0.9460282939,0.0000316228,0.0251188643,865.6020000000
148.9120000000,0.0870144284,-0.0000100000,0.0047894723,0.0047894723,0.9467165980,0.0000316228,0.0251188643,893.4360000000
