time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0060000000,0.0025210084,-0.0000100000,0.0188364909,0.0188364909,-nan,0.0000014962,0.0188364909,0.0000000000
4.2770000000,0.1266435986,-0.0000100000,0.0176128039,0.0176128039,0.9834810304,0.0000014962,0.0188364909,25.6140000000
8.4940000000,0.0023715415,-0.0000100000,0.0164818326,0.0164818326,0.9861897234,0.0000014962,0.0188364909,50.9220000000
12.7610000000,0.1231086657,-0.0000100000,0.0154118403,0.0154118403,0.9774860271,0.0000014962,0.0188364909,76.5180000000
17.0800000000,0.1253875301,-0.0000100000,0.0143992985,0.0143992985,0.9778848112,0.0000014962,0.0188364909,102.4320000000
21.3870000000,0.1238358055,-0.0000100000,0.0134556082,0.0134556082,0.9749838301,0.0000014962,0.0188364909,128.2800000000
25.6980000000,0.1266527488,-0.0000100000,0.0125733692,0.0125733692,0.9698359114,0.0000014962,0.0188364909,154.1400000000
30.0160000000,0.1292350681,-0.0000100000,0.0117473119,0.0117473119,0.9667968080,0.0000014962,0.0188364909,180.0540000000
34.3110000000,0.1284371737,-0.0000100000,0.0109796712,0.0109796712,0.9728025823,0.0000014962,0.0188364909,205.8240000000
38.6630000000,0.1261904762,-0.0000100000,0.0102529931,0.0102529931,0.9665170770,0.0000014962,0.0188364909,231.9360000000
43.0950000000,0.1230076230,-0.0000100000,0.0095623654,0.0095623654,0.9657015256,0.0000014962,0.0188364909,258.5280000000
47.8390000000,0.1227036395,-0.0000100000,0.0088748632,0.0088748632,0.9622664586,0.0000014962,0.0188364909,286.9800000000
52.1890000000,0.1335877863,-0.0000100000,0.0082874897,0.0082874897,0.9570240856,0.0000014962,0.0188364909,313.0920000000
56.5430000000,0.1310225303,-0.0000100000,0.0077387473,0.0077387473,0.9594120724,0.0000014962,0.0188364909,339.2160000000
60.9110000000,0.1223657376,-0.0000100000,0.0072248611,0.0072248611,0.9538254274,0.0000014962,0.0188364909,365.4180000000
65.2640000000,0.1242705115,-0.0000100000,0.0067463728,0.0067463728,0.9537746859,0.0000014962,0.0188364909,391.5480000000
69.6210000000,0.1255956433,-0.0000100000,0.0062995738,0.0062995738,0.9491354083,0.0000014962,0.0188364909,417.6780000000
73.9840000000,0.1272979535,-0.0000100000,0.0058816250,0.0058816250,0.9440438210,0.0000014962,0.0188364909,443.8560000000
78.3570000000,0.1283201104,-0.0000100000,0.0054904550,0.0054904550,0.9394023083,0.0000014962,0.0188364909,470.1000000000
82.7240000000,0.1320689655,-0.0000100000,0.0051259457,0.0051259457,0.9338184330,0.0000014962,0.0188364909,496.2960000000
87.2370000000,0.1304197017,-0.0000100000,0.0047745799,0.0047745799,0.9333067851,0.0000014962,0.0188364909,523.3740000000
91.9950000000,0.1287774725,-0.0000100000,0.0044301184,0.0044301184,0.9283969560,0.0000014962,0.0188364909,551.9280000000
96.3520000000,0.1279540851,-0.0000100000,0.0041366553,0.0041366553,0.9216066222,0.0000014962,0.0188364909,578.0640000000
100.7110000000,0.1301038062,-0.0000100000,0.0038623889,0.0038623889,0.9186660068,0.0000014962,0.0188364909,604.2240000000
105.0710000000,0.1303448276,-0.0000100000,0.0036063068,0.0036063068,0.9128176829,0.0000014962,0.0188364909,630.3840000000
109.4330000000,0.1316333563,-0.0000100000,0.0033670973,0.0033670973,0.9072495707,0.0000014962,0.0188364909,656.5560000000
113.7880000000,0.1352859135,-0.0000100000,0.0031441011,0.0031441011,0.8999673997,0.0000014962,0.0188364909,682.6860000000
118.1630000000,0.1386835621,-0.0000100000,0.0029349959,0.0029349959,0.8970795829,0.0000014962,0.0188364909,708.9300000000
122.6330000000,0.1312435412,-0.0000100000,0.0027356624,0.0027356624,0.8903444270,0.0000014962,0.0188364909,735.7500000000
127.0020000000,0.1395267919,-0.0000100000,0.0025538820,0.0025538820,0.8813343587,0.0000014962,0.0188364909,761.9700000000
131.4340000000,0.1289986092,-0.0000100000,0.0023818935,0.0023818935,0.8723172254,0.0000014962,0.0188364909,788.5560000000
135.9010000000,0.1345213138,-0.0000100000,0.0022202293,0.0022202293,0.8616414948,0.0000014962,0.0188364909,815.3580000000
140.2630000000,0.1409395973,-0.0000100000,0.0020729596,0.0020729596,0.8533346393,0.0000014962,0.0188364909,841.5300000000
144.6160000000,0.1360473208,-0.0000100000,0.0019356715,0.0019356715,0.8484628024,0.0000014962,0.0188364909,867.6600000000
148.9690000000,0.1388597412,-0.0000100000,0.0018075896,0.0018075896,0.8375839706,0.0000014962,0.0188364909,893.7660000000
153.3260000000,0.1392361111,-0.0000100000,0.0016878234,0.0016878234,0.8263960935,0.0000014962,0.0188364909,919.9080000000
157.6790000000,0.1369863014,-0.0000100000,0.0015760670,0.0015760670,0.8149622234,0.0000014962,0.0188364909,946.0320000000
162.0440000000,0.1347962382,-0.0000100000,0.0014714556,0.0014714556,0.7981060212,0.0000014962,0.0188364909,972.2220000000
166.4120000000,0.1447187929,-0.0000100000,0.0013737230,0.0013737230,0.7922443987,0.0000014962,0.0188364909,998.4300000000
170.7740000000,0.1432614079,-0.0000100000,0.0012826229,0.0012826229,0.7730246955,0.0000014962,0.0188364909,1024.5960000000
175.1750000000,0.1451841360,-0.0000100000,0.0011968108,0.0011968108,0.7613828898,0.0000014962,0.0188364909,1051.0020000000
179.5600000000,0.1477073854,-0.0000100000,0.0011170210,0.0011170210,0.7419117299,0.0000014962,0.0188364909,1077.3120000000
183.9350000000,0.1431070679,-0.0000100000,0.0010427147,0.0010427147,0.7406167225,0.0000014962,0.0188364909,1103.5620000000
188.2960000000,0.1559973046,-0.0000100000,0.0009735505,0.0009735505,0.7090086296,0.0000014962,0.0188364909,1129.7340000000
192.6600000000,0.1513111269,-0.0000100000,0.0009089312,0.0009089312,0.6965900683,0.0000014962,0.0188364909,1155.9240000000
197.0190000000,0.1561945332,-0.0000100000,0.0008486944,0.0008486944,0.6817449444,0.0000014962,0.0188364909,1182.0720000000
201.3750000000,0.1425554382,-0.0000100000,0.0007924746,0.0007924746,0.6560967485,0.0000014962,0.0188364909,1208.2080000000
205.7450000000,0.1530758226,-0.0000100000,0.0007398276,0.0007398276,0.6388582201,0.0000014962,0.0188364909,1234.4220000000
210.1450000000,0.1612021858,-0.0000100000,0.0006903304,0.0006903304,0.6136319404,0.0000014962,0.0188364909,1260.8280000000
214.5730000000,0.1565495208,-0.0000100000,0.0006438813,0.0006438813,0.5952365688,0.0000014962,0.0188364909,1287.3900000000
219.0120000000,0.1547156482,-0.0000100000,0.0006004348,0.0006004348,0.5678962563,0.0000014962,0.0188364909,1314.0300000000
223.4600000000,0.1589688507,-0.0000100000,0.0005598581,0.0005598581,0.5520503545,0.0000014962,0.0188364909,1340.7120000000
227.8910000000,0.1606569082,-0.0000100000,0.0005221469,0.0005221469,0.5257315762,0.0000014962,0.0188364909,1367.3040000000
232.3260000000,0.1699675909,-0.0000100000,0.0004869604,0.0004869604,0.4977950032,0.0000014962,0.0188364909,1393.9080000000
236.7390000000,0.1680197670,-0.0000100000,0.0004542809,0.0004542809,0.4741526745,0.0000014962,0.0188364909,1420.3980000000
241.1460000000,0.1687778158,-0.0000100000,0.0004238612,0.0004238612,0.4370888645,0.0000014962,0.0188364909,1446.8280000000
245.5380000000,0.1766943292,-0.0000100000,0.0003955594,0.0003955594,0.4138066671,0.0000014962,0.0188364909,1473.1800000000
