time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0430000000,0.0486756768,-0.0000100000,0.0025118864,0.0025118864,-nan,0.0000015849,0.0025118864,0.0000000000
9.7980000000,0.0294445059,-0.0000100000,0.0022282983,0.0022282983,0.9929943241,0.0000015849,0.0025118864,58.5300000000
19.1910000000,0.0321254210,-0.0000100000,0.0019855340,0.0019855340,0.9931645902,0.0000015849,0.0025118864,114.8880000000
28.5670000000,0.0345359982,-0.0000100000,0.0017696091,0.0017696091,0.9934225176,0.0000015849,0.0025118864,171.1380000000
37.9310000000,0.0331233994,-0.0000100000,0.0015773401,0.0015773401,0.9912590282,0.0000015849,0.0025118864,227.3340000000
47.2640000000,0.0321860538,-0.0000100000,0.0014065484,0.0014065484,0.9918630315,0.0000015849,0.0025118864,283.3260000000
57.0780000000,0.0338596319,-0.0000100000,0.0012468475,0.0012468475,0.9899262968,0.0000015849,0.0025118864,342.2100000000
69.3620000000,0.0350912792,-0.0000100000,0.0010722564,0.0010722564,0.9855217238,0.0000015849,0.0025118864,415.9140000000
78.8770000000,0.0335825773,-0.0000100000,0.0009540548,0.0009540548,0.9848403233,0.0000015849,0.0025118864,472.9800000000
88.4070000000,0.0345021588,-0.0000100000,0.0008486436,0.0008486436,0.9825872088,0.0000015849,0.0025118864,530.1840000000
97.8950000000,0.0349828849,-0.0000100000,0.0007552963,0.0007552963,0.9818636163,0.0000015849,0.0025118864,587.1180000000
107.4190000000,0.0354572777,-0.0000100000,0.0006719444,0.0006719444,0.9806037571,0.0000015849,0.0025118864,644.2500000000
116.9410000000,0.0355928984,-0.0000100000,0.0005977909,0.0005977909,0.9795366041,0.0000015849,0.0025118864,701.3820000000
126.4140000000,0.0367946919,-0.0000100000,0.0005321344,0.0005321344,0.9742682258,0.0000015849,0.0025118864,758.2260000000
136.1850000000,0.0390427881,-0.0000100000,0.0004719645,0.0004719645,0.9740787815,0.0000015849,0.0025118864,816.8520000000
145.9020000000,0.0361085813,-0.0000100000,0.0004188810,0.0004188810,0.9685547863,0.0000015849,0.0025118864,875.1480000000
155.4590000000,0.0369986622,-0.0000100000,0.0003724900,0.0003724900,0.9662368049,0.0000015849,0.0025118864,932.4960000000
164.9720000000,0.0373728163,-0.0000100000,0.0003314200,0.0003314200,0.9612591990,0.0000015849,0.0025118864,989.5740000000
174.4990000000,0.0370666702,-0.0000100000,0.0002948275,0.0002948275,0.9523120529,0.0000015849,0.0025118864,1046.7360000000
184.3340000000,0.0384287046,-0.0000100000,0.0002612851,0.0002612851,0.9515334258,0.0000015849,0.0025118864,1105.7460000000
193.9770000000,0.0392681340,-0.0000100000,0.0002321054,0.0002321054,0.9461633087,0.0000015849,0.0025118864,1163.6040000000
203.5170000000,0.0385787469,-0.0000100000,0.0002064429,0.0002064429,0.9434737650,0.0000015849,0.0025118864,1220.8500000000
213.0560000000,0.0397874845,-0.0000100000,0.0001836245,0.0001836245,0.9351018258,0.0000015849,0.0025118864,1278.0780000000
222.7490000000,0.0401089216,-0.0000100000,0.0001630197,0.0001630197,0.9236331761,0.0000015849,0.0025118864,1336.2300000000
232.7480000000,0.0384764407,-0.0000100000,0.0001441805,0.0001441805,0.9121215286,0.0000015849,0.0025118864,1396.2300000000
242.3230000000,0.0398832109,-0.0000100000,0.0001281858,0.0001281858,0.9070584820,0.0000015849,0.0025118864,1453.6800000000
251.9200000000,0.0411429700,-0.0000100000,0.0001139347,0.0001139347,0.8881291918,0.0000015849,0.0025118864,1511.2620000000
261.5340000000,0.0414858234,-0.0000100000,0.0001012468,0.0001012468,0.8780440407,0.0000015849,0.0025118864,1568.9460000000
271.4640000000,0.0427769755,-0.0000100000,0.0000896234,0.0000896234,0.8634712076,0.0000015849,0.0025118864,1628.5260000000
281.3090000000,0.0429007644,-0.0000100000,0.0000794172,0.0000794172,0.8498271218,0.0000015849,0.0025118864,1687.5960000000
290.9080000000,0.0455624393,-0.0000100000,0.0000705854,0.0000705854,0.8174988362,0.0000015849,0.0025118864,1745.1960000000
300.5090000000,0.0476405001,-0.0000100000,0.0000627357,0.0000627357,0.8016775254,0.0000015849,0.0025118864,1802.7960000000
310.1480000000,0.0507661435,-0.0000100000,0.0000557323,0.0000557323,0.7710481510,0.0000015849,0.0025118864,1860.6300000000
319.9550000000,0.0519054619,-0.0000100000,0.0000494086,0.0000494086,0.7560723508,0.0000015849,0.0025118864,1919.4720000000
329.6860000000,0.0534190454,-0.0000100000,0.0000438439,0.0000438439,0.7112113961,0.0000015849,0.0025118864,1977.8520000000
339.3520000000,0.1205561185,-0.0000100000,0.0000389356,0.0000389356,0.6071917777,0.0000015849,0.0025118864,2035.8600000000
349.0200000000,0.2243832944,-0.0000100000,0.0000345772,0.0000345772,0.4159951294,0.0000015849,0.0025118864,2093.8620000000
358.8410000000,0.3802512023,-0.0000100000,0.0000306486,0.0000306486,0.2766006801,0.0000015849,0.0025118864,2152.7880000000
