time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0430000000,0.0488078262,-0.0000100000,0.0031622777,0.0031622777,-nan,0.0000015849,0.0031622777,0.0000000000
9.6440000000,0.0314185642,-0.0000100000,0.0028002351,0.0028002351,0.9948342162,0.0000015849,0.0031622777,57.6060000000
19.0530000000,0.0344074205,-0.0000100000,0.0024856788,0.0024856788,0.9942953752,0.0000015849,0.0031622777,114.0600000000
28.4060000000,0.0312033336,-0.0000100000,0.0022080225,0.0022080225,0.9937354667,0.0000015849,0.0031622777,170.1780000000
37.7060000000,0.0329142036,-0.0000100000,0.0019626981,0.0019626981,0.9935061233,0.0000015849,0.0031622777,225.9780000000
47.0110000000,0.0311562639,-0.0000100000,0.0017445423,0.0017445423,0.9920958040,0.0000015849,0.0031622777,281.8020000000
56.6060000000,0.0296053702,-0.0000100000,0.0015449307,0.0015449307,0.9921501855,0.0000015849,0.0031622777,339.3720000000
65.8590000000,0.0336704078,-0.0000100000,0.0013740625,0.0013740625,0.9885228173,0.0000015849,0.0031622777,394.9020000000
75.2570000000,0.0351454849,-0.0000100000,0.0012199120,0.0012199120,0.9881461222,0.0000015849,0.0031622777,451.2780000000
84.6510000000,0.0358167503,-0.0000100000,0.0010830550,0.0010830550,0.9866148182,0.0000015849,0.0031622777,507.6540000000
94.0650000000,0.0305313166,-0.0000100000,0.0009613566,0.0009613566,0.9827974494,0.0000015849,0.0031622777,564.1260000000
103.5420000000,0.0333867015,-0.0000100000,0.0008526200,0.0008526200,0.9842552894,0.0000015849,0.0031622777,620.9940000000
112.9330000000,0.0371414892,-0.0000100000,0.0007570159,0.0007570159,0.9805057463,0.0000015849,0.0031622777,677.3400000000
122.3580000000,0.0385514632,-0.0000100000,0.0006718510,0.0006718510,0.9794249090,0.0000015849,0.0031622777,733.8840000000
131.7950000000,0.0334880073,-0.0000100000,0.0005961616,0.0005961616,0.9778999608,0.0000015849,0.0031622777,790.5120000000
141.2540000000,0.0370054626,-0.0000100000,0.0005288585,0.0005288585,0.9748814429,0.0000015849,0.0031622777,847.2660000000
151.0060000000,0.0367403134,-0.0000100000,0.0004674159,0.0004674159,0.9728807969,0.0000015849,0.0031622777,905.7780000000
160.4350000000,0.0372503362,-0.0000100000,0.0004148155,0.0004148155,0.9699404065,0.0000015849,0.0031622777,962.3400000000
169.8870000000,0.0386810733,-0.0000100000,0.0003680040,0.0003680040,0.9587036370,0.0000015849,0.0031622777,1019.0700000000
179.3810000000,0.0386196750,-0.0000100000,0.0003263221,0.0003263221,0.9611500906,0.0000015849,0.0031622777,1076.0220000000
189.0260000000,0.0396849400,-0.0000100000,0.0002888012,0.0002888012,0.9545109329,0.0000015849,0.0031622777,1133.8920000000
198.7170000000,0.0387424788,-0.0000100000,0.0002554456,0.0002554456,0.9496665614,0.0000015849,0.0031622777,1192.0380000000
208.1890000000,0.0355725531,-0.0000100000,0.0002265672,0.0002265672,0.9421511501,0.0000015849,0.0031622777,1248.8760000000
217.6390000000,0.0402252350,-0.0000100000,0.0002010120,0.0002010120,0.9367323270,0.0000015849,0.0031622777,1305.5760000000
227.1500000000,0.0404237121,-0.0000100000,0.0001782061,0.0001782061,0.9258407896,0.0000015849,0.0031622777,1362.6300000000
237.0680000000,0.0384969003,-0.0000100000,0.0001571694,0.0001571694,0.9234619727,0.0000015849,0.0031622777,1422.1440000000
246.6540000000,0.0407455427,-0.0000100000,0.0001392018,0.0001392018,0.9143450861,0.0000015849,0.0031622777,1479.6600000000
256.2230000000,0.0417534059,-0.0000100000,0.0001233133,0.0001233133,0.9000807618,0.0000015849,0.0031622777,1537.0800000000
265.7780000000,0.0426050952,-0.0000100000,0.0001092605,0.0001092605,0.8897824347,0.0000015849,0.0031622777,1594.4040000000
275.3200000000,0.0412389462,-0.0000100000,0.0000968225,0.0000968225,0.8748208684,0.0000015849,0.0031622777,1651.6620000000
284.9880000000,0.0421928136,-0.0000100000,0.0000856670,0.0000856670,0.8564359922,0.0000015849,0.0031622777,1709.6580000000
294.5950000000,0.0444644060,-0.0000100000,0.0000758505,0.0000758505,0.8364733520,0.0000015849,0.0031622777,1767.3180000000
304.1740000000,0.0468152149,-0.0000100000,0.0000671861,0.0000671861,0.8217761270,0.0000015849,0.0031622777,1824.7860000000
313.8930000000,0.0479737566,-0.0000100000,0.0000594060,0.0000594060,0.7806559175,0.0000015849,0.0031622777,1883.0940000000
323.9760000000,0.0517585400,-0.0000100000,0.0000522833,0.0000522833,0.7719499461,0.0000015849,0.0031622777,1943.6040000000
333.5920000000,0.0532997629,-0.0000100000,0.0000462893,0.0000462893,0.7272883180,0.0000015849,0.0031622777,2001.2940000000
343.2530000000,0.1162373736,-0.0000100000,0.0000409586,0.0000409586,0.5769354610,0.0000015849,0.0031622777,2059.2600000000
352.9320000000,0.2152748959,-0.0000100000,0.0000362335,0.0000362335,0.4278900332,0.0000015849,0.0031622777,2117.3340000000
