time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0430000000,0.0046905519,-0.0000100000,0.0015848932,0.0015848932,-nan,0.0000006310,0.0015848932,0.0000000000
8.8480000000,0.0195546455,-0.0000100000,0.0014128791,0.0014128791,0.9919298440,0.0000006310,0.0015848932,52.8300000000
17.7910000000,0.0204362947,-0.0000100000,0.0012572848,0.0012572848,0.9897273245,0.0000006310,0.0015848932,106.4820000000
26.6530000000,0.0183768991,-0.0000100000,0.0011199793,0.0011199793,0.9877780483,0.0000006310,0.0015848932,159.6600000000
35.5510000000,0.0188088975,-0.0000100000,0.0009972001,0.0009972001,0.9847363562,0.0000006310,0.0015848932,213.0540000000
44.4460000000,0.0210221232,-0.0000100000,0.0008879387,0.0008879387,0.9869303298,0.0000006310,0.0015848932,266.4180000000
53.3470000000,0.0263586611,-0.0000100000,0.0007905767,0.0007905767,0.9850603685,0.0000006310,0.0015848932,319.8240000000
62.3540000000,0.0274462705,-0.0000100000,0.0007029083,0.0007029083,0.9817206692,0.0000006310,0.0015848932,373.8720000000
71.4020000000,0.0276793815,-0.0000100000,0.0006246518,0.0006246518,0.9806615631,0.0000006310,0.0015848932,428.1480000000
80.4300000000,0.0288255743,-0.0000100000,0.0005552382,0.0005552382,0.9781046352,0.0000006310,0.0015848932,482.3160000000
89.5210000000,0.0272490584,-0.0000100000,0.0004931261,0.0004931261,0.9744388300,0.0000006310,0.0015848932,536.8680000000
98.5190000000,0.0259580978,-0.0000100000,0.0004384940,0.0004384940,0.9678353142,0.0000006310,0.0015848932,590.8620000000
107.5180000000,0.0302832217,-0.0000100000,0.0003899195,0.0003899195,0.9652649263,0.0000006310,0.0015848932,644.8500000000
116.5330000000,0.0264212989,-0.0000100000,0.0003466536,0.0003466536,0.9601050079,0.0000006310,0.0015848932,698.9340000000
125.5610000000,0.0313025418,-0.0000100000,0.0003081281,0.0003081281,0.9573289907,0.0000006310,0.0015848932,753.1080000000
134.7770000000,0.0329965832,-0.0000100000,0.0002732168,0.0002732168,0.9534576234,0.0000006310,0.0015848932,808.4040000000
143.8560000000,0.0313415531,-0.0000100000,0.0002427007,0.0002427007,0.9478251434,0.0000006310,0.0015848932,862.8660000000
152.8830000000,0.0339418210,-0.0000100000,0.0002157281,0.0002157281,0.9408047477,0.0000006310,0.0015848932,917.0400000000
161.9860000000,0.0349394334,-0.0000100000,0.0001915680,0.0001915680,0.9325403181,0.0000006310,0.0015848932,971.6580000000
171.1590000000,0.0361688041,-0.0000100000,0.0001699628,0.0001699628,0.9179240217,0.0000006310,0.0015848932,1026.6840000000
180.2830000000,0.0378772363,-0.0000100000,0.0001508829,0.0001508829,0.9107926348,0.0000006310,0.0015848932,1081.4400000000
189.4020000000,0.0377030162,-0.0000100000,0.0001339571,0.0001339571,0.8992044324,0.0000006310,0.0015848932,1136.1540000000
198.5010000000,0.0375740702,-0.0000100000,0.0001189626,0.0001189626,0.8838695031,0.0000006310,0.0015848932,1190.7420000000
207.5930000000,0.0387046296,-0.0000100000,0.0001056534,0.0001056534,0.8611816007,0.0000006310,0.0015848932,1245.3000000000
216.7670000000,0.0401770514,-0.0000100000,0.0000937340,0.0000937340,0.8494323576,0.0000006310,0.0015848932,1300.3440000000
225.9520000000,0.0430973270,-0.0000100000,0.0000831475,0.0000831475,0.8397222178,0.0000006310,0.0015848932,1355.4540000000
235.0720000000,0.0418625449,-0.0000100000,0.0000738201,0.0000738201,0.8221220813,0.0000006310,0.0015848932,1410.1680000000
244.2190000000,0.0470685582,-0.0000100000,0.0000655143,0.0000655143,0.7942966566,0.0000006310,0.0015848932,1465.0560000000
