time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0070000000,0.0258507523,-0.0000100000,0.0266072506,0.0266072506,-nan,0.0000133352,0.0266072506,0.0000000000
5.1870000000,0.0149865121,-0.0000100000,0.0249181330,0.0249181330,0.9953957173,0.0000133352,0.0266072506,31.0740000000
10.3380000000,0.0144797284,-0.0000100000,0.0233442271,0.0233442271,0.9946999456,0.0000133352,0.0266072506,61.9860000000
15.5120000000,0.0133665835,-0.0000100000,0.0218639185,0.0218639185,0.9945029534,0.0000133352,0.0266072506,93.0240000000
20.6800000000,0.0139734504,-0.0000100000,0.0204787762,0.0204787762,0.9941944863,0.0000133352,0.0266072506,124.0320000000
25.8320000000,0.0151893674,-0.0000100000,0.0191847878,0.0191847878,0.9938127585,0.0000133352,0.0266072506,154.9560000000
30.9850000000,0.0144797284,-0.0000100000,0.0179730176,0.0179730176,0.9929990784,0.0000133352,0.0266072506,185.8680000000
36.1510000000,0.0149865121,-0.0000100000,0.0168345883,0.0168345883,0.9930939381,0.0000133352,0.0266072506,216.8700000000
41.3430000000,0.0150879297,-0.0000100000,0.0157634764,0.0157634764,0.9922214657,0.0000133352,0.0266072506,248.0160000000
46.5230000000,0.0127604426,-0.0000100000,0.0147623841,0.0147623841,0.9918842145,0.0000133352,0.0266072506,279.1020000000
51.7180000000,0.0125585568,-0.0000100000,0.0138227674,0.0138227674,0.9912224230,0.0000133352,0.0266072506,310.2600000000
56.8990000000,0.0117518175,-0.0000100000,0.0129447599,0.0129447599,0.9909398777,0.0000133352,0.0266072506,341.3520000000
62.1710000000,0.0144797284,-0.0000100000,0.0121088667,0.0121088667,0.9896707527,0.0000133352,0.0266072506,372.9780000000
67.3290000000,0.0154938025,-0.0000100000,0.0113431715,0.0113431715,0.9894797069,0.0000133352,0.0266072506,403.9260000000
72.4810000000,0.0119533818,-0.0000100000,0.0106265674,0.0106265674,0.9884368452,0.0000133352,0.0266072506,434.8440000000
77.6500000000,0.0145810446,-0.0000100000,0.0099532176,0.0099532176,0.9876312264,0.0000133352,0.0266072506,465.8580000000
82.8110000000,0.0133665835,-0.0000100000,0.0093234791,0.0093234791,0.9870047979,0.0000133352,0.0266072506,496.8240000000
87.9740000000,0.0163065226,-0.0000100000,0.0087333628,0.0087333628,0.9856091040,0.0000133352,0.0266072506,527.8020000000
93.1560000000,0.0127604426,-0.0000100000,0.0081785253,0.0081785253,0.9859390186,0.0000133352,0.0266072506,558.9000000000
98.3320000000,0.0135687918,-0.0000100000,0.0076598100,0.0076598100,0.9845811392,0.0000133352,0.0266072506,589.9440000000
103.5530000000,0.0140746656,-0.0000100000,0.0071697250,0.0071697250,0.9828195383,0.0000133352,0.0266072506,621.2700000000
108.7890000000,0.0150879297,-0.0000100000,0.0067096366,0.0067096366,0.9810159465,0.0000133352,0.0266072506,652.6920000000
113.9860000000,0.0170187206,-0.0000100000,0.0062823337,0.0062823337,0.9818488265,0.0000133352,0.0266072506,683.8680000000
119.1740000000,0.0172223891,-0.0000100000,0.0058828395,0.0058828395,0.9791932621,0.0000133352,0.0266072506,714.9960000000
124.3320000000,0.0133665835,-0.0000100000,0.0055107727,0.0055107727,0.9782393949,0.0000133352,0.0266072506,745.9500000000
129.4930000000,0.0114496217,-0.0000100000,0.0051621070,0.0051621070,0.9760626373,0.0000133352,0.0266072506,776.9160000000
134.6560000000,0.0130634224,-0.0000100000,0.0048354400,0.0048354400,0.9744658559,0.0000133352,0.0266072506,807.8880000000
139.8320000000,0.0150879297,-0.0000100000,0.0045286421,0.0045286421,0.9729362161,0.0000133352,0.0266072506,838.9440000000
145.0440000000,0.0129624090,-0.0000100000,0.0042392692,0.0042392692,0.9722870987,0.0000133352,0.0266072506,870.2280000000
150.2980000000,0.0142771565,-0.0000100000,0.0039664775,0.0039664775,0.9700975931,0.0000133352,0.0266072506,901.7400000000
155.4800000000,0.0144797284,-0.0000100000,0.0037144370,0.0037144370,0.9680616435,0.0000133352,0.0266072506,932.8440000000
160.6610000000,0.0152908255,-0.0000100000,0.0034786321,0.0034786321,0.9649882806,0.0000133352,0.0266072506,963.9180000000
165.8430000000,0.0129624090,-0.0000100000,0.0032576731,0.0032576731,0.9650682757,0.0000133352,0.0266072506,995.0100000000
171.0270000000,0.0134676776,-0.0000100000,0.0030506333,0.0030506333,0.9610399684,0.0000133352,0.0266072506,1026.1200000000
176.1920000000,0.0126594896,-0.0000100000,0.0028574754,0.0028574754,0.9601441737,0.0000133352,0.0266072506,1057.1100000000
181.3680000000,0.0146823811,-0.0000100000,0.0026762088,0.0026762088,0.9576808918,0.0000133352,0.0266072506,1088.1600000000
186.5610000000,0.0118525896,-0.0000100000,0.0025058381,0.0025058381,0.9532195175,0.0000133352,0.0266072506,1119.3240000000
191.7790000000,0.0144797284,-0.0000100000,0.0023456597,0.0023456597,0.9500614238,0.0000133352,0.0266072506,1150.6200000000
197.0040000000,0.0137710807,-0.0000100000,0.0021954144,0.0021954144,0.9464752724,0.0000133352,0.0266072506,1181.9820000000
202.2090000000,0.0148851149,-0.0000100000,0.0020553912,0.0020553912,0.9424059565,0.0000133352,0.0266072506,1213.2060000000
207.4270000000,0.0162048615,-0.0000100000,0.0019239332,0.0019239332,0.9381150625,0.0000133352,0.0266072506,1244.5200000000
212.6370000000,0.0166116281,-0.0000100000,0.0018011111,0.0018011111,0.9321388124,0.0000133352,0.0266072506,1275.7740000000
217.8550000000,0.0145810446,-0.0000100000,0.0016859163,0.0016859163,0.9325169946,0.0000133352,0.0266072506,1307.0880000000
223.0700000000,0.0115503336,-0.0000100000,0.0015781890,0.0015781890,0.9293774909,0.0000133352,0.0266072506,1338.3720000000
228.2810000000,0.0134676776,-0.0000100000,0.0014773827,0.0014773827,0.9190144164,0.0000133352,0.0266072506,1369.6440000000
