time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0070000000,0.0246724682,-0.0000100000,0.0149623566,0.0149623566,-nan,0.0000118850,0.0149623566,0.0000000000
5.3000000000,0.0118991406,-0.0000100000,0.0140494072,0.0140494072,0.9918930729,0.0000118850,0.0149623566,31.7520000000
10.5660000000,0.0139099167,-0.0000100000,0.0131960869,0.0131960869,0.9913576739,0.0000118850,0.0149623566,63.3540000000
15.8830000000,0.0138139843,-0.0000100000,0.0123873716,0.0123873716,0.9903509356,0.0000118850,0.0149623566,95.2500000000
21.2210000000,0.0128556574,-0.0000100000,0.0116251750,0.0116251750,0.9901250250,0.0000118850,0.0149623566,127.2780000000
26.5290000000,0.0102772016,-0.0000100000,0.0109137709,0.0109137709,0.9893435827,0.0000118850,0.0149623566,159.1260000000
31.8380000000,0.0125685126,-0.0000100000,0.0102456575,0.0102456575,0.9884870187,0.0000118850,0.0149623566,190.9860000000
37.1210000000,0.0100867270,-0.0000100000,0.0096216488,0.0096216488,0.9878221066,0.0000118850,0.0149623566,222.6780000000
42.4260000000,0.0131429652,-0.0000100000,0.0090331731,0.0090331731,0.9873550429,0.0000118850,0.0149623566,254.5080000000
47.7470000000,0.0138139843,-0.0000100000,0.0084789746,0.0084789746,0.9872172440,0.0000118850,0.0149623566,286.4400000000
53.0270000000,0.0128556574,-0.0000100000,0.0079628494,0.0079628494,0.9858023284,0.0000118850,0.0149623566,318.1140000000
58.3220000000,0.0155435504,-0.0000100000,0.0074766290,0.0074766290,0.9849011330,0.0000118850,0.0149623566,349.8900000000
63.6400000000,0.0123771731,-0.0000100000,0.0070183443,0.0070183443,0.9843212912,0.0000118850,0.0149623566,381.7920000000
68.9890000000,0.0121859059,-0.0000100000,0.0065856427,0.0065856427,0.9831554881,0.0000118850,0.0149623566,413.8860000000
74.3480000000,0.0141018361,-0.0000100000,0.0061788834,0.0061788834,0.9823933736,0.0000118850,0.0149623566,446.0400000000
79.6400000000,0.0138139843,-0.0000100000,0.0058018011,0.0058018011,0.9800239520,0.0000118850,0.0149623566,477.7980000000
84.9340000000,0.0120902994,-0.0000100000,0.0054477312,0.0054477312,0.9790889957,0.0000118850,0.0149623566,509.5560000000
90.2520000000,0.0143898514,-0.0000100000,0.0051137481,0.0051137481,0.9783374425,0.0000118850,0.0149623566,541.4640000000
95.5700000000,0.0136221739,-0.0000100000,0.0048002405,0.0048002405,0.9765730708,0.0000118850,0.0149623566,573.3720000000
100.9120000000,0.0133345943,-0.0000100000,0.0045046667,0.0045046667,0.9740270069,0.0000118850,0.0149623566,605.4240000000
106.2260000000,0.0143898514,-0.0000100000,0.0042287012,0.0042287012,0.9724492171,0.0000118850,0.0149623566,637.3080000000
111.6340000000,0.0129514086,-0.0000100000,0.0039652052,0.0039652052,0.9704060294,0.0000118850,0.0149623566,669.7560000000
116.9340000000,0.0146780303,-0.0000100000,0.0037229083,0.0037229083,0.9687444831,0.0000118850,0.0149623566,701.5560000000
122.2580000000,0.0118035883,-0.0000100000,0.0034944192,0.0034944192,0.9684044810,0.0000118850,0.0149623566,733.5000000000
127.5500000000,0.0133345943,-0.0000100000,0.0032811632,0.0032811632,0.9647377043,0.0000118850,0.0149623566,765.2580000000
132.8530000000,0.0111352270,-0.0000100000,0.0030805919,0.0030805919,0.9639251359,0.0000118850,0.0149623566,797.0700000000
138.1690000000,0.0130471778,-0.0000100000,0.0028917650,0.0028917650,0.9612158299,0.0000118850,0.0149623566,828.9720000000
143.4790000000,0.0128556574,-0.0000100000,0.0027147708,0.0027147708,0.9581538479,0.0000118850,0.0149623566,860.8260000000
148.8280000000,0.0135262959,-0.0000100000,0.0025474275,0.0025474275,0.9556049225,0.0000118850,0.0149623566,892.9140000000
154.2370000000,0.0147741263,-0.0000100000,0.0023886371,0.0023886371,0.9529813315,0.0000118850,0.0149623566,925.3740000000
159.5720000000,0.0132387707,-0.0000100000,0.0022417172,0.0022417172,0.9504264059,0.0000118850,0.0149623566,957.3900000000
164.8810000000,0.0140058673,-0.0000100000,0.0021045351,0.0021045351,0.9464218922,0.0000118850,0.0149623566,989.2380000000
170.1920000000,0.0139099167,-0.0000100000,0.0019756538,0.0019756538,0.9438688755,0.0000118850,0.0149623566,1021.1100000000
175.4980000000,0.0134304360,-0.0000100000,0.0018548196,0.0018548196,0.9386181977,0.0000118850,0.0149623566,1052.9400000000
180.7920000000,0.0132387707,-0.0000100000,0.0017415830,0.0017415830,0.9373175186,0.0000118850,0.0149623566,1084.7100000000
186.1190000000,0.0131429652,-0.0000100000,0.0016346565,0.0016346565,0.9362458528,0.0000118850,0.0149623566,1116.6660000000
191.4290000000,0.0130471778,-0.0000100000,0.0015345869,0.0015345869,0.9256367833,0.0000118850,0.0149623566,1148.5260000000
197.2340000000,0.0144858928,-0.0000100000,0.0014321846,0.0014321846,0.9216270057,0.0000118850,0.0149623566,1183.3560000000
202.6480000000,0.0148702406,-0.0000100000,0.0013428314,0.0013428314,0.9183058499,0.0000118850,0.0149623566,1215.8460000000
