time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0080000000,0.0011753644,-0.0000100000,0.0047315126,0.0047315126,-nan,0.0000029854,0.0047315126,0.0000000000
4.9690000000,0.0020868114,-0.0000100000,0.0044518583,0.0044518583,0.9926636394,0.0000029854,0.0047315126,29.7660000000
9.9240000000,0.0017660044,-0.0000100000,0.0041890415,0.0041890415,0.9921819256,0.0000029854,0.0047315126,59.4960000000
14.8940000000,0.0045919432,-0.0000100000,0.0039411110,0.0039411110,0.9910601813,0.0000029854,0.0047315126,89.3040000000
19.8640000000,0.0045304778,-0.0000100000,0.0037076722,0.0037076722,0.9896177811,0.0000029854,0.0047315126,119.1360000000
24.8170000000,0.0014973262,-0.0000100000,0.0034889172,0.0034889172,0.9898250953,0.0000029854,0.0047315126,148.8480000000
29.8570000000,0.0006533101,-0.0000100000,0.0032795229,0.0032795229,0.9900920508,0.0000029854,0.0047315126,179.0880000000
34.8350000000,0.0014966859,-0.0000100000,0.0030850817,0.0030850817,0.9888440354,0.0000029854,0.0047315126,208.9500000000
39.7940000000,0.0019047619,-0.0000100000,0.0029027391,0.0029027391,0.9873162285,0.0000029854,0.0047315126,238.7160000000
44.7610000000,0.0028205685,-0.0000100000,0.0027309725,0.0027309725,0.9883363518,0.0000029854,0.0047315126,268.5180000000
49.7290000000,0.0018907563,-0.0000100000,0.0025693386,0.0025693386,0.9868151915,0.0000029854,0.0047315126,298.3260000000
54.6870000000,0.0021353833,-0.0000100000,0.0024175678,0.0024175678,0.9843443090,0.0000029854,0.0047315126,328.0740000000
59.6590000000,0.0016945562,-0.0000100000,0.0022743991,0.0022743991,0.9836808950,0.0000029854,0.0047315126,357.9000000000
64.6390000000,0.0019193858,-0.0000100000,0.0021394723,0.0021394723,0.9794953908,0.0000029854,0.0047315126,387.7800000000
69.5930000000,0.0086490939,-0.0000100000,0.0020131926,0.0020131926,0.9778129341,0.0000029854,0.0047315126,417.5040000000
74.6440000000,0.0010559662,-0.0000100000,0.0018921345,0.0018921345,0.9767671014,0.0000029854,0.0047315126,447.8040000000
79.7160000000,0.0034217280,-0.0000100000,0.0017778318,0.0017778318,0.9766029431,0.0000029854,0.0047315126,478.2480000000
84.6740000000,0.0070349679,-0.0000100000,0.0016728359,0.0016728359,0.9746738847,0.0000029854,0.0047315126,507.9900000000
89.6160000000,0.0065901361,-0.0000100000,0.0015743308,0.0015743308,0.9662304056,0.0000029854,0.0047315126,537.6420000000
94.5660000000,0.0050494425,-0.0000100000,0.0014814625,0.0014814625,0.9680290261,0.0000029854,0.0047315126,567.3480000000
99.5080000000,0.0032147450,-0.0000100000,0.0013942265,0.0013942265,0.9688164478,0.0000029854,0.0047315126,597.0000000000
104.4600000000,0.0068893528,-0.0000100000,0.0013119663,0.0013119663,0.9572945253,0.0000029854,0.0047315126,626.7120000000
109.4040000000,0.0026155187,-0.0000100000,0.0012346959,0.0012346959,0.9565004474,0.0000029854,0.0047315126,656.3700000000
114.3710000000,0.0072403806,-0.0000100000,0.0011616340,0.0011616340,0.9473166189,0.0000029854,0.0047315126,686.1720000000
119.4000000000,0.0021687270,-0.0000100000,0.0010920638,0.0010920638,0.9383949299,0.0000029854,0.0047315126,716.3460000000
124.5570000000,0.0116042345,-0.0000100000,0.0010250475,0.0010250475,0.9406303956,0.0000029854,0.0047315126,747.2880000000
129.5240000000,0.0097660224,-0.0000100000,0.0009643796,0.0009643796,0.9213764097,0.0000029854,0.0047315126,777.0960000000
134.4860000000,0.0165224233,-0.0000100000,0.0009073803,0.0009073803,0.9156301783,0.0000029854,0.0047315126,806.8620000000
139.4530000000,0.0102291326,-0.0000100000,0.0008536870,0.0008536870,0.9059009837,0.0000029854,0.0047315126,836.6640000000
144.4240000000,0.0125747269,-0.0000100000,0.0008031216,0.0008031216,0.8948307001,0.0000029854,0.0047315126,866.4960000000
149.4110000000,0.0119869972,-0.0000100000,0.0007554122,0.0007554122,0.8830934973,0.0000029854,0.0047315126,896.4180000000
154.3900000000,0.0125799134,-0.0000100000,0.0007106068,0.0007106068,0.8853979014,0.0000029854,0.0047315126,926.2920000000
159.4540000000,0.0118527760,-0.0000100000,0.0006677778,0.0006677778,0.8702758405,0.0000029854,0.0047315126,956.6640000000
164.6140000000,0.0166030534,-0.0000100000,0.0006267601,0.0006267601,0.8650015837,0.0000029854,0.0047315126,987.6360000000
169.5970000000,0.0192345826,-0.0000100000,0.0005895564,0.0005895564,0.8515695070,0.0000029854,0.0047315126,1017.5340000000
174.5880000000,0.0202260559,-0.0000100000,0.0005545202,0.0005545202,0.8353527143,0.0000029854,0.0047315126,1047.4680000000
179.5730000000,0.0207745058,-0.0000100000,0.0005215789,0.0005215789,0.8288846188,0.0000029854,0.0047315126,1077.3900000000
184.5660000000,0.0187101911,-0.0000100000,0.0004905583,0.0004905583,0.8014039474,0.0000029854,0.0047315126,1107.3480000000
189.5560000000,0.0223865681,-0.0000100000,0.0004614111,0.0004614111,0.8072114909,0.0000029854,0.0047315126,1137.2760000000
194.6010000000,0.0204983923,-0.0000100000,0.0004336866,0.0004336866,0.7886754766,0.0000029854,0.0047315126,1167.5520000000
199.6170000000,0.0205220163,-0.0000100000,0.0004077782,0.0004077782,0.7873188252,0.0000029854,0.0047315126,1197.6480000000
204.7200000000,0.0303089178,-0.0000100000,0.0003830081,0.0003830081,0.7484879030,0.0000029854,0.0047315126,1228.2660000000
209.7930000000,0.0228401192,-0.0000100000,0.0003598708,0.0003598708,0.7322699367,0.0000029854,0.0047315126,1258.7100000000
214.8150000000,0.0270217729,-0.0000100000,0.0003383514,0.0003383514,0.7055856000,0.0000029854,0.0047315126,1288.8360000000
219.8290000000,0.0278156001,-0.0000100000,0.0003181422,0.0003181422,0.6958220021,0.0000029854,0.0047315126,1318.9260000000
224.8590000000,0.0329265931,-0.0000100000,0.0002990850,0.0002990850,0.6625914415,0.0000029854,0.0047315126,1349.1060000000
229.8820000000,0.0296932995,-0.0000100000,0.0002812004,0.0002812004,0.6590213724,0.0000029854,0.0047315126,1379.2320000000
234.9090000000,0.0326170376,-0.0000100000,0.0002643593,0.0002643593,0.6248408529,0.0000029854,0.0047315126,1409.4060000000
239.9520000000,0.0399405536,-0.0000100000,0.0002484872,0.0002484872,0.6089918378,0.0000029854,0.0047315126,1439.6580000000
245.0060000000,0.0383191411,-0.0000100000,0.0002335336,0.0002335336,0.5564527945,0.0000029854,0.0047315126,1469.9820000000
250.3160000000,0.0572720422,-0.0000100000,0.0002187883,0.0002187883,0.5209428450,0.0000029854,0.0047315126,1501.8480000000
255.4450000000,0.0735179407,-0.0000100000,0.0002054351,0.0002054351,0.4773648391,0.0000029854,0.0047315126,1532.6160000000
260.5060000000,0.0714423262,-0.0000100000,0.0001930557,0.0001930557,0.4366237917,0.0000029854,0.0047315126,1562.9820000000
265.5620000000,0.0875868918,-0.0000100000,0.0001814312,0.0001814312,0.4104531832,0.0000029854,0.0047315126,1593.3240000000
270.6220000000,0.0820793434,-0.0000100000,0.0001705004,0.0001705004,0.3720889595,0.0000029854,0.0047315126,1623.6840000000
275.6950000000,0.0906593407,-0.0000100000,0.0001602025,0.0001602025,0.3420271803,0.0000029854,0.0047315126,1654.1220000000
280.7660000000,0.1110664792,-0.0000100000,0.0001505303,0.0001505303,0.3173049991,0.0000029854,0.0047315126,1684.5480000000
285.8310000000,0.1360753018,-0.0000100000,0.0001414560,0.0001414560,0.2589130065,0.0000029854,0.0047315126,1714.9260000000
290.9320000000,0.1846122941,-0.0000100000,0.0001328634,0.0001328634,0.2099293604,0.0000029854,0.0047315126,1745.5440000000
296.0790000000,0.1857142857,-0.0000100000,0.0001247269,0.0001247269,0.1691725460,0.0000029854,0.0047315126,1776.4200000000
301.1130000000,0.2199707541,-0.0000100000,0.0001172483,0.0001172483,0.1329677633,0.0000029854,0.0047315126,1806.6300000000
306.1400000000,0.2813299233,-0.0000100000,0.0001102304,0.0001102304,0.0930994666,0.0000029854,0.0047315126,1836.7860000000
311.1510000000,0.3867390812,-0.0000100000,0.0001036503,0.0001036503,0.0526987863,0.0000029854,0.0047315126,1866.8580000000
316.1580000000,0.4743828598,-0.0000100000,0.0000974702,0.0000974702,0.0309363181,0.0000029854,0.0047315126,1896.8940000000
321.1680000000,0.5491542045,-0.0000100000,0.0000916530,0.0000916530,0.0151411614,0.0000029854,0.0047315126,1926.9600000000
326.2100000000,0.6247818499,-0.0000100000,0.0000861501,0.0000861501,0.0100135853,0.0000029854,0.0047315126,1957.2120000000
331.2790000000,0.6699796126,-0.0000100000,0.0000809518,0.0000809518,0.0057067460,0.0000029854,0.0047315126,1987.6200000000
336.4450000000,0.7226977951,-0.0000100000,0.0000759748,0.0000759748,0.0031745149,0.0000029854,0.0047315126,2018.6220000000
341.5750000000,0.7520986359,-0.0000100000,0.0000713370,0.0000713370,0.0026318922,0.0000029854,0.0047315126,2049.3960000000
346.7640000000,0.7902581847,-0.0000100000,0.0000669330,0.0000669330,0.0015915886,0.0000029854,0.0047315126,2080.5300000000
351.8460000000,0.8057265186,-0.0000100000,0.0000628826,0.0000628826,0.0009450866,0.0000029854,0.0047315126,2111.0280000000
356.9300000000,0.8270838953,-0.0000100000,0.0000590774,0.0000590774,0.0007381055,0.0000029854,0.0047315126,2141.5260000000
362.0270000000,0.8330623306,-0.0000100000,0.0000554922,0.0000554922,0.0003850153,0.0000029854,0.0047315126,2172.1140000000
367.1670000000,0.8417051317,-0.0000100000,0.0000520984,0.0000520984,0.0004269905,0.0000029854,0.0047315126,2202.9480000000
372.3390000000,0.8480805881,-0.0000100000,0.0000488916,0.0000488916,0.0002806496,0.0000029854,0.0047315126,2233.9860000000
377.5140000000,0.8564397047,-0.0000100000,0.0000458812,0.0000458812,0.0003293243,0.0000029854,0.0047315126,2265.0360000000
383.0880000000,0.8566357182,-0.0000100000,0.0000428467,0.0000428467,0.0002473457,0.0000029854,0.0047315126,2298.4680000000
388.3250000000,0.8611719606,-0.0000100000,0.0000401769,0.0000401769,0.0001312309,0.0000029854,0.0047315126,2329.9020000000
393.4950000000,0.8622295262,-0.0000100000,0.0000377053,0.0000377053,0.0000659543,0.0000029854,0.0047315126,2360.9220000000
398.6590000000,0.8645462024,-0.0000100000,0.0000353889,0.0000353889,0.0000615254,0.0000029854,0.0047315126,2391.9000000000
403.8270000000,0.8654794521,-0.0000100000,0.0000332123,0.0000332123,0.0000420564,0.0000029854,0.0047315126,2422.9140000000
408.9860000000,0.8680384088,-0.0000100000,0.0000311738,0.0000311738,0.0000195467,0.0000029854,0.0047315126,2453.8620000000
414.1500000000,0.8688974218,-0.0000100000,0.0000292579,0.0000292579,0.0003270445,0.0000029854,0.0047315126,2484.8520000000
419.3380000000,0.8688614540,-0.0000100000,0.0000274523,0.0000274523,0.0000079296,0.0000029854,0.0047315126,2515.9740000000
424.5590000000,0.8702331962,-0.0000100000,0.0000257471,0.0000257471,0.0000043808,0.0000029854,0.0047315126,2547.3060000000
429.7670000000,0.8708173341,-0.0000100000,0.0000241522,0.0000241522,0.0000021673,0.0000029854,0.0047315126,2578.5480000000
434.9380000000,0.8710562414,-0.0000100000,0.0000226659,0.0000226659,0.0000010641,0.0000029854,0.0047315126,2609.5800000000
440.1080000000,0.8710916072,-0.0000100000,0.0000212719,0.0000212719,0.0000006835,0.0000029854,0.0047315126,2640.5940000000
445.2810000000,0.8713305898,-0.0000100000,0.0000199623,0.0000199623,0.0000002820,0.0000029854,0.0047315126,2671.6380000000
450.4450000000,0.8713658804,-0.0000100000,0.0000187357,0.0000187357,0.0000001641,0.0000029854,0.0047315126,2702.6220000000
455.6180000000,0.8713658804,-0.0000100000,0.0000175825,0.0000175825,0.0000000550,0.0000029854,0.0047315126,2733.6600000000
460.8510000000,0.8713305898,-0.0000100000,0.0000164883,0.0000164883,0.0000000422,0.0000029854,0.0047315126,2765.0520000000
466.0900000000,0.8713658804,-0.0000100000,0.0000154609,0.0000154609,0.0000000148,0.0000029854,0.0047315126,2796.4860000000
471.3160000000,0.8759604830,-0.0000100000,0.0000145000,0.0000145000,0.0000000030,0.0000029854,0.0047315126,2827.8360000000
476.6220000000,0.8760285244,-0.0000100000,0.0000135850,0.0000135850,0.0000000016,0.0000029854,0.0047315126,2859.6840000000
481.8090000000,0.8759264343,-0.0000100000,0.0000127468,0.0000127468,0.0000000007,0.0000029854,0.0047315126,2890.8000000000
487.0010000000,0.8759945130,-0.0000100000,0.0000119593,0.0000119593,0.0000000002,0.0000029854,0.0047315126,2921.9580000000
492.1880000000,0.8762349067,-0.0000100000,0.0000112212,0.0000112212,0.0000000000,0.0000029854,0.0047315126,2953.0800000000
497.3810000000,0.8762349067,-0.0000100000,0.0000105280,0.0000105280,0.0000000000,0.0000029854,0.0047315126,2984.2380000000
502.5860000000,0.8762688615,-0.0000100000,0.0000098761,0.0000098761,0.0000000000,0.0000029854,0.0047315126,3015.4680000000
507.8000000000,0.8800768386,-0.0000100000,0.0000092636,0.0000092636,0.0000000000,0.0000029854,0.0047315126,3046.7460000000
513.2320000000,0.8800768386,-0.0000100000,0.0000086657,0.0000086657,0.0000000000,0.0000029854,0.0047315126,3079.3440000000
518.5210000000,0.8805601318,-0.0000100000,0.0000081209,0.0000081209,0.0000000000,0.0000029854,0.0047315126,3111.0720000000
523.6780000000,0.8805601318,-0.0000100000,0.0000076224,0.0000076224,0.0000000000,0.0000029854,0.0047315126,3142.0200000000
528.8910000000,0.8805929179,-0.0000100000,0.0000071497,0.0000071497,0.0000000000,0.0000029854,0.0047315126,3173.2980000000
534.0900000000,0.8806256861,-0.0000100000,0.0000067077,0.0000067077,0.0000000000,0.0000029854,0.0047315126,3204.4800000000
539.2480000000,0.8805929179,-0.0000100000,0.0000062958,0.0000062958,0.0000000000,0.0000029854,0.0047315126,3235.4400000000
544.4560000000,0.8805929179,-0.0000100000,0.0000059059,0.0000059059,0.0000000000,0.0000029854,0.0047315126,3266.6820000000
549.6340000000,0.8809001098,-0.0000100000,0.0000055420,0.0000055420,0.0000000000,0.0000029854,0.0047315126,3297.7500000000
554.8760000000,0.8809001098,-0.0000100000,0.0000051965,0.0000051965,0.0000000000,0.0000029854,0.0047315126,3329.2020000000
560.0980000000,0.8809327846,-0.0000100000,0.0000048738,0.0000048738,0.0000018358,0.0000029854,0.0047315126,3360.5280000000
565.3150000000,0.8809327846,-0.0000100000,0.0000045712,0.0000045712,0.0000000000,0.0000029854,0.0047315126,3391.8360000000
570.4560000000,0.8812071331,-0.0000100000,0.0000042916,0.0000042916,0.0000000000,0.0000029854,0.0047315126,3422.6760000000
575.6640000000,0.8812071331,-0.0000100000,0.0000040256,0.0000040256,0.0000004956,0.0000029854,0.0047315126,3453.9360000000
580.7900000000,0.8812071331,-0.0000100000,0.0000037800,0.0000037800,0.0000000000,0.0000029854,0.0047315126,3484.6920000000
585.9090000000,0.8812071331,-0.0000100000,0.0000035498,0.0000035498,0.0000000000,0.0000029854,0.0047315126,3515.4000000000
591.2030000000,0.8812071331,-0.0000100000,0.0000033263,0.0000033263,0.0000000000,0.0000029854,0.0047315126,3547.1640000000
596.3860000000,0.8855108190,-0.0000100000,0.0000031212,0.0000031212,0.0000000000,0.0000029854,0.0047315126,3578.2680000000
601.6140000000,0.8863636364,-0.0000100000,0.0000029271,0.0000029271,0.0000000000,0.0000029854,0.0047315126,3609.6360000000
