time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0260000000,0.0092539301,-0.0000100000,0.0031622777,0.0031622777,-nan,0.0000019953,0.0031622777,0.0000000000
8.3620000000,0.0056223364,-0.0000100000,0.0028546092,0.0028546092,0.9948358149,0.0000019953,0.0031622777,50.0100000000
16.9330000000,0.0057241178,-0.0000100000,0.0025693859,0.0025693859,0.9942227835,0.0000019953,0.0031622777,101.4420000000
25.2630000000,0.0056562612,-0.0000100000,0.0023195443,0.0023195443,0.9934130169,0.0000019953,0.0031622777,151.4220000000
33.5730000000,0.0053284171,-0.0000100000,0.0020945368,0.0020945368,0.9923978995,0.0000019953,0.0031622777,201.2760000000
41.8670000000,0.0057919834,-0.0000100000,0.0018917279,0.0018917279,0.9920783659,0.0000019953,0.0031622777,251.0340000000
50.1990000000,0.0055318814,-0.0000100000,0.0017077174,0.0017077174,0.9915712175,0.0000019953,0.0031622777,301.0320000000
58.8160000000,0.0057467386,-0.0000100000,0.0015362197,0.0015362197,0.9902705815,0.0000019953,0.0031622777,352.7400000000
67.3960000000,0.0053510202,-0.0000100000,0.0013826237,0.0013826237,0.9891974612,0.0000019953,0.0031622777,404.2080000000
75.7120000000,0.0056788791,-0.0000100000,0.0012483796,0.0012483796,0.9884068964,0.0000019953,0.0031622777,454.1100000000
84.0350000000,0.0058485452,-0.0000100000,0.0011270867,0.0011270867,0.9865579002,0.0000019953,0.0031622777,504.0480000000
92.3630000000,0.0052267158,-0.0000100000,0.0010175037,0.0010175037,0.9852420621,0.0000019953,0.0031622777,554.0220000000
100.8360000000,0.0053849267,-0.0000100000,0.0009169634,0.0009169634,0.9834003305,0.0000019953,0.0031622777,604.8540000000
109.5800000000,0.0055092702,-0.0000100000,0.0008235918,0.0008235918,0.9828224855,0.0000019953,0.0031622777,657.3240000000
117.8930000000,0.0059843193,-0.0000100000,0.0007436718,0.0007436718,0.9800746366,0.0000019953,0.0031622777,707.1960000000
126.2300000000,0.0054640508,-0.0000100000,0.0006712928,0.0006712928,0.9780311377,0.0000019953,0.0031622777,757.2240000000
134.5480000000,0.0059503723,-0.0000100000,0.0006061145,0.0006061145,0.9758350129,0.0000019953,0.0031622777,807.1260000000
142.8760000000,0.0055658001,-0.0000100000,0.0005471906,0.0005471906,0.9725422414,0.0000019953,0.0031622777,857.0940000000
151.4160000000,0.0050798503,-0.0000100000,0.0004927047,0.0004927047,0.9700880234,0.0000019953,0.0031622777,908.3400000000
159.7320000000,0.0056901884,-0.0000100000,0.0004448770,0.0004448770,0.9665047612,0.0000019953,0.0031622777,958.2300000000
168.0500000000,0.0057128077,-0.0000100000,0.0004016773,0.0004016773,0.9625231820,0.0000019953,0.0031622777,1008.1380000000
176.3680000000,0.0055431874,-0.0000100000,0.0003626681,0.0003626681,0.9593657923,0.0000019953,0.0031622777,1058.0520000000
184.7010000000,0.0057014979,-0.0000100000,0.0003273950,0.0003273950,0.9549806911,0.0000019953,0.0031622777,1108.0440000000
193.4100000000,0.0055431874,-0.0000100000,0.0002941837,0.0002941837,0.9506688608,0.0000019953,0.0031622777,1160.3040000000
201.8210000000,0.0062220122,-0.0000100000,0.0002653139,0.0002653139,0.9469066209,0.0000019953,0.0031622777,1210.7700000000
210.1560000000,0.0060974924,-0.0000100000,0.0002395036,0.0002395036,0.9404839633,0.0000019953,0.0031622777,1260.7740000000
218.4710000000,0.0057014979,-0.0000100000,0.0002162519,0.0002162519,0.9318636341,0.0000019953,0.0031622777,1310.6700000000
226.8050000000,0.0057354281,-0.0000100000,0.0001952193,0.0001952193,0.9264737249,0.0000019953,0.0031622777,1360.6620000000
235.2760000000,0.0057693605,-0.0000100000,0.0001759273,0.0001759273,0.9195544233,0.0000019953,0.0031622777,1411.5000000000
243.8640000000,0.0056110287,-0.0000100000,0.0001583220,0.0001583220,0.9066515696,0.0000019953,0.0031622777,1463.0160000000
252.1880000000,0.0058259197,-0.0000100000,0.0001429359,0.0001429359,0.8987726879,0.0000019953,0.0031622777,1512.9660000000
260.5130000000,0.0059051133,-0.0000100000,0.0001290435,0.0001290435,0.8880531323,0.0000019953,0.0031622777,1562.9220000000
268.8610000000,0.0066410779,-0.0000100000,0.0001164712,0.0001164712,0.8750661749,0.0000019953,0.0031622777,1613.0040000000
277.2040000000,0.0063692117,-0.0000100000,0.0001051303,0.0001051303,0.8648141084,0.0000019953,0.0031622777,1663.0560000000
