time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0280000000,0.0079055606,-0.0000100000,0.0031622777,0.0031622777,-nan,0.0000015849,0.0031622777,0.0000000000
8.5000000000,0.0054672180,-0.0000100000,0.0028405962,0.0028405962,0.9949184206,0.0000015849,0.0031622777,50.8260000000
17.2780000000,0.0053172218,-0.0000100000,0.0025417042,0.0025417042,0.9947206159,0.0000015849,0.0031622777,103.5000000000
25.9480000000,0.0052850856,-0.0000100000,0.0022774036,0.0022774036,0.9940677973,0.0000015849,0.0031622777,155.5200000000
34.4080000000,0.0052315298,-0.0000100000,0.0020460206,0.0020460206,0.9933683927,0.0000015849,0.0031622777,206.2800000000
42.8740000000,0.0049745414,-0.0000100000,0.0018380063,0.0018380063,0.9921975032,0.0000015849,0.0031622777,257.0760000000
51.3490000000,0.0053493601,-0.0000100000,0.0016509522,0.0016509522,0.9913997926,0.0000015849,0.0031622777,307.9260000000
59.8430000000,0.0054243574,-0.0000100000,0.0014825778,0.0014825778,0.9905315152,0.0000015849,0.0031622777,358.8900000000
68.9130000000,0.0054457872,-0.0000100000,0.0013216988,0.0013216988,0.9899284297,0.0000015849,0.0031622777,413.3100000000
77.4110000000,0.0053707868,-0.0000100000,0.0011868436,0.0011868436,0.9885539280,0.0000015849,0.0031622777,464.2980000000
85.8890000000,0.0056065403,-0.0000100000,0.0010660179,0.0010660179,0.9863238351,0.0000015849,0.0031622777,515.1660000000
94.3640000000,0.0059174752,-0.0000100000,0.0009575413,0.0009575413,0.9854311350,0.0000015849,0.0031622777,566.0100000000
102.9120000000,0.0052101091,-0.0000100000,0.0008592865,0.0008592865,0.9834001287,0.0000015849,0.0031622777,617.3040000000
111.4550000000,0.0051886893,-0.0000100000,0.0007711627,0.0007711627,0.9823355795,0.0000015849,0.0031622777,668.5680000000
120.0100000000,0.0049317228,-0.0000100000,0.0006919887,0.0006919887,0.9791087714,0.0000015849,0.0031622777,719.8920000000
128.5150000000,0.0053600733,-0.0000100000,0.0006213210,0.0006213210,0.9770275660,0.0000015849,0.0031622777,770.9280000000
137.0640000000,0.0048996112,-0.0000100000,0.0005575733,0.0005575733,0.9761085887,0.0000015849,0.0031622777,822.2160000000
146.0840000000,0.0055958218,-0.0000100000,0.0004973968,0.0004973968,0.9726982636,0.0000015849,0.0031622777,876.3240000000
154.8670000000,0.0051565613,-0.0000100000,0.0004450374,0.0004450374,0.9691899220,0.0000015849,0.0031622777,929.0220000000
163.3960000000,0.0051030192,-0.0000100000,0.0003994625,0.0003994625,0.9665332957,0.0000015849,0.0031622777,980.2080000000
171.9400000000,0.0058638520,-0.0000100000,0.0003584957,0.0003584957,0.9629807047,0.0000015849,0.0031622777,1031.4720000000
180.5050000000,0.0053815004,-0.0000100000,0.0003216448,0.0003216448,0.9586616699,0.0000015849,0.0031622777,1082.8620000000
189.1820000000,0.0052529515,-0.0000100000,0.0002881728,0.0002881728,0.9525613731,0.0000015849,0.0031622777,1134.9240000000
198.3300000000,0.0049638364,-0.0000100000,0.0002566487,0.0002566487,0.9457545131,0.0000015849,0.0031622777,1189.8120000000
