time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0280000000,0.0021593566,-0.0000100000,0.0017782794,0.0017782794,-nan,0.0000011220,0.0017782794,0.0000000000
8.2690000000,0.0020184338,-0.0000100000,0.0016071189,0.0016071189,0.9958094694,0.0000011220,0.0017782794,49.4460000000
16.0320000000,0.0024064558,-0.0000100000,0.0014609836,0.0014609836,0.9951538007,0.0000011220,0.0017782794,96.0240000000
23.7900000000,0.0024260154,-0.0000100000,0.0013282016,0.0013282016,0.9946218796,0.0000011220,0.0017782794,142.5780000000
31.5620000000,0.0021510041,-0.0000100000,0.0012073096,0.0012073096,0.9939266234,0.0000011220,0.0017782794,189.2040000000
39.3500000000,0.0024868001,-0.0000100000,0.0010971786,0.0010971786,0.9935996698,0.0000011220,0.0017782794,235.9380000000
47.3590000000,0.0020820993,-0.0000100000,0.0009944158,0.0009944158,0.9931127907,0.0000011220,0.0017782794,283.9860000000
55.1710000000,0.0021087920,-0.0000100000,0.0009034387,0.0009034387,0.9926953014,0.0000011220,0.0017782794,330.8640000000
62.9850000000,0.0020550686,-0.0000100000,0.0008207748,0.0008207748,0.9917417946,0.0000011220,0.0017782794,377.7480000000
70.7960000000,0.0022439784,-0.0000100000,0.0007457112,0.0007457112,0.9911795268,0.0000011220,0.0017782794,424.6080000000
78.6430000000,0.0020435105,-0.0000100000,0.0006771881,0.0006771881,0.9898874793,0.0000011220,0.0017782794,471.7020000000
86.6530000000,0.0018424605,-0.0000100000,0.0006137620,0.0006137620,0.9886034198,0.0000011220,0.0017782794,519.7500000000
94.7120000000,0.0021825468,-0.0000100000,0.0005559145,0.0005559145,0.9872047420,0.0000011220,0.0017782794,568.1160000000
102.4690000000,0.0023897458,-0.0000100000,0.0005054086,0.0005054086,0.9863819633,0.0000011220,0.0017782794,614.6520000000
110.2350000000,0.0023161552,-0.0000100000,0.0004594406,0.0004594406,0.9856028490,0.0000011220,0.0017782794,661.2420000000
118.0020000000,0.0021579629,-0.0000100000,0.0004176380,0.0004176380,0.9821623753,0.0000011220,0.0017782794,707.8500000000
125.7720000000,0.0022784810,-0.0000100000,0.0003796342,0.0003796342,0.9816612768,0.0000011220,0.0017782794,754.4640000000
133.7570000000,0.0022474761,-0.0000100000,0.0003441660,0.0003441660,0.9777050069,0.0000011220,0.0017782794,802.3860000000
141.9190000000,0.0019933433,-0.0000100000,0.0003113456,0.0003113456,0.9780636427,0.0000011220,0.0017782794,851.3520000000
149.6720000000,0.0023103931,-0.0000100000,0.0002830697,0.0002830697,0.9753175242,0.0000011220,0.0017782794,897.8700000000
157.4290000000,0.0023451561,-0.0000100000,0.0002573491,0.0002573491,0.9726515791,0.0000011220,0.0017782794,944.4120000000
165.2120000000,0.0020680478,-0.0000100000,0.0002338880,0.0002338880,0.9700274012,0.0000011220,0.0017782794,991.1160000000
172.9820000000,0.0022219814,-0.0000100000,0.0002126049,0.0002126049,0.9652000810,0.0000011220,0.0017782794,1037.7300000000
181.1080000000,0.0022271312,-0.0000100000,0.0001924155,0.0001924155,0.9642707313,0.0000011220,0.0017782794,1086.4800000000
188.9050000000,0.0024064994,-0.0000100000,0.0001748440,0.0001748440,0.9597731498,0.0000011220,0.0017782794,1133.2680000000
196.6840000000,0.0026067884,-0.0000100000,0.0001589142,0.0001589142,0.9565669502,0.0000011220,0.0017782794,1179.9420000000
204.4550000000,0.0021998630,-0.0000100000,0.0001444517,0.0001444517,0.9495558125,0.0000011220,0.0017782794,1226.5620000000
212.3560000000,0.0028081797,-0.0000100000,0.0001310927,0.0001310927,0.9467355314,0.0000011220,0.0017782794,1273.9740000000
