time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0140000000,0.1333196173,-0.0000100000,0.0125892541,0.0125892541,-nan,0.0000063096,0.0125892541,0.0000000000
6.1230000000,0.1015898410,-0.0000100000,0.0116520006,0.0116520006,0.9912219352,0.0000063096,0.0125892541,36.6540000000
12.4070000000,0.1003795445,-0.0000100000,0.0107606499,0.0107606499,0.9909589377,0.0000063096,0.0125892541,74.3580000000
18.6160000000,0.1052367576,-0.0000100000,0.0099469286,0.0099469286,0.9889708097,0.0000063096,0.0125892541,111.6120000000
24.7330000000,0.0994644223,-0.0000100000,0.0092053435,0.0092053435,0.9889091647,0.0000063096,0.0125892541,148.3200000000
30.8320000000,0.0983682829,-0.0000100000,0.0085210968,0.0085210968,0.9882534998,0.0000063096,0.0125892541,184.9140000000
36.9500000000,0.0991353508,-0.0000100000,0.0078857136,0.0078857136,0.9871991130,0.0000063096,0.0125892541,221.6280000000
43.0830000000,0.0987334198,-0.0000100000,0.0072965993,0.0072965993,0.9858672738,0.0000063096,0.0125892541,258.4140000000
49.5170000000,0.1012961914,-0.0000100000,0.0067256382,0.0067256382,0.9858285402,0.0000063096,0.0125892541,297.0180000000
55.6890000000,0.1004161811,-0.0000100000,0.0062198799,0.0062198799,0.9837139624,0.0000063096,0.0125892541,334.0560000000
61.8420000000,0.0989526185,-0.0000100000,0.0057536839,0.0057536839,0.9826767556,0.0000063096,0.0125892541,370.9680000000
67.9490000000,0.0949840975,-0.0000100000,0.0053254646,0.0053254646,0.9810584384,0.0000063096,0.0125892541,407.6100000000
74.0390000000,0.0958554377,-0.0000100000,0.0049301144,0.0049301144,0.9798311638,0.0000063096,0.0125892541,444.1560000000
80.1410000000,0.0960371414,-0.0000100000,0.0045635362,0.0045635362,0.9762170809,0.0000063096,0.0125892541,480.7620000000
86.2370000000,0.1008926787,-0.0000100000,0.0042243754,0.0042243754,0.9751925730,0.0000063096,0.0125892541,517.3500000000
92.3520000000,0.0959644527,-0.0000100000,0.0039096781,0.0039096781,0.9726881100,0.0000063096,0.0125892541,554.0280000000
98.4780000000,0.0958917736,-0.0000100000,0.0036178287,0.0036178287,0.9712271814,0.0000063096,0.0125892541,590.7840000000
104.7270000000,0.1087590996,-0.0000100000,0.0033425122,0.0033425122,0.9681661921,0.0000063096,0.0125892541,628.2840000000
110.8370000000,0.1028028028,-0.0000100000,0.0030936665,0.0030936665,0.9653295834,0.0000063096,0.0125892541,664.9380000000
116.9410000000,0.1075330072,-0.0000100000,0.0028634922,0.0028634922,0.9656369599,0.0000063096,0.0125892541,701.5680000000
123.0450000000,0.1010026983,-0.0000100000,0.0026505103,0.0026505103,0.9616706615,0.0000063096,0.0125892541,738.1860000000
129.1490000000,0.1072732755,-0.0000100000,0.0024533386,0.0024533386,0.9579290841,0.0000063096,0.0125892541,774.8100000000
135.2690000000,0.1028396009,-0.0000100000,0.0022703457,0.0022703457,0.9574719881,0.0000063096,0.0125892541,811.5360000000
141.4930000000,0.1051997994,-0.0000100000,0.0020982634,0.0020982634,0.9524031285,0.0000063096,0.0125892541,848.8800000000
147.8800000000,0.1031340743,-0.0000100000,0.0019352497,0.0019352497,0.9464205730,0.0000063096,0.0125892541,887.1960000000
153.9870000000,0.1019938650,-0.0000100000,0.0017912182,0.0017912182,0.9382929610,0.0000063096,0.0125892541,923.8380000000
160.0950000000,0.1052367576,-0.0000100000,0.0016578644,0.0016578644,0.9403588890,0.0000063096,0.0125892541,960.4920000000
166.2070000000,0.1102116224,-0.0000100000,0.0015343997,0.0015343997,0.9327806128,0.0000063096,0.0125892541,997.1580000000
172.3210000000,0.1045718869,-0.0000100000,0.0014200577,0.0014200577,0.9270786020,0.0000063096,0.0125892541,1033.8480000000
178.4360000000,0.1012228035,-0.0000100000,0.0013142531,0.0013142531,0.9232998993,0.0000063096,0.0125892541,1070.5320000000
184.5490000000,0.1031340743,-0.0000100000,0.0012163470,0.0012163470,0.9177245777,0.0000063096,0.0125892541,1107.2100000000
190.8260000000,0.1045349731,-0.0000100000,0.0011233989,0.0011233989,0.9043582180,0.0000063096,0.0125892541,1144.8720000000
197.0980000000,0.1069765884,-0.0000100000,0.0010376061,0.0010376061,0.9015750207,0.0000063096,0.0125892541,1182.5100000000
203.2300000000,0.1048672862,-0.0000100000,0.0009600901,0.0009600901,0.8952455883,0.0000063096,0.0125892541,1219.2960000000
209.3450000000,0.1135031332,-0.0000100000,0.0008885339,0.0008885339,0.8804483288,0.0000063096,0.0125892541,1255.9920000000
215.4670000000,0.1045349731,-0.0000100000,0.0008222587,0.0008222587,0.8776855079,0.0000063096,0.0125892541,1292.7180000000
221.5920000000,0.1116305664,-0.0000100000,0.0007608692,0.0007608692,0.8689356480,0.0000063096,0.0125892541,1329.4800000000
