time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0140000000,0.1239575926,-0.0000100000,0.0125892541,0.0125892541,-nan,0.0000063096,0.0125892541,0.0000000000
6.3310000000,0.0874038401,-0.0000100000,0.0116212007,0.0116212007,0.9912815272,0.0000063096,0.0125892541,37.9080000000
12.7070000000,0.0945575876,-0.0000100000,0.0107198449,0.0107198449,0.9914926925,0.0000063096,0.0125892541,76.1580000000
19.2140000000,0.0938345392,-0.0000100000,0.0098718830,0.0098718830,0.9903727983,0.0000063096,0.0125892541,115.2000000000
25.5220000000,0.0968016654,-0.0000100000,0.0091139365,0.0091139365,0.9889817674,0.0000063096,0.0125892541,153.0480000000
31.8330000000,0.0927345861,-0.0000100000,0.0084138642,0.0084138642,0.9885147189,0.0000063096,0.0125892541,190.9140000000
38.1340000000,0.0963175484,-0.0000100000,0.0077684522,0.0077684522,0.9875725001,0.0000063096,0.0125892541,228.7260000000
44.4510000000,0.0972515856,-0.0000100000,0.0071711862,0.0071711862,0.9871218511,0.0000063096,0.0125892541,266.6280000000
50.8030000000,0.1031693157,-0.0000100000,0.0066170741,0.0066170741,0.9862748330,0.0000063096,0.0125892541,304.7280000000
57.1740000000,0.0945575876,-0.0000100000,0.0061040770,0.0061040770,0.9846278920,0.0000063096,0.0125892541,342.9600000000
63.5820000000,0.1002721175,-0.0000100000,0.0056282840,0.0056282840,0.9820168328,0.0000063096,0.0125892541,381.4080000000
69.9260000000,0.0899601918,-0.0000100000,0.0051937854,0.0051937854,0.9817167580,0.0000063096,0.0125892541,419.4720000000
76.2400000000,0.0945575876,-0.0000100000,0.0047945296,0.0047945296,0.9816001724,0.0000063096,0.0125892541,457.3680000000
82.5540000000,0.0959720121,-0.0000100000,0.0044261895,0.0044261895,0.9790389869,0.0000063096,0.0125892541,495.2400000000
88.8590000000,0.0903361345,-0.0000100000,0.0040865094,0.0040865094,0.9765753601,0.0000063096,0.0125892541,533.0700000000
95.1630000000,0.0892432026,-0.0000100000,0.0037729452,0.0037729452,0.9745042442,0.0000063096,0.0125892541,570.8940000000
101.4700000000,0.0958338586,-0.0000100000,0.0034833090,0.0034833090,0.9731787879,0.0000063096,0.0125892541,608.7360000000
107.8510000000,0.0998892931,-0.0000100000,0.0032128948,0.0032128948,0.9687194619,0.0000063096,0.0125892541,647.0220000000
114.1980000000,0.0988118562,-0.0000100000,0.0029647495,0.0029647495,0.9675724192,0.0000063096,0.0125892541,685.1040000000
120.5310000000,0.0970092750,-0.0000100000,0.0027362199,0.0027362199,0.9645054204,0.0000063096,0.0125892541,723.1080000000
126.8730000000,0.0969746680,-0.0000100000,0.0025250821,0.0025250821,0.9608444561,0.0000063096,0.0125892541,761.1540000000
133.2170000000,0.0975979294,-0.0000100000,0.0023301185,0.0023301185,0.9623862586,0.0000063096,0.0125892541,799.2240000000
139.5580000000,0.1018060837,-0.0000100000,0.0021503171,0.0021503171,0.9552228509,0.0000063096,0.0125892541,837.2700000000
146.0480000000,0.0954196069,-0.0000100000,0.0019806740,0.0019806740,0.9540182194,0.0000063096,0.0125892541,876.2040000000
152.6130000000,0.0918082200,-0.0000100000,0.0018226593,0.0018226593,0.9497147470,0.0000063096,0.0125892541,915.5940000000
