time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0130000000,0.0491636482,-0.0000100000,0.0125892541,0.0125892541,-nan,0.0000063096,0.0125892541,0.0000000000
6.0340000000,0.0676878027,-0.0000100000,0.0116651412,0.0116651412,0.9908051077,0.0000063096,0.0125892541,36.1200000000
12.0920000000,0.0597886647,-0.0000100000,0.0108037991,0.0108037991,0.9904679657,0.0000063096,0.0125892541,72.4620000000
18.1290000000,0.0631438890,-0.0000100000,0.0100084656,0.0100084656,0.9898848801,0.0000063096,0.0125892541,108.6900000000
24.1140000000,0.0681920989,-0.0000100000,0.0092779067,0.0092779067,0.9887765172,0.0000063096,0.0125892541,144.6000000000
30.0740000000,0.0602029832,-0.0000100000,0.0086033977,0.0086033977,0.9869017880,0.0000063096,0.0125892541,180.3600000000
36.0560000000,0.0571079087,-0.0000100000,0.0079757035,0.0079757035,0.9867227502,0.0000063096,0.0125892541,216.2520000000
42.0490000000,0.0662320230,-0.0000100000,0.0073928688,0.0073928688,0.9857201205,0.0000063096,0.0125892541,252.2040000000
48.0650000000,0.0682536014,-0.0000100000,0.0068504563,0.0068504563,0.9860576983,0.0000063096,0.0125892541,288.3060000000
54.1860000000,0.0660508430,-0.0000100000,0.0063394853,0.0063394853,0.9823481855,0.0000063096,0.0125892541,325.0320000000
60.2480000000,0.0642610911,-0.0000100000,0.0058710868,0.0058710868,0.9818547575,0.0000063096,0.0125892541,361.3980000000
66.2490000000,0.0668594824,-0.0000100000,0.0054413605,0.0054413605,0.9801327202,0.0000063096,0.0125892541,397.4100000000
72.2680000000,0.0630834838,-0.0000100000,0.0050420018,0.0050420018,0.9790243072,0.0000063096,0.0125892541,433.5240000000
78.2650000000,0.0595116797,-0.0000100000,0.0046731960,0.0046731960,0.9763302432,0.0000063096,0.0125892541,469.5120000000
84.2670000000,0.0651205301,-0.0000100000,0.0043312026,0.0043312026,0.9757008429,0.0000063096,0.0125892541,505.5180000000
90.2570000000,0.0712009711,-0.0000100000,0.0040147962,0.0040147962,0.9748085027,0.0000063096,0.0125892541,541.4580000000
96.2810000000,0.0665257494,-0.0000100000,0.0037199020,0.0037199020,0.9711869807,0.0000063096,0.0125892541,577.6020000000
102.5910000000,0.0645551440,-0.0000100000,0.0034342507,0.0034342507,0.9668777966,0.0000063096,0.0125892541,615.4560000000
108.5830000000,0.0595038239,-0.0000100000,0.0031832482,0.0031832482,0.9663783593,0.0000063096,0.0125892541,651.4140000000
114.5640000000,0.0692184277,-0.0000100000,0.0029510767,0.0029510767,0.9641106630,0.0000063096,0.0125892541,687.2940000000
120.5620000000,0.0606685927,-0.0000100000,0.0027351806,0.0027351806,0.9616072251,0.0000063096,0.0125892541,723.2880000000
126.5610000000,0.0672605118,-0.0000100000,0.0025350469,0.0025350469,0.9565608253,0.0000063096,0.0125892541,759.2880000000
132.5870000000,0.0736416534,-0.0000100000,0.0023488431,0.0023488431,0.9559439993,0.0000063096,0.0125892541,795.4320000000
138.6740000000,0.0656819962,-0.0000100000,0.0021745530,0.0021745530,0.9480218199,0.0000063096,0.0125892541,831.9600000000
144.7330000000,0.0736559952,-0.0000100000,0.0020139352,0.0020139352,0.9480269797,0.0000063096,0.0125892541,868.3140000000
150.7400000000,0.0691418829,-0.0000100000,0.0018664098,0.0018664098,0.9413631240,0.0000063096,0.0125892541,904.3560000000
156.7260000000,0.0715959386,-0.0000100000,0.0017301510,0.0017301510,0.9384725054,0.0000063096,0.0125892541,940.2720000000
162.7120000000,0.0756526973,-0.0000100000,0.0016038602,0.0016038602,0.9331326636,0.0000063096,0.0125892541,976.1820000000
168.6920000000,0.0769318789,-0.0000100000,0.0014868632,0.0014868632,0.9271576454,0.0000063096,0.0125892541,1012.0680000000
174.6840000000,0.0713076836,-0.0000100000,0.0013782087,0.0013782087,0.9225590451,0.0000063096,0.0125892541,1048.0200000000
180.7040000000,0.0623477467,-0.0000100000,0.0012770415,0.0012770415,0.9181033540,0.0000063096,0.0125892541,1084.1400000000
186.7840000000,0.0746775289,-0.0000100000,0.0011824166,0.0011824166,0.9077936454,0.0000063096,0.0125892541,1120.6140000000
192.8330000000,0.0706342278,-0.0000100000,0.0010952052,0.0010952052,0.8993281927,0.0000063096,0.0125892541,1156.9140000000
198.8160000000,0.0714969555,-0.0000100000,0.0010152874,0.0010152874,0.8994980728,0.0000063096,0.0125892541,1192.8120000000
204.7970000000,0.0839174158,-0.0000100000,0.0009412251,0.0009412251,0.8869920637,0.0000063096,0.0125892541,1228.6980000000
210.7680000000,0.0859731952,-0.0000100000,0.0008726759,0.0008726759,0.8790449968,0.0000063096,0.0125892541,1264.5240000000
216.7510000000,0.0845415248,-0.0000100000,0.0008089962,0.0008089962,0.8636384924,0.0000063096,0.0125892541,1300.4220000000
222.7710000000,0.0870117375,-0.0000100000,0.0007496119,0.0007496119,0.8559837116,0.0000063096,0.0125892541,1336.5420000000
228.8050000000,0.0885168362,-0.0000100000,0.0006944636,0.0006944636,0.8499304523,0.0000063096,0.0125892541,1372.7460000000
234.7870000000,0.0887157201,-0.0000100000,0.0006437963,0.0006437963,0.8295579704,0.0000063096,0.0125892541,1408.6380000000
240.7770000000,0.0995085066,-0.0000100000,0.0005967728,0.0005967728,0.8210243777,0.0000063096,0.0125892541,1444.5720000000
246.7590000000,0.0970925990,-0.0000100000,0.0005532189,0.0005532189,0.7988523390,0.0000063096,0.0125892541,1480.4760000000
252.7460000000,0.1013611132,-0.0000100000,0.0005128307,0.0005128307,0.7804883192,0.0000063096,0.0125892541,1516.3920000000
258.7210000000,0.1039704808,-0.0000100000,0.0004754573,0.0004754573,0.7694996853,0.0000063096,0.0125892541,1552.2420000000
264.7700000000,0.1042203670,-0.0000100000,0.0004403946,0.0004403946,0.7587820571,0.0000063096,0.0125892541,1588.5360000000
270.8760000000,0.1102921417,-0.0000100000,0.0004076285,0.0004076285,0.7288666750,0.0000063096,0.0125892541,1625.1660000000
276.8940000000,0.1196752222,-0.0000100000,0.0003777161,0.0003777161,0.7036510283,0.0000063096,0.0125892541,1661.2740000000
282.8750000000,0.1249951895,-0.0000100000,0.0003501539,0.0003501539,0.7112530238,0.0000063096,0.0125892541,1697.1720000000
288.8550000000,0.1221020694,-0.0000100000,0.0003246235,0.0003246235,0.6674016185,0.0000063096,0.0125892541,1733.0400000000
294.8320000000,0.1245775730,-0.0000100000,0.0003009546,0.0003009546,0.6458112159,0.0000063096,0.0125892541,1768.9080000000
300.8160000000,0.1435028249,-0.0000100000,0.0002789902,0.0002789902,0.6219442188,0.0000063096,0.0125892541,1804.8120000000
306.8150000000,0.1494914452,-0.0000100000,0.0002585830,0.0002585830,0.5846354776,0.0000063096,0.0125892541,1840.8000000000
312.8820000000,0.1482908978,-0.0000100000,0.0002394562,0.0002394562,0.5382407854,0.0000063096,0.0125892541,1877.2080000000
318.9800000000,0.1582106053,-0.0000100000,0.0002216626,0.0002216626,0.4689181303,0.0000063096,0.0125892541,1913.7900000000
324.9750000000,0.1806567881,-0.0000100000,0.0002054566,0.0002054566,0.4327277278,0.0000063096,0.0125892541,1949.7600000000
330.9460000000,0.1889659063,-0.0000100000,0.0001904932,0.0001904932,0.3922140187,0.0000063096,0.0125892541,1985.5860000000
336.9280000000,0.3969625192,-0.0000100000,0.0001765928,0.0001765928,0.1681662108,0.0000063096,0.0125892541,2021.4840000000
342.8960000000,0.4341716681,-0.0000100000,0.0001637378,0.0001637378,0.1436371282,0.0000063096,0.0125892541,2057.2920000000
348.8660000000,0.4759931757,-0.0000100000,0.0001518148,0.0001518148,0.1146100925,0.0000063096,0.0125892541,2093.1120000000
354.8670000000,0.5334709080,-0.0000100000,0.0001407047,0.0001407047,0.0830041166,0.0000063096,0.0125892541,2129.1180000000
