time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0000000000,0.1250225293,-0.0000100000,0.0316227766,0.0316227766,-nan,0.0000100000,0.0316227766,0.0000000000
8.3200000000,0.0954720955,-0.0000100000,0.0304664759,0.0304664759,0.9944563664,0.0000100000,0.0316227766,16.6400000000
16.6320000000,0.0955361844,-0.0000100000,0.0293535073,0.0293535073,0.9944324203,0.0000100000,0.0316227766,33.2640000000
24.9560000000,0.1022426276,-0.0000100000,0.0282796770,0.0282796770,0.9941447536,0.0000100000,0.0316227766,49.9120000000
33.2840000000,0.0992662166,-0.0000100000,0.0272451303,0.0272451303,0.9940726105,0.0000100000,0.0316227766,66.5600000000
41.6080000000,0.0999765038,-0.0000100000,0.0262484301,0.0262484301,0.9938104116,0.0000100000,0.0316227766,83.2080000000
49.9360000000,0.1005583309,-0.0000100000,0.0252872861,0.0252872861,0.9933331570,0.0000100000,0.0316227766,99.8720000000
58.2520000000,0.0913223381,-0.0000100000,0.0243630817,0.0243630817,0.9928496300,0.0000100000,0.0316227766,116.5040000000
66.5720000000,0.1041924642,-0.0000100000,0.0234722350,0.0234722350,0.9929608486,0.0000100000,0.0316227766,133.1440000000
74.8840000000,0.1080473373,-0.0000100000,0.0226147724,0.0226147724,0.9928714575,0.0000100000,0.0316227766,149.7680000000
83.1160000000,0.1002996651,-0.0000100000,0.0217964395,0.0217964395,0.9922396522,0.0000100000,0.0316227766,166.2320000000
91.3600000000,0.0992662166,-0.0000100000,0.0210065898,0.0210065898,0.9918630658,0.0000100000,0.0316227766,182.7200000000
99.5880000000,0.0907502330,-0.0000100000,0.0202471754,0.0202471754,0.9912222695,0.0000100000,0.0316227766,199.1680000000
107.8080000000,0.1004289828,-0.0000100000,0.0195152147,0.0195152147,0.9915632691,0.0000100000,0.0316227766,215.6160000000
116.0480000000,0.0954720955,-0.0000100000,0.0188087047,0.0188087047,0.9911745766,0.0000100000,0.0316227766,232.0880000000
124.2960000000,0.1095573858,-0.0000100000,0.0181264740,0.0181264740,0.9911520312,0.0000100000,0.0316227766,248.5920000000
132.5480000000,0.0889108565,-0.0000100000,0.0174689893,0.0174689893,0.9902382918,0.0000100000,0.0316227766,265.0960000000
140.7960000000,0.0896712249,-0.0000100000,0.0168356543,0.0168356543,0.9900479482,0.0000100000,0.0316227766,281.5920000000
149.0360000000,0.0911951518,-0.0000100000,0.0162258620,0.0162258620,0.9890605682,0.0000100000,0.0316227766,298.0720000000
157.2560000000,0.1025671220,-0.0000100000,0.0156395569,0.0156395569,0.9891081398,0.0000100000,0.0316227766,314.5120000000
165.4840000000,0.0987502200,-0.0000100000,0.0150738974,0.0150738974,0.9884225443,0.0000100000,0.0316227766,330.9680000000
173.7080000000,0.1012055278,-0.0000100000,0.0145292174,0.0145292174,0.9882429272,0.0000100000,0.0316227766,347.4080000000
181.9400000000,0.0991371720,-0.0000100000,0.0140032157,0.0140032157,0.9879035569,0.0000100000,0.0316227766,363.8800000000
190.1720000000,0.0924046202,-0.0000100000,0.0134967402,0.0134967402,0.9875434480,0.0000100000,0.0316227766,380.3360000000
198.4200000000,0.1053656809,-0.0000100000,0.0130071855,0.0130071855,0.9870746029,0.0000100000,0.0316227766,396.8400000000
206.6480000000,0.0993307503,-0.0000100000,0.0125367350,0.0125367350,0.9861395699,0.0000100000,0.0316227766,413.2960000000
214.8760000000,0.0954080140,-0.0000100000,0.0120832999,0.0120832999,0.9851070736,0.0000100000,0.0316227766,429.7520000000
223.1160000000,0.0968837863,-0.0000100000,0.0116456393,0.0116456393,0.9863684281,0.0000100000,0.0316227766,446.2320000000
231.3480000000,0.1072611164,-0.0000100000,0.0112242328,0.0112242328,0.9859285269,0.0000100000,0.0316227766,462.6960000000
239.5920000000,0.0977196788,-0.0000100000,0.0108174941,0.0108174941,0.9851351521,0.0000100000,0.0316227766,479.1840000000
247.8320000000,0.0977196788,-0.0000100000,0.0104256813,0.0104256813,0.9843131084,0.0000100000,0.0316227766,495.6640000000
256.0680000000,0.1028268551,-0.0000100000,0.0100482400,0.0100482400,0.9831005387,0.0000100000,0.0316227766,512.1360000000
264.3000000000,0.0959208755,-0.0000100000,0.0096846367,0.0096846367,0.9835431083,0.0000100000,0.0316227766,528.6000000000
272.5240000000,0.0918313801,-0.0000100000,0.0093345250,0.0093345250,0.9827246427,0.0000100000,0.0316227766,545.0480000000
280.7440000000,0.1000411208,-0.0000100000,0.0089972314,0.0089972314,0.9817592157,0.0000100000,0.0316227766,561.4880000000
288.9760000000,0.0911951518,-0.0000100000,0.0086718149,0.0086718149,0.9813855795,0.0000100000,0.0316227766,577.9440000000
297.2080000000,0.0973980309,-0.0000100000,0.0083580186,0.0083580186,0.9804440321,0.0000100000,0.0316227766,594.4080000000
305.4440000000,0.0990726611,-0.0000100000,0.0080554330,0.0080554330,0.9792394235,0.0000100000,0.0316227766,610.8800000000
313.6720000000,0.1000411208,-0.0000100000,0.0077639409,0.0077639409,0.9793987896,0.0000100000,0.0316227766,627.3440000000
321.9160000000,0.0963058369,-0.0000100000,0.0074825947,0.0074825947,0.9782266963,0.0000100000,0.0316227766,643.8320000000
330.1640000000,0.0912587413,-0.0000100000,0.0072113146,0.0072113146,0.9789580282,0.0000100000,0.0316227766,660.3280000000
338.4160000000,0.0992016905,-0.0000100000,0.0069497453,0.0069497453,0.9745089272,0.0000100000,0.0316227766,676.8320000000
346.6520000000,0.0972694246,-0.0000100000,0.0066981435,0.0066981435,0.9753354591,0.0000100000,0.0316227766,693.3040000000
354.8840000000,0.0987502200,-0.0000100000,0.0064557660,0.0064557660,0.9738827386,0.0000100000,0.0316227766,709.7680000000
363.1240000000,0.1028268551,-0.0000100000,0.0062219362,0.0062219362,0.9730193801,0.0000100000,0.0316227766,726.2480000000
371.3680000000,0.0934890511,-0.0000100000,0.0059964685,0.0059964685,0.9717733814,0.0000100000,0.0316227766,742.7360000000
379.5960000000,0.0931060650,-0.0000100000,0.0057795852,0.0057795852,0.9693802924,0.0000100000,0.0316227766,759.1920000000
387.8360000000,0.1023075112,-0.0000100000,0.0055702469,0.0055702469,0.9711200135,0.0000100000,0.0316227766,775.6720000000
396.0760000000,0.1083096591,-0.0000100000,0.0053684909,0.0053684909,0.9690786367,0.0000100000,0.0316227766,792.1520000000
404.3200000000,0.0955361844,-0.0000100000,0.0051739499,0.0051739499,0.9695024040,0.0000100000,0.0316227766,808.6400000000
412.5600000000,0.0959850170,-0.0000100000,0.0049865480,0.0049865480,0.9655951223,0.0000100000,0.0316227766,825.1200000000
420.8000000000,0.0910679951,-0.0000100000,0.0048059337,0.0048059337,0.9658644021,0.0000100000,0.0316227766,841.6000000000
429.0280000000,0.1027619104,-0.0000100000,0.0046321103,0.0046321103,0.9641684311,0.0000100000,0.0316227766,858.0560000000
437.2680000000,0.0972694246,-0.0000100000,0.0044643339,0.0044643339,0.9633661128,0.0000100000,0.0316227766,874.5360000000
445.5040000000,0.1054961922,-0.0000100000,0.0043027114,0.0043027114,0.9619973222,0.0000100000,0.0316227766,891.0080000000
453.7800000000,0.1066721825,-0.0000100000,0.0041461976,0.0041461976,0.9578782045,0.0000100000,0.0316227766,907.5600000000
462.0120000000,0.1025022078,-0.0000100000,0.0039961643,0.0039961643,0.9561275142,0.0000100000,0.0316227766,924.0240000000
470.2480000000,0.1002350176,-0.0000100000,0.0038514910,0.0038514910,0.9564421598,0.0000100000,0.0316227766,940.4960000000
478.4800000000,0.1054309327,-0.0000100000,0.0037121218,0.0037121218,0.9574824587,0.0000100000,0.0316227766,956.9600000000
486.7160000000,0.1039971701,-0.0000100000,0.0035777318,0.0035777318,0.9526666213,0.0000100000,0.0316227766,973.4320000000
494.9560000000,0.1010112888,-0.0000100000,0.0034481453,0.0034481453,0.9520611143,0.0000100000,0.0316227766,989.9120000000
503.2040000000,0.1013998353,-0.0000100000,0.0033231334,0.0033231334,0.9492786399,0.0000100000,0.0316227766,1006.4080000000
511.4440000000,0.0979771328,-0.0000100000,0.0032027686,0.0032027686,0.9451480078,0.0000100000,0.0316227766,1022.8880000000
519.6800000000,0.1015294118,-0.0000100000,0.0030868186,0.0030868186,0.9492558922,0.0000100000,0.0316227766,1039.3600000000
527.9200000000,0.0997181113,-0.0000100000,0.0029750131,0.0029750131,0.9432771621,0.0000100000,0.0316227766,1055.8400000000
536.1520000000,0.1045181078,-0.0000100000,0.0028673600,0.0028673600,0.9440548138,0.0000100000,0.0316227766,1072.3040000000
544.4000000000,0.1025671220,-0.0000100000,0.0027634539,0.0027634539,0.9388707477,0.0000100000,0.0316227766,1088.7920000000
552.6400000000,0.1073920757,-0.0000100000,0.0026633131,0.0026633131,0.9397941298,0.0000100000,0.0316227766,1105.2800000000
560.8880000000,0.1059532247,-0.0000100000,0.0025667552,0.0025667552,0.9361198800,0.0000100000,0.0316227766,1121.7760000000
569.1320000000,0.0990081578,-0.0000100000,0.0024737422,0.0024737422,0.9367206391,0.0000100000,0.0316227766,1138.2640000000
577.3680000000,0.1062145558,-0.0000100000,0.0023841853,0.0023841853,0.9320876677,0.0000100000,0.0316227766,1154.7360000000
585.6160000000,0.1117971858,-0.0000100000,0.0022977882,0.0022977882,0.9301102468,0.0000100000,0.0316227766,1171.2240000000
593.8480000000,0.1058226054,-0.0000100000,0.0022146013,0.0022146013,0.9254133998,0.0000100000,0.0316227766,1187.6960000000
602.1040000000,0.0959208755,-0.0000100000,0.0021342731,0.0021342731,0.9221373368,0.0000100000,0.0316227766,1204.2000000000
610.3360000000,0.0980415152,-0.0000100000,0.0020570060,0.0020570060,0.9227782557,0.0000100000,0.0316227766,1220.6720000000
618.5800000000,0.1078506774,-0.0000100000,0.0019824651,0.0019824651,0.9183588104,0.0000100000,0.0316227766,1237.1600000000
626.8360000000,0.1031516937,-0.0000100000,0.0019105228,0.0019105228,0.9153726446,0.0000100000,0.0316227766,1253.6720000000
635.0920000000,0.1045832596,-0.0000100000,0.0018411912,0.0018411912,0.9145243175,0.0000100000,0.0316227766,1270.1840000000
643.3360000000,0.1169698777,-0.0000100000,0.0017744709,0.0017744709,0.9105729373,0.0000100000,0.0316227766,1286.6720000000
651.5920000000,0.1054961922,-0.0000100000,0.0017100766,0.0017100766,0.9104260852,0.0000100000,0.0316227766,1303.1840000000
659.8320000000,0.1014646197,-0.0000100000,0.0016481371,0.0016481371,0.9023047312,0.0000100000,0.0316227766,1319.6640000000
668.0680000000,0.1004289828,-0.0000100000,0.0015884695,0.0015884695,0.8941963599,0.0000100000,0.0316227766,1336.1360000000
676.3120000000,0.1090973703,-0.0000100000,0.0015309073,0.0015309073,0.8904214262,0.0000100000,0.0316227766,1352.6240000000
684.5600000000,0.1059532247,-0.0000100000,0.0014754045,0.0014754045,0.8892793614,0.0000100000,0.0316227766,1369.1200000000
692.8040000000,0.1107420369,-0.0000100000,0.0014219395,0.0014219395,0.8862105646,0.0000100000,0.0316227766,1385.6080000000
701.0440000000,0.1006230163,-0.0000100000,0.0013704364,0.0013704364,0.8869335470,0.0000100000,0.0316227766,1402.0880000000
709.2880000000,0.1079817762,-0.0000100000,0.0013207751,0.0013207751,0.8772827936,0.0000100000,0.0316227766,1418.5760000000
717.5240000000,0.1047787611,-0.0000100000,0.0012729591,0.0012729591,0.8753119590,0.0000100000,0.0316227766,1435.0480000000
725.7720000000,0.1127882101,-0.0000100000,0.0012268082,0.0012268082,0.8686645357,0.0000100000,0.0316227766,1451.5440000000
734.0160000000,0.1029567676,-0.0000100000,0.0011823517,0.0011823517,0.8506809159,0.0000100000,0.0316227766,1468.0320000000
742.2640000000,0.1117971858,-0.0000100000,0.0011395061,0.0011395061,0.8568338930,0.0000100000,0.0316227766,1484.5200000000
750.5120000000,0.1096231334,-0.0000100000,0.0010981936,0.0010981936,0.8473701310,0.0000100000,0.0316227766,1501.0160000000
758.7680000000,0.1191059583,-0.0000100000,0.0010583408,0.0010583408,0.8486871943,0.0000100000,0.0316227766,1517.5280000000
767.0200000000,0.1133174792,-0.0000100000,0.0010199526,0.0010199526,0.8407506831,0.0000100000,0.0316227766,1534.0320000000
775.2720000000,0.1164371311,-0.0000100000,0.0009829392,0.0009829392,0.8281788118,0.0000100000,0.0316227766,1550.5440000000
783.5200000000,0.1086377361,-0.0000100000,0.0009473029,0.0009473029,0.8349795085,0.0000100000,0.0316227766,1567.0400000000
791.7640000000,0.1054961922,-0.0000100000,0.0009129750,0.0009129750,0.8201891420,0.0000100000,0.0316227766,1583.5280000000
800.0240000000,0.1204451624,-0.0000100000,0.0008798280,0.0008798280,0.8149979987,0.0000100000,0.0316227766,1600.0480000000
808.2760000000,0.1231332094,-0.0000100000,0.0008479148,0.0008479148,0.8135910177,0.0000100000,0.0316227766,1616.5520000000
816.5440000000,0.1194404591,-0.0000100000,0.0008171006,0.0008171006,0.8103227536,0.0000100000,0.0316227766,1633.0880000000
824.8000000000,0.1229311586,-0.0000100000,0.0007874486,0.0007874486,0.7966357076,0.0000100000,0.0316227766,1649.6000000000
833.0800000000,0.1200430648,-0.0000100000,0.0007587911,0.0007587911,0.7986502115,0.0000100000,0.0316227766,1666.1600000000
841.3440000000,0.1188385015,-0.0000100000,0.0007312420,0.0007312420,0.7890216688,0.0000100000,0.0316227766,1682.6800000000
849.6200000000,0.1123255123,-0.0000100000,0.0007046300,0.0007046300,0.7689330621,0.0000100000,0.0316227766,1699.2400000000
857.8720000000,0.1203110978,-0.0000100000,0.0006790716,0.0006790716,0.7613612266,0.0000100000,0.0316227766,1715.7440000000
866.1360000000,0.1203110978,-0.0000100000,0.0006544051,0.0006544051,0.7711444248,0.0000100000,0.0316227766,1732.2720000000
874.3920000000,0.1181704186,-0.0000100000,0.0006306572,0.0006306572,0.7507625732,0.0000100000,0.0316227766,1748.7840000000
882.6560000000,0.1216531896,-0.0000100000,0.0006077493,0.0006077493,0.7301561649,0.0000100000,0.0316227766,1765.3120000000
890.9280000000,0.1196412556,-0.0000100000,0.0005856630,0.0005856630,0.7219094072,0.0000100000,0.0316227766,1781.8480000000
899.1880000000,0.1172364417,-0.0000100000,0.0005643895,0.0005643895,0.7214543228,0.0000100000,0.0316227766,1798.3760000000
907.4560000000,0.1339469541,-0.0000100000,0.0005438789,0.0005438789,0.7041842988,0.0000100000,0.0316227766,1814.9120000000
915.7240000000,0.1344278185,-0.0000100000,0.0005241231,0.0005241231,0.6868437211,0.0000100000,0.0316227766,1831.4400000000
923.9920000000,0.1221236817,-0.0000100000,0.0005050669,0.0005050669,0.6826585910,0.0000100000,0.0316227766,1847.9840000000
932.2640000000,0.1294330519,-0.0000100000,0.0004867035,0.0004867035,0.6595188600,0.0000100000,0.0316227766,1864.5280000000
940.5440000000,0.1416900378,-0.0000100000,0.0004689993,0.0004689993,0.6340963798,0.0000100000,0.0316227766,1881.0800000000
948.8160000000,0.1280722892,-0.0000100000,0.0004519392,0.0004519392,0.6218562764,0.0000100000,0.0316227766,1897.6320000000
957.1000000000,0.1447609732,-0.0000100000,0.0004354840,0.0004354840,0.6003482662,0.0000100000,0.0316227766,1914.2000000000
965.3880000000,0.1557119052,-0.0000100000,0.0004196205,0.0004196205,0.5767056370,0.0000100000,0.0316227766,1930.7760000000
973.6760000000,0.1557119052,-0.0000100000,0.0004043348,0.0004043348,0.5332713638,0.0000100000,0.0316227766,1947.3520000000
981.9640000000,0.1587154260,-0.0000100000,0.0003896059,0.0003896059,0.5156111502,0.0000100000,0.0316227766,1963.9280000000
990.2680000000,0.1599355798,-0.0000100000,0.0003753867,0.0003753867,0.4980277984,0.0000100000,0.0316227766,1980.5360000000
998.5560000000,0.1534339390,-0.0000100000,0.0003617123,0.0003617123,0.4849164605,0.0000100000,0.0316227766,1997.1120000000
1006.8600000000,0.1832427651,-0.0000100000,0.0003485111,0.0003485111,0.4485273252,0.0000100000,0.0316227766,2013.7200000000
1015.1560000000,0.1738966901,-0.0000100000,0.0003358038,0.0003358038,0.4230634580,0.0000100000,0.0316227766,2030.3120000000
1023.4520000000,0.1747067311,-0.0000100000,0.0003235597,0.0003235597,0.4015647911,0.0000100000,0.0316227766,2046.9040000000
