time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.2240000000,0.0219659665,-0.0000100000,0.0019952623,0.0019952623,-nan,0.0000019953,0.0019952623,0.0000000000
16.6720000000,0.0100292005,-0.0000100000,0.0013664697,0.0013664697,0.9927246844,0.0000019953,0.0019952623,197.2800000000
33.1000000000,0.0161262333,-0.0000100000,0.0009359227,0.0009359227,0.9887321375,0.0000019953,0.0019952623,394.5120000000
49.3160000000,0.0141400896,-0.0000100000,0.0006443473,0.0006443473,0.9828294976,0.0000019953,0.0019952623,589.0560000000
65.5640000000,0.0144538356,-0.0000100000,0.0004432819,0.0004432819,0.9753913340,0.0000019953,0.0019952623,783.9840000000
82.1200000000,0.0161388286,-0.0000100000,0.0003027471,0.0003027471,0.9667751856,0.0000019953,0.0019952623,982.7040000000
98.4360000000,0.0179558183,-0.0000100000,0.0002079122,0.0002079122,0.9484201769,0.0000019953,0.0019952623,1178.5440000000
114.7360000000,0.0173494335,-0.0000100000,0.0001428499,0.0001428499,0.9293992412,0.0000019953,0.0019952623,1374.1440000000
131.0000000000,0.0183731273,-0.0000100000,0.0000982381,0.0000982381,0.8976616864,0.0000019953,0.0019952623,1569.2640000000
147.3640000000,0.0192341166,-0.0000100000,0.0000673969,0.0000673969,0.8527443144,0.0000019953,0.0019952623,1765.6320000000
163.7680000000,0.0199823319,-0.0000100000,0.0000461955,0.0000461955,0.7949208673,0.0000019953,0.0019952623,1962.4800000000
180.1760000000,0.0218003689,-0.0000100000,0.0000316607,0.0000316607,0.7200610060,0.0000019953,0.0019952623,2159.3760000000
196.5960000000,0.0248021702,-0.0000100000,0.0000216910,0.0000216910,0.6218494423,0.0000019953,0.0019952623,2356.4640000000
213.2400000000,0.0280021067,-0.0000100000,0.0000147870,0.0000147870,0.4888026992,0.0000019953,0.0019952623,2556.1440000000
229.7400000000,0.0345145251,-0.0000100000,0.0000101121,0.0000101121,0.3382010234,0.0000019953,0.0019952623,2754.1920000000
246.4480000000,0.0531880725,-0.0000100000,0.0000068834,0.0000068834,0.1851244961,0.0000019953,0.0019952623,2954.6400000000
263.6240000000,0.1186207085,-0.0000100000,0.0000046345,0.0000046345,0.0476823705,0.0000019953,0.0019952623,3160.8000000000
282.3080000000,0.2679143144,-0.0000100000,0.0000030163,0.0000030163,0.0018204849,0.0000019953,0.0019952623,3384.6240000000
303.5040000000,0.3644186279,-0.0000100000,0.0000018503,0.0000018503,0.0000104965,0.0000019953,0.0019952623,3639.3120000000
