time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0000000000,0.0048988820,-0.0000100000,0.0199526231,0.0199526231,-nan,0.0000158489,0.0199526231,0.0000000000
4.2120000000,0.0040160643,-0.0000100000,0.0180499499,0.0180499499,0.9933002025,0.0000158489,0.0199526231,50.5440000000
8.4120000000,0.0032605969,-0.0000100000,0.0163349321,0.0163349321,0.9924784790,0.0000158489,0.0199526231,100.8960000000
12.6120000000,0.0054040468,-0.0000100000,0.0147800533,0.0147800533,0.9920271591,0.0000158489,0.0199526231,151.3440000000
16.8320000000,0.0030090271,-0.0000100000,0.0133680892,0.0133680892,0.9910149979,0.0000158489,0.0199526231,201.9840000000
21.0160000000,0.0036381884,-0.0000100000,0.0121013735,0.0121013735,0.9901371525,0.0000158489,0.0199526231,252.1920000000
25.2080000000,0.0046464900,-0.0000100000,0.0109526027,0.0109526027,0.9890180766,0.0000158489,0.0199526231,302.4960000000
29.4000000000,0.0036381884,-0.0000100000,0.0099138269,0.0099138269,0.9878751170,0.0000158489,0.0199526231,352.7520000000
33.5840000000,0.0035122930,-0.0000100000,0.0089735716,0.0089735716,0.9866243824,0.0000158489,0.0199526231,403.0080000000
37.7760000000,0.0050251256,-0.0000100000,0.0081217198,0.0081217198,0.9851502782,0.0000158489,0.0199526231,453.3120000000
41.9840000000,0.0043942247,-0.0000100000,0.0073479355,0.0073479355,0.9837894410,0.0000158489,0.0199526231,503.8080000000
46.1800000000,0.0040160643,-0.0000100000,0.0066497706,0.0066497706,0.9818144645,0.0000158489,0.0199526231,554.1600000000
50.3680000000,0.0036381884,-0.0000100000,0.0060190876,0.0060190876,0.9801089566,0.0000158489,0.0199526231,604.4160000000
54.5640000000,0.0047726702,-0.0000100000,0.0054471834,0.0054471834,0.9779657837,0.0000158489,0.0199526231,654.7680000000
58.7640000000,0.0035122930,-0.0000100000,0.0049291496,0.0049291496,0.9756143554,0.0000158489,0.0199526231,705.1680000000
62.9640000000,0.0040160643,-0.0000100000,0.0044608060,0.0044608060,0.9731128632,0.0000158489,0.0199526231,755.5200000000
