time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0000000000,0.0008757663,-0.0000100000,0.0063095734,0.0063095734,-nan,0.0000050119,0.0063095734,0.0000000000
6.4640000000,0.0008131607,-0.0000100000,0.0054101005,0.0054101005,0.9949920696,0.0000050119,0.0063095734,77.5680000000
12.7120000000,0.0009383797,-0.0000100000,0.0046627558,0.0046627558,0.9944137218,0.0000050119,0.0063095734,152.5440000000
18.9080000000,0.0007818608,-0.0000100000,0.0040236235,0.0040236235,0.9935590777,0.0000050119,0.0063095734,226.8960000000
25.0840000000,0.0011575885,-0.0000100000,0.0034740815,0.0034740815,0.9925359050,0.0000050119,0.0063095734,300.9600000000
31.2520000000,0.0008444625,-0.0000100000,0.0029995953,0.0029995953,0.9912912980,0.0000050119,0.0063095734,375.0240000000
37.4360000000,0.0009383797,-0.0000100000,0.0025894210,0.0025894210,0.9899796405,0.0000050119,0.0063095734,449.1840000000
43.6200000000,0.0008444625,-0.0000100000,0.0022349098,0.0022349098,0.9884266826,0.0000050119,0.0063095734,523.4400000000
49.7880000000,0.0010323146,-0.0000100000,0.0019298520,0.0019298520,0.9866089732,0.0000050119,0.0063095734,597.4560000000
55.9760000000,0.0007818608,-0.0000100000,0.0016657993,0.0016657993,0.9843172657,0.0000050119,0.0063095734,671.6640000000
62.1440000000,0.0011575885,-0.0000100000,0.0014382863,0.0014382863,0.9818421756,0.0000050119,0.0063095734,745.7280000000
68.3240000000,0.0009383797,-0.0000100000,0.0012416104,0.0012416104,0.9792198031,0.0000050119,0.0063095734,819.8880000000
74.5160000000,0.0012828937,-0.0000100000,0.0010716246,0.0010716246,0.9758903753,0.0000050119,0.0063095734,894.1440000000
80.7120000000,0.0010636301,-0.0000100000,0.0009246471,0.0009246471,0.9720227274,0.0000050119,0.0063095734,968.5440000000
87.0040000000,0.0009696894,-0.0000100000,0.0007960836,0.0007960836,0.9674818186,0.0000050119,0.0063095734,1044.0480000000
93.1680000000,0.0010323146,-0.0000100000,0.0006874862,0.0006874862,0.9627239354,0.0000050119,0.0063095734,1118.0160000000
99.3760000000,0.0008757663,-0.0000100000,0.0005930819,0.0005930819,0.9568566263,0.0000050119,0.0063095734,1192.5120000000
105.5520000000,0.0010636301,-0.0000100000,0.0005120794,0.0005120794,0.9501946412,0.0000050119,0.0063095734,1266.5760000000
111.7080000000,0.0015649452,-0.0000100000,0.0004423085,0.0004423085,0.9423040368,0.0000050119,0.0063095734,1340.4480000000
117.9000000000,0.0013142249,-0.0000100000,0.0003817169,0.0003817169,0.9333888305,0.0000050119,0.0063095734,1414.7520000000
124.0800000000,0.0010636301,-0.0000100000,0.0003295197,0.0003295197,0.9230651342,0.0000050119,0.0063095734,1488.9120000000
130.2600000000,0.0010010010,-0.0000100000,0.0002844601,0.0002844601,0.9111327109,0.0000050119,0.0063095734,1563.0720000000
136.4600000000,0.0012515645,-0.0000100000,0.0002454219,0.0002454219,0.8985402408,0.0000050119,0.0063095734,1637.5200000000
142.6720000000,0.0010636301,-0.0000100000,0.0002117009,0.0002117009,0.8837311543,0.0000050119,0.0063095734,1712.0640000000
148.8640000000,0.0013142249,-0.0000100000,0.0001827001,0.0001827001,0.8659351855,0.0000050119,0.0063095734,1786.3680000000
155.0320000000,0.0011262671,-0.0000100000,0.0001577771,0.0001577771,0.8446426136,0.0000050119,0.0063095734,1860.3360000000
161.2520000000,0.0013455581,-0.0000100000,0.0001360596,0.0001360596,0.8219252441,0.0000050119,0.0063095734,1935.0240000000
167.4360000000,0.0015022534,-0.0000100000,0.0001174432,0.0001174432,0.7969672745,0.0000050119,0.0063095734,2009.2320000000
173.6320000000,0.0010636301,-0.0000100000,0.0001013547,0.0001013547,0.7677196264,0.0000050119,0.0063095734,2083.5360000000
179.8120000000,0.0012515645,-0.0000100000,0.0000874868,0.0000874868,0.7367290019,0.0000050119,0.0063095734,2157.7440000000
185.9880000000,0.0014709104,-0.0000100000,0.0000755308,0.0000755308,0.6982767824,0.0000050119,0.0063095734,2231.8560000000
192.2040000000,0.0013142249,-0.0000100000,0.0000651466,0.0000651466,0.6573383019,0.0000050119,0.0063095734,2306.4480000000
198.4240000000,0.0014082303,-0.0000100000,0.0000561901,0.0000561901,0.6111246618,0.0000050119,0.0063095734,2381.0400000000
204.6800000000,0.0016903525,-0.0000100000,0.0000484143,0.0000484143,0.5635841891,0.0000050119,0.0063095734,2456.1600000000
210.9160000000,0.0020981430,-0.0000100000,0.0000417383,0.0000417383,0.5131297119,0.0000050119,0.0063095734,2530.9920000000
217.2720000000,0.0023178601,-0.0000100000,0.0000358837,0.0000358837,0.4598057191,0.0000050119,0.0063095734,2607.2160000000
223.5560000000,0.0021295252,-0.0000100000,0.0000309003,0.0000309003,0.4047507962,0.0000050119,0.0063095734,2682.6240000000
229.7800000000,0.0032605969,-0.0000100000,0.0000266444,0.0000266444,0.3522013309,0.0000050119,0.0063095734,2757.3600000000
236.0680000000,0.0027261618,-0.0000100000,0.0000229442,0.0000229442,0.2952162214,0.0000050119,0.0063095734,2832.7680000000
242.3520000000,0.0032605969,-0.0000100000,0.0000197559,0.0000197559,0.2375359750,0.0000050119,0.0063095734,2908.2240000000
248.6720000000,0.0056884252,-0.0000100000,0.0000169977,0.0000169977,0.1862481436,0.0000050119,0.0063095734,2984.0640000000
255.0440000000,0.0069542780,-0.0000100000,0.0000146065,0.0000146065,0.1356086912,0.0000050119,0.0063095734,3060.5280000000
