time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0120000000,0.0000000000,-0.0000100000,0.0001584893,0.0001584893,-nan,0.0000000316,0.0001584893,0.0000000000
7.4560000000,0.0000000000,-0.0000100000,0.0001282748,0.0001282748,0.9987605353,0.0000000316,0.0001584893,89.3760000000
14.9160000000,0.0000000000,-0.0000100000,0.0001037850,0.0001037850,0.9559389652,0.0000000316,0.0001584893,178.8960000000
22.3880000000,0.0000000000,-0.0000100000,0.0000839421,0.0000839421,0.9805265206,0.0000000316,0.0001584893,268.5600000000
29.9360000000,0.0000000000,-0.0000100000,0.0000677467,0.0000677467,0.9761516165,0.0000000316,0.0001584893,359.1360000000
42.3520000000,0.0000000000,-0.0000100000,0.0000476219,0.0000476219,0.9803699210,0.0000000316,0.0001584893,508.0800000000
49.9560000000,0.0002889338,-0.0000100000,0.0000383685,0.0000383685,0.9763156650,0.0000000316,0.0001584893,599.3760000000
57.4960000000,0.0002866151,-0.0000100000,0.0000309799,0.0000309799,0.9772411417,0.0000000316,0.0001584893,689.7600000000
65.1280000000,0.0002841716,-0.0000100000,0.0000249375,0.0000249375,0.9791352193,0.0000000316,0.0001584893,781.4400000000
72.9920000000,0.0002892682,-0.0000100000,0.0000199509,0.0000199509,0.9785898037,0.0000000316,0.0001584893,875.7120000000
80.8440000000,0.0002853881,-0.0000100000,0.0000159614,0.0000159614,0.9711580909,0.0000000316,0.0001584893,969.9840000000
88.4880000000,0.0002918856,-0.0000100000,0.0000128454,0.0000128454,0.9714897630,0.0000000316,0.0001584893,1061.7600000000
96.1600000000,0.0002867795,-0.0000100000,0.0000103306,0.0000103306,0.9647497146,0.0000000316,0.0001584893,1153.8240000000
104.5480000000,0.0002862869,-0.0000100000,0.0000081409,0.0000081409,0.9576367838,0.0000000316,0.0001584893,1254.4800000000
112.3320000000,0.0002881014,-0.0000100000,0.0000065271,0.0000065271,0.9504577095,0.0000000316,0.0001584893,1347.8400000000
120.0000000000,0.0002888504,-0.0000100000,0.0000052493,0.0000052493,0.9468232988,0.0000000316,0.0001584893,1439.9040000000
127.7120000000,0.0002918856,-0.0000100000,0.0000042173,0.0000042173,0.9367762450,0.0000000316,0.0001584893,1532.4000000000
135.4280000000,0.0002906977,-0.0000100000,0.0000033870,0.0000033870,0.9228704326,0.0000000316,0.0001584893,1625.0400000000
143.0720000000,0.0002879355,-0.0000100000,0.0000027264,0.0000027264,0.9052997822,0.0000000316,0.0001584893,1716.7200000000
150.9120000000,0.0002926544,-0.0000100000,0.0000021822,0.0000021822,0.8954175493,0.0000000316,0.0001584893,1810.8000000000
163.6640000000,0.0002913753,-0.0000100000,0.0000015192,0.0000015192,0.8764412559,0.0000000316,0.0001584893,1963.8240000000
171.3800000000,0.0002949853,-0.0000100000,0.0000012201,0.0000012201,0.8255814833,0.0000000316,0.0001584893,2056.4640000000
179.0320000000,0.0002913753,-0.0000100000,0.0000009818,0.0000009818,0.7818912225,0.0000000316,0.0001584893,2148.2880000000
186.6600000000,0.0002904444,-0.0000100000,0.0000007906,0.0000007906,0.7375980594,0.0000000316,0.0001584893,2239.8240000000
194.3240000000,0.0003019324,-0.0000100000,0.0000006360,0.0000006360,0.6821488719,0.0000000316,0.0001584893,2331.7920000000
201.9480000000,0.0003097893,-0.0000100000,0.0000005122,0.0000005122,0.5937701325,0.0000000316,0.0001584893,2423.2800000000
209.5680000000,0.0003246753,-0.0000100000,0.0000004125,0.0000004125,0.4821274506,0.0000000316,0.0001584893,2514.7200000000
217.2480000000,0.0003417635,-0.0000100000,0.0000003317,0.0000003317,0.3478989424,0.0000000316,0.0001584893,2606.8800000000
224.8880000000,0.0004111842,-0.0000100000,0.0000002670,0.0000002670,0.1700495044,0.0000000316,0.0001584893,2698.5120000000
232.7560000000,0.0004533092,-0.0000100000,0.0000002135,0.0000002135,0.0488708276,0.0000000316,0.0001584893,2792.9280000000
240.3440000000,0.0005045409,-0.0000100000,0.0000001721,0.0000001721,0.0151230027,0.0000000316,0.0001584893,2883.9840000000
247.9960000000,0.0005144033,-0.0000100000,0.0000001385,0.0000001385,0.0045672954,0.0000000316,0.0001584893,2975.8560000000
