time,score,avgEnergyInc,T,realTemp,pbad,lower,higher,timer
0.0040000000,0.0000000000,-0.0000100000,0.0000105925,0.0000105925,-nan,0.0000006683,0.0000105925,0.0000000000
4.8840000000,0.0001201490,-0.0000100000,0.0000101266,0.0000101266,0.0000116531,0.0000006683,0.0000105925,58.6080000000
9.7840000000,0.0001201490,-0.0000100000,0.0000096801,0.0000096801,0.0000093728,0.0000006683,0.0000105925,117.3600000000
14.7760000000,0.0001201490,-0.0000100000,0.0000092448,0.0000092448,0.0000073144,0.0000006683,0.0000105925,177.3120000000
19.6920000000,0.0001201490,-0.0000100000,0.0000088358,0.0000088358,0.0000057849,0.0000006683,0.0000105925,236.2560000000
24.5920000000,0.0001201490,-0.0000100000,0.0000084456,0.0000084456,0.0000049160,0.0000006683,0.0000105925,295.1040000000
29.4800000000,0.0001201490,-0.0000100000,0.0000080738,0.0000080738,0.0000041685,0.0000006683,0.0000105925,353.7600000000
34.4240000000,0.0001201490,-0.0000100000,0.0000077144,0.0000077144,0.0000036698,0.0000006683,0.0000105925,413.0880000000
39.3520000000,0.0001201490,-0.0000100000,0.0000073724,0.0000073724,0.0000031655,0.0000006683,0.0000105925,472.1760000000
44.3760000000,0.0001201490,-0.0000100000,0.0000070388,0.0000070388,0.0000028768,0.0000006683,0.0000105925,532.5120000000
49.2960000000,0.0001201490,-0.0000100000,0.0000067269,0.0000067269,0.0000025711,0.0000006683,0.0000105925,591.5520000000
54.2200000000,0.0001201490,-0.0000100000,0.0000064287,0.0000064287,0.0000023695,0.0000006683,0.0000105925,650.6400000000
59.1160000000,0.0001201490,-0.0000100000,0.0000061454,0.0000061454,0.0000021642,0.0000006683,0.0000105925,709.3440000000
64.2800000000,0.0001201490,-0.0000100000,0.0000058598,0.0000058598,0.0000020224,0.0000006683,0.0000105925,771.3600000000
69.1800000000,0.0001201490,-0.0000100000,0.0000056014,0.0000056014,0.0000018500,0.0000006683,0.0000105925,830.1120000000
74.1200000000,0.0001201490,-0.0000100000,0.0000053522,0.0000053522,0.0000017247,0.0000006683,0.0000105925,889.3920000000
79.0640000000,0.0001201490,-0.0000100000,0.0000051138,0.0000051138,0.0000016425,0.0000006683,0.0000105925,948.7680000000
83.9440000000,0.0001201490,-0.0000100000,0.0000048892,0.0000048892,0.0000015470,0.0000006683,0.0000105925,1007.2800000000
88.8320000000,0.0001201490,-0.0000100000,0.0000046738,0.0000046738,0.0000014511,0.0000006683,0.0000105925,1065.9840000000
93.7360000000,0.0001201490,-0.0000100000,0.0000044674,0.0000044674,0.0000013826,0.0000006683,0.0000105925,1124.8320000000
98.6360000000,0.0001201490,-0.0000100000,0.0000042704,0.0000042704,0.0000013085,0.0000006683,0.0000105925,1183.5840000000
103.7120000000,0.0001201490,-0.0000100000,0.0000040754,0.0000040754,0.0000012314,0.0000006683,0.0000105925,1244.4960000000
108.5840000000,0.0001201490,-0.0000100000,0.0000038964,0.0000038964,0.0000011594,0.0000006683,0.0000105925,1303.0080000000
113.8280000000,0.0001201490,-0.0000100000,0.0000037128,0.0000037128,0.0000006587,0.0000006683,0.0000105925,1365.8880000000
118.8680000000,0.0001201490,-0.0000100000,0.0000035443,0.0000035443,0.0000004066,0.0000006683,0.0000105925,1426.4160000000
124.0160000000,0.0001201490,-0.0000100000,0.0000033802,0.0000033802,0.0000002348,0.0000006683,0.0000105925,1488.1920000000
128.9120000000,0.0001201490,-0.0000100000,0.0000032312,0.0000032312,0.0000001347,0.0000006683,0.0000105925,1546.8960000000
133.8000000000,0.0001201490,-0.0000100000,0.0000030889,0.0000030889,0.0000000649,0.0000006683,0.0000105925,1605.6000000000
138.6880000000,0.0001201490,-0.0000100000,0.0000029530,0.0000029530,0.0000000328,0.0000006683,0.0000105925,1664.2080000000
143.5840000000,0.0001201490,-0.0000100000,0.0000028228,0.0000028228,0.0000000158,0.0000006683,0.0000105925,1722.9600000000
148.4640000000,0.0001201490,-0.0000100000,0.0000026986,0.0000026986,0.0000000052,0.0000006683,0.0000105925,1781.5680000000
153.3440000000,0.0001201490,-0.0000100000,0.0000025800,0.0000025800,0.0000000022,0.0000006683,0.0000105925,1840.1280000000
